CFIHOS unique code,UNECE code,unit of measure name,unit of measure symbol,unit of measure dimension code CFIHOS unique code,unit of measure dimension code,unit of measure dimension name,measurement system code CFIHOS unique code,measurement system code,unit of measure synonym name
CFIHOS-65000374,,furlong US survey,fur[US],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000375,,US survey inch,in[US],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000376,LK,link,link,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000377,,British link [Benoit 1895 A],link[BnA],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000378,,British link [Benoit 1895 B],link[BnB],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000379,,Clarke link,link[Cla],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000380,,British link [Sears 1922],link[Se],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000381,,British link [Sears 1922 truncated],link[SeT],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000382,,US survey link,link[US],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000383,,German legal metre,m[Ger],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000384,,mile,mi,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000385,,international nautical mile,mi[naut],CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000386,,United Kingdom nautical mile,mi[nautUK],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000387,,US survey mile,mi[US],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000388,M43,mil,mil,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000389,,rod US Survey,rod[US],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000390,YRD,yard,yd,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000391,,British yard [Benoit 1895 A],yd[BnA],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000392,,British yard [Benoit 1895 B],yd[BnB],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000393,,Clarke yard,yd[Cla],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000394,,Indian yard,yd[Ind],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000395,,Indian yard [1937],yd[Ind37],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000396,,Indian yard [1962],yd[Ind62],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000397,,Indian yard [1975],yd[Ind75],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000398,,British yard [Sears 1922],yd[Se],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000399,,British yard [Sears 1922 truncated],yd[SeT],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000400,,US survey yard,yd[US],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000401,,cubic metre per square metre,m3/m2,CFIHOS-45000175,VOLPA,volume per area,CFIHOS-60001649,SI,
CFIHOS-65000402,,tenth of foot,0.1 ft,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000403,,tenth of US survey foot,0.1 ft[US],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000404,,tenth of inch,0.1 in,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000405,,tenth of yard,0.1 yd,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000406,,sixteenth of inch,1/16 in,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000407,,half of Foot,1/2 ft,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000408,,thirty-second of inch,1/32 in,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000409,,sixty-fourth of inch,1/64 in,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000410,,ten foot,10 ft,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000411,,ten inch,10 in,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000412,,10 kilometre,10 km,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000413,HF,hundred foot,100 ft,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000414,,100 kilometre,100 km,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000415,TQ,thousand foot,1000 ft,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000416,,thirty foot,30 ft,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000417,,thirty metres,30 m,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000418,,million barrel per acre,1E6 bbl/acre,CFIHOS-45000175,VOLPA,volume per area,,,
CFIHOS-65000419,,barrel per acre,bbl/acre,CFIHOS-45000175,VOLPA,volume per area,,,
CFIHOS-65000420,,cubic foot per square foot,ft3/ft2,CFIHOS-45000175,VOLPA,volume per area,,,
CFIHOS-65000421,CMT,centimetre,cm,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000422,,dekametre,dam,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000423,DMT,decimetre,dm,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000424,,exametre,Em,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000425,A71,femtometre,fm,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000426,,gigametre,Gm,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000427,HMT,hectometre,hm,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000428,KMT,kilometre,km,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000429,MAM,megametre,Mm,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000430,C45,nanometre,nm,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000431,C52,picometre,pm,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000432,,terametre,Tm,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000433,,micrometre,um,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-65000434,,metre per delta kelvin,m/deltaK,CFIHOS-45000107,LENPT,length per temperature,CFIHOS-60001649,SI,
CFIHOS-65000435,,foot per delta Fahrenheit,ft/deltaF,CFIHOS-45000107,LENPT,length per temperature,,,
CFIHOS-65000436,,metre per kilogram,m/kg,CFIHOS-45000105,LENPM,length per mass,CFIHOS-60001649,SI,
CFIHOS-65000437,,foot per pound-mass,ft/lbm,CFIHOS-45000105,LENPM,length per mass,,,
CFIHOS-65000438,KNT,knot,knot,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000439,P87,cubic metre per second square metre,m3/(s.m2),CFIHOS-45000182,VPTA,(volume per time) per area,CFIHOS-60001649,SI,
CFIHOS-65000440,,thousand foot per hour,1000 ft/h,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000441,,thousand foot per second,1000 ft/s,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000442,,centimetre per julian-year,cm/a,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000443,2M,centimetre per second,cm/s,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000444,,decimetre per second,dm/s,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000445,,foot per day,ft/d,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000446,K14,foot per hour,ft/h,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000447,FR,foot per minute,ft/min,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000448,,foot per millisecond,ft/ms,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000449,,foot per microsecond,ft/us,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000450,,inch per julian-year,in/a,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000451,IL,inch per minute,in/min,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000452,IU,inch per second,in/s,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000453,KMH,kilometre per hour,km/h,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000454,,kilometre per second,km/s,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000455,,metre per day,m/d,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000456,M60,metre per hour,m/h,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000457,2X,metre per minute,m/min,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000458,,metre per millisecond,m/ms,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000459,,mile per hour,mi/h,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000460,,mil per julian-year,mil/a,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000461,,millimetre per julian-year,mm/a,CFIHOS-45000025,SPEED,speed,,,
CFIHOS-65000462,C16,millimetre per second,mm/s,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000463,,nanometre per second,nm/s,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000464,,micrometre per second,um/s,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-65000465,,cubic foot per minute square foot,ft3/(min.ft2),CFIHOS-45000182,VPTA,(volume per time) per area,,,
CFIHOS-65000466,,cubic foot per second square foot,ft3/(s.ft2),CFIHOS-45000182,VPTA,(volume per time) per area,,,
CFIHOS-65000467,,UK gallon per hour square foot,gal[UK]/(h.ft2),CFIHOS-45000182,VPTA,(volume per time) per area,,,
CFIHOS-65000468,,UK gallon per hour square inch,gal[UK]/(h.in2),CFIHOS-45000182,VPTA,(volume per time) per area,,,
CFIHOS-65000469,,UK gallon per minute square foot,gal[UK]/(min.ft2),CFIHOS-45000182,VPTA,(volume per time) per area,,,
CFIHOS-65000470,,US gallon per hour square foot,gal[US]/(h.ft2),CFIHOS-45000182,VPTA,(volume per time) per area,,,
CFIHOS-65000471,,US gallon per hour square inch,gal[US]/(h.in2),CFIHOS-45000182,VPTA,(volume per time) per area,,,
CFIHOS-65000472,,US gallon per minute square foot,gal[US]/(min.ft2),CFIHOS-45000182,VPTA,(volume per time) per area,,,
CFIHOS-65000473,,galileo,Gal,CFIHOS-45000110,LINACC,linear acceleration,,,
CFIHOS-65000474,,gravity,gn,CFIHOS-45000110,LINACC,linear acceleration,,,
CFIHOS-65000475,MSK,metre per second squared,m/s2,CFIHOS-45000110,LINACC,linear acceleration,CFIHOS-60001649,SI,
CFIHOS-65000476,,centimetre per square second,cm/s2,CFIHOS-45000110,LINACC,linear acceleration,CFIHOS-60001649,SI,
CFIHOS-65000477,A73,foot per second squared,ft/s2,CFIHOS-45000110,LINACC,linear acceleration,,,
CFIHOS-65000478,IV,inch per second squared,in/s2,CFIHOS-45000110,LINACC,linear acceleration,,,
CFIHOS-65000479,,milligalileo,mGal,CFIHOS-45000110,LINACC,linear acceleration,,,
CFIHOS-65000480,,thousandth of gravity,mgn,CFIHOS-45000110,LINACC,linear acceleration,,,
CFIHOS-65000481,,teradarcy-API,TD[API],CFIHOS-45000142,PRMROC,permeability rock,CFIHOS-60001649,SI,
CFIHOS-65000482,ACR,acre,acre,CFIHOS-45000026,SURFAC,surface / area,,,
CFIHOS-65000483,A14,barn,b,CFIHOS-45000026,SURFAC,surface / area,CFIHOS-60001649,SI,
CFIHOS-65000484,HAR,hectare,ha,CFIHOS-45000026,SURFAC,surface / area,CFIHOS-60001649,SI,
CFIHOS-65000485,SE,section,section,CFIHOS-45000026,SURFAC,surface / area,,,
CFIHOS-65000486,,darcy,D,CFIHOS-45000142,PRMROC,permeability rock,,,
CFIHOS-65000487,,darcy-API,D[API],CFIHOS-45000142,PRMROC,permeability rock,CFIHOS-60001649,SI,
CFIHOS-65000488,,cubic metre per metre,m3/m,CFIHOS-45000176,VOLPL,volume per length,CFIHOS-60001649,SI,
CFIHOS-65000489,CMK,square centimetre,cm2,CFIHOS-45000026,SURFAC,surface / area,CFIHOS-60001649,SI,
CFIHOS-65000490,KMK,square kilometre,km2,CFIHOS-45000026,SURFAC,surface / area,CFIHOS-60001649,SI,
CFIHOS-65000491,,square micrometre,um2,CFIHOS-45000026,SURFAC,surface / area,CFIHOS-60001649,SI,
CFIHOS-65000492,,cubic decimetre per hundred kilometre,0.01 dm3/km,CFIHOS-45000176,VOLPL,volume per length,,,
CFIHOS-65000493,,litre per hundred kilometre,0.01 L/km,CFIHOS-45000176,VOLPL,volume per length,,,
CFIHOS-65000494,,barrel per foot,bbl/ft,CFIHOS-45000176,VOLPL,volume per length,,,
CFIHOS-65000495,,barrel per inch,bbl/in,CFIHOS-45000176,VOLPL,volume per length,,,
CFIHOS-65000496,,barrel per mile,bbl/mi,CFIHOS-45000176,VOLPL,volume per length,,,
CFIHOS-65000497,,cubic decimetre per metre,dm3/m,CFIHOS-45000176,VOLPL,volume per length,CFIHOS-60001649,SI,
CFIHOS-65000498,,cubic foot per foot,ft3/ft,CFIHOS-45000176,VOLPL,volume per length,,,
CFIHOS-65000499,,UK gallon per mile,gal[UK]/mi,CFIHOS-45000176,VOLPL,volume per length,,,
CFIHOS-65000500,,US gallon per foot,gal[US]/ft,CFIHOS-45000176,VOLPL,volume per length,,,
CFIHOS-65000501,,US gallon per mile,gal[US]/mi,CFIHOS-45000176,VOLPL,volume per length,,,
CFIHOS-65000502,,cubic inch per foot,in3/ft,CFIHOS-45000176,VOLPL,volume per length,,,
CFIHOS-65000503,,litre per metre,L/m,CFIHOS-45000176,VOLPL,volume per length,CFIHOS-60001649,SI,
CFIHOS-65000504,,cubic metre per kilometre,m3/km,CFIHOS-45000176,VOLPL,volume per length,CFIHOS-60001649,SI,
CFIHOS-65000505,,square US survey mile,mi[US]2,CFIHOS-45000026,SURFAC,surface / area,,,
CFIHOS-65000506,,square mile,mi2,CFIHOS-45000026,SURFAC,surface / area,,,
CFIHOS-65000507,YDK,square yard,yd2,CFIHOS-45000026,SURFAC,surface / area,,,
CFIHOS-65000508,,millidarcy,mD,CFIHOS-45000142,PRMROC,permeability rock,,,
CFIHOS-65000509,,joule per kilogram delta kelvin,J/(kg.deltaK),CFIHOS-45000023,SPHCAP,specific heat capacity,CFIHOS-60001649,SI,
CFIHOS-65000510,,BTU per pound-mass delta Fahrenheit,Btu[IT]/(lbm.deltaF),CFIHOS-45000023,SPHCAP,specific heat capacity,,,
CFIHOS-65000511,,BTU per pound-mass delta Rankine,Btu[IT]/(lbm.deltaR),CFIHOS-45000023,SPHCAP,specific heat capacity,,,
CFIHOS-65000512,,calorie per gram delta kelvin,cal[th]/(g.deltaK),CFIHOS-45000023,SPHCAP,specific heat capacity,,,
CFIHOS-65000513,,joule per gram delta kelvin,J/(g.deltaK),CFIHOS-45000023,SPHCAP,specific heat capacity,CFIHOS-60001649,SI,
CFIHOS-65000514,,thousand calorie per kilogram delta Celsius,kcal[th]/(kg.deltaC),CFIHOS-45000023,SPHCAP,specific heat capacity,,,
CFIHOS-65000515,,kilojoule per kilogram delta kelvin,kJ/(kg.deltaK),CFIHOS-45000023,SPHCAP,specific heat capacity,CFIHOS-60001649,SI,
CFIHOS-65000516,,kilowatt hour per kilogram delta Celsius,kW.h/(kg.deltaC),CFIHOS-45000023,SPHCAP,specific heat capacity,CFIHOS-60001649,SI,
CFIHOS-65000517,D21,square metre per kilogram,m2/kg,CFIHOS-45000058,AREAPM,area per mass,CFIHOS-60001649,SI,
CFIHOS-65000518,H15,square centimetre per gram,cm2/g,CFIHOS-45000058,AREAPM,area per mass,CFIHOS-60001649,SI,
CFIHOS-65000519,,square foot per pound-mass,ft2/lbm,CFIHOS-45000058,AREAPM,area per mass,,,
CFIHOS-65000520,,square metre per gram,m2/g,CFIHOS-45000058,AREAPM,area per mass,CFIHOS-60001649,SI,
CFIHOS-65000521,,square metre per gram-mole,m2/mol,CFIHOS-45000061,ARPSUB,area per amount of substance,CFIHOS-60001649,SI,
CFIHOS-65000522,91,stokes,St,CFIHOS-45000010,VISKIN,kinematic viscosity,,,
CFIHOS-65000523,S4,square metre per second,m2/s,CFIHOS-45000010;CFIHOS-45000059;CFIHOS-45000072;CFIHOS-45000167,VISKIN;AREAPT;DIFFCO;THMDIF,kinematic viscosity;area per time;diffusion coefficient;thermal diffusivity,CFIHOS-60001649,SI,
CFIHOS-65000524,,cubic metre per second metre,m3/(s.m),CFIHOS-45000183,VPTAL,(volume per time) per length,CFIHOS-60001649,SI,
CFIHOS-65000525,,mole square metre per mole second,mol.m2/(mol.s),CFIHOS-45000072,DIFFCO,diffusion coefficient,CFIHOS-60001649,SI,
CFIHOS-65000526,,pascal second square metre per kilogram,Pa.s.m3/kg,CFIHOS-45000010,VISKIN,kinematic viscosity,CFIHOS-60001649,SI,
CFIHOS-65000527,,watt square metre delta kelvin per joule delta kelvin,W.m2.deltaK/(J.deltaK),CFIHOS-45000167,THMDIF,thermal diffusivity,CFIHOS-60001649,SI,
CFIHOS-65000528,M81,square centimetre per second,cm2/s,CFIHOS-45000010;CFIHOS-45000059;CFIHOS-45000167,VISKIN;AREAPT;THMDIF,kinematic viscosity;area per time;thermal diffusivity,CFIHOS-60001649,SI,
CFIHOS-65000529,,square foot per hour,ft2/h,CFIHOS-45000010;CFIHOS-45000059;CFIHOS-45000167,VISKIN;AREAPT;THMDIF,kinematic viscosity;area per time;thermal diffusivity,,,
CFIHOS-65000530,S3,square foot per second,ft2/s,CFIHOS-45000010;CFIHOS-45000059;CFIHOS-45000167,VISKIN;AREAPT;THMDIF,kinematic viscosity;area per time;thermal diffusivity,,,
CFIHOS-65000531,G08,square inch per second,in2/s,CFIHOS-45000010;CFIHOS-45000059;CFIHOS-45000167,VISKIN;AREAPT;THMDIF,kinematic viscosity;area per time;thermal diffusivity,,,
CFIHOS-65000532,,square metre per day,m2/d,CFIHOS-45000059,AREAPT,area per time,CFIHOS-60001649,SI,
CFIHOS-65000533,,square metre per hour,m2/h,CFIHOS-45000010;CFIHOS-45000059;CFIHOS-45000167,VISKIN;AREAPT;THMDIF,kinematic viscosity;area per time;thermal diffusivity,CFIHOS-60001649,SI,
CFIHOS-65000534,,(thousand cubic foot per day) per foot,1000 ft3/(d.ft),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000535,,(thousand cubic metre per day) per metre,1000 m3/(d.m),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000536,,(thousand cubic metre per hour) per metre,1000 m3/(h.m),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000537,,barrel per day foot,bbl/(d.ft),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000538,,(cubic foot per day) per foot,ft3/(d.ft),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000539,,UK gallon per hour foot,gal[UK]/(h.ft),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000540,,UK gallon per hour inch,gal[UK]/(h.in),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000541,,UK gallon per minute foot,gal[UK]/(min.ft),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000542,,US gallon per hour foot,gal[US]/(h.ft),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000543,,US gallon per hour inch,gal[US]/(h.in),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000544,,US gallon per minute foot,gal[US]/(min.ft),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000545,,(cubic metre per day) per metre,m3/(d.m),CFIHOS-45000183,VPTAL,(volume per time) per length,CFIHOS-60001649,SI,
CFIHOS-65000546,,(cubic metre per hour) per metre,m3/(h.m),CFIHOS-45000183,VPTAL,(volume per time) per length,CFIHOS-60001649,SI,
CFIHOS-65000547,,(cubic metre per second) per foot,m3/(s.ft),CFIHOS-45000183,VPTAL,(volume per time) per length,,,
CFIHOS-65000548,C80,rad,rd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000549,A95,gray,Gy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000550,D13,sievert,Sv,CFIHOS-45000075,DOSEQ,dose equivalent,CFIHOS-60001649,SI,
CFIHOS-65000551,D91,rem,rem,CFIHOS-45000075,DOSEQ,dose equivalent,CFIHOS-60001649,SI,
CFIHOS-65000552,J2,joule per kilogram,J/kg,CFIHOS-45000022,SPENER,specific energy,CFIHOS-60001649,SI,
CFIHOS-65000553,,BTU per pound-mass,Btu[IT]/lbm,CFIHOS-45000022,SPENER,specific energy,,,
CFIHOS-65000554,93,calorie per gram,cal[th]/g,CFIHOS-45000022,SPENER,specific energy,,,
CFIHOS-65000555,,calorie per kilogram,cal[th]/kg,CFIHOS-45000022,SPENER,specific energy,,,
CFIHOS-65000556,,calorie per pound-mass,cal[th]/lbm,CFIHOS-45000022,SPENER,specific energy,,,
CFIHOS-65000557,A61,erg per gram,erg/g,CFIHOS-45000022,SPENER,specific energy,,,
CFIHOS-65000558,,erg per kilogram,erg/kg,CFIHOS-45000022,SPENER,specific energy,,,
CFIHOS-65000559,,horsepower hour per pound-mass,hp.h/lbm,CFIHOS-45000022,SPENER,specific energy,,,
CFIHOS-65000560,D95,joule per gram,J/g,CFIHOS-45000022,SPENER,specific energy,CFIHOS-60001649,SI,
CFIHOS-65000561,,thousand calorie per gram,kcal[th]/g,CFIHOS-45000022,SPENER,specific energy,,,
CFIHOS-65000562,,thousand calorie per kilogram,kcal[th]/kg,CFIHOS-45000022,SPENER,specific energy,,,
CFIHOS-65000563,,kilowatt hour per kilogram,kW.h/kg,CFIHOS-45000022,SPENER,specific energy,CFIHOS-60001649,SI,
CFIHOS-65000564,,foot pound-force per pound-mass,lbf.ft/lbm,CFIHOS-45000022,SPENER,specific energy,,,
CFIHOS-65000565,JK,megajoule per kilogram,MJ/kg,CFIHOS-45000022,SPENER,specific energy,CFIHOS-60001649,SI,
CFIHOS-65000566,,megawatt hour per kilogram,MW.h/kg,CFIHOS-45000022,SPENER,specific energy,CFIHOS-60001649,SI,
CFIHOS-65000567,,centigray,cGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000568,,hundredth of rad,crd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000569,,decigray,dGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000570,,tenth of rad,drd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000571,,exagray,EGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000572,,million million million rad,Erd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000573,,femtogray,fGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000574,,femtorad,frd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000575,,gigagray,GGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000576,,thousand million rad,Grd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000577,,kilogray,kGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000578,,thousand rad,krd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000579,C13,milligray,mGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000580,,megagray,MGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000581,,thousandth of rad,mrd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000582,,million rad,Mrd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000583,,nanogray,nGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000584,,nanorad,nrd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000585,,picogray,pGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000586,,picorad,prd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000587,,teragray,TGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000588,,million million rad,Trd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000589,,microgray,uGy,CFIHOS-45000046,ABDOSE,absorbed dose,CFIHOS-60001649,SI,
CFIHOS-65000590,,millionth of rad,urd,CFIHOS-45000046,ABDOSE,absorbed dose,,,
CFIHOS-65000591,,thousandth of rem,mrem,CFIHOS-45000075,DOSEQ,dose equivalent,,,
CFIHOS-65000592,C28,millisievert,mSv,CFIHOS-45000075,DOSEQ,dose equivalent,CFIHOS-60001649,SI,
CFIHOS-65000593,P65,sievert per second,Sv/s,CFIHOS-45000091,EPMPT,(energy per mass) per time,CFIHOS-60001649,SI,
CFIHOS-65000594,,thousandth of irem per hour,mrem/h,CFIHOS-45000091,EPMPT,(energy per mass) per time,,,
CFIHOS-65000595,P71,millisievert per hour,mSv/h,CFIHOS-45000091,EPMPT,(energy per mass) per time,CFIHOS-60001649,SI,
CFIHOS-65000596,,rem per hour,rem/h,CFIHOS-45000091,EPMPT,(energy per mass) per time,CFIHOS-60001649,SI,
CFIHOS-65000597,P70,sievert per hour,Sv/h,CFIHOS-45000091,EPMPT,(energy per mass) per time,CFIHOS-60001649,SI,
CFIHOS-65000598,,kilogram square metre,kg.m2,CFIHOS-45000131,MOMINT,moment of inertia,CFIHOS-60001649,SI,
CFIHOS-65000599,,pound-mass square foot,lbm.ft2,CFIHOS-45000131,MOMINT,moment of inertia,,,
CFIHOS-65000600,,joule per gram-mole delta kelvin,J/(mol.deltaK),CFIHOS-45000129,MOLHC,molar heat capacity,CFIHOS-60001649,SI,
CFIHOS-65000601,,BTU per pound-mass-mole delta Fahrenheit,Btu[IT]/(lbmol.deltaF),CFIHOS-45000129,MOLHC,molar heat capacity,,,
CFIHOS-65000602,,calorie per gram-mole delta Celsius,cal[th]/(mol.deltaC),CFIHOS-45000129,MOLHC,molar heat capacity,,,
CFIHOS-65000603,,kilojoule per kilogram-mole delta kelvin,kJ/(kmol.deltaK),CFIHOS-45000129,MOLHC,molar heat capacity,CFIHOS-60001649,SI,
CFIHOS-65000604,,joule per delta kelvin,J/deltaK,CFIHOS-45000099,HTCAP,heat capacity,CFIHOS-60001649,SI,
CFIHOS-65000605,,watt per delta kelvin,W/deltaK,CFIHOS-45000029,THCOND,thermal conductivity,CFIHOS-60001649,SI,
CFIHOS-65000606,81,henry,H,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
CFIHOS-65000607,,centihenry,cH,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
CFIHOS-65000608,,decihenry,dH,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
CFIHOS-65000609,,exahenry,EH,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
CFIHOS-65000610,,femtohenry,fH,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
CFIHOS-65000611,,gigahenry,GH,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
