CFIHOS unique code,property name,property definition,property data type,property data type length,unit of measure dimension code CFIHOS unique code,unit of measure dimension code,property picklist name CFIHOS unique code,property picklist name,property existence reason description,property synonym name
CFIHOS-40000387,steam drum pressure relief device,By which protection is provided against overpressure.,Text,40,,,,,,
CFIHOS-40000388,steam drum relief valve set pressure,The pressure at which a functional or physical object is activated.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000389,steam drum shell wall thickness,Is a thickness according to a design.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000390,steam section length,Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000391,steam section wall thickness,Is a thickness according to a design.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000392,stream drum material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000393,stress analysis required,Specifies if the functional or physical object requires a stress analysis.,Boolean,3,,,,,,
CFIHOS-40000394,subtransient reactance,"Quotient of the initial value of a sudden change in that fundamental A.C. component of primary voltage, which is produced by the total direct-axis primary flux, and the value of the simultaneous change in fundamental A.C. component of direct-axis primary",Number,,CFIHOS-45000019,RATIO,,,,
CFIHOS-40000395,superheater box length,Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000396,superheater box material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000397,superheater box wall thickness,Is a thickness according to a design.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000398,superheater corrosion allowance,Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000399,superheater effective outside surface area,Is an area located on a surface.,Number,,CFIHOS-45000026,SURFAC,,,,
CFIHOS-40000400,superheater material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000401,superheater number of tubes,Is a number of items where each item is a tube.,Number,,CFIHOS-45000037,COUNT,,,,
CFIHOS-40000402,superheater pressure relief device,By which protection is provided against overpressure.,Text,40,,,,,,
CFIHOS-40000403,superheater relief valve set pressure,The pressure at which a functional or physical object is activated.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000404,superheater tube outside diameter,Is an outside diameter of an item that is the prime outside diameter in case the item has more than one outside diameter.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000405,support fire proofing type,Is a subtype of support for fire proofing,Text,40,,,CFIHOS-50000047,fire proof support type,,
CFIHOS-40000406,support type,Is a subtype of support,Text,40,,,CFIHOS-50000095,support type,,
CFIHOS-40000407,surface roughness,The average peak to valley distance for the small irregularities on a functional or physical objects internal surface.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000408,tank roof drain type,Is a drainage system for a tank roof.,Text,40,,,CFIHOS-50000096,tank roof drain type,,
CFIHOS-40000409,tank roof type,Specify the type of roof construction for the functional or physical tank.,Text,40,,,CFIHOS-50000097,tank roof type,,
CFIHOS-40000410,tank usage type,Specify if the tank is designed to feed a determined set of equipments or designed to contain a large quantity of product for a long term storage.,Text,40,,,CFIHOS-50000098,tank usage type,,
CFIHOS-40000411,TEMA type,A classification system defined by the Tubular Exchangers Manufactured Association,Text,40,,,CFIHOS-50000099,TEMA type,,
CFIHOS-40000412,test medium,The medium used for testing purpose.,Text,40,,,CFIHOS-50000100,test medium,,
CFIHOS-40000413,thermal insulation coating thickness,The total thermal insulation coating system thickness.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000414,thermal insulation coating type,The type of thermal insulation coating system.,Text,40,,,,,,
CFIHOS-40000415,tie rods material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000416,top section inside diameter,Is an inside diameter of an item that is the prime inside diameter in case the item has more than one inside diameter.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000417,top section length,Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000418,top section lower limit operating pressure,Is a pressure that is a minimum possible or allowed or occurring or required.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000419,top section lower limit operating temperature,The temperature which is the lowest temperature at  which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000420,top section normal operating pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000421,top section normal operating temperature,The temperature at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000422,top section upper limit operating temperature,The temperature which is the highest temperature at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000423,total tank capacity,The volume of a tank from the bottom to the maximum safe filling height.,Number,,CFIHOS-45000033,VOLUME,,,,
CFIHOS-40000424,transformer cooling method,The method of cooling used by a transformer.,Text,40,,,CFIHOS-50000102,transformer cooling method,,
CFIHOS-40000425,tray type,Is a subtype of tray,Text,40,,,CFIHOS-50000103,tray type,,
CFIHOS-40000426,tube bundle design,"Provide a general description of the style of tubes used in the equipment. For example bayonet type, concentric type etc.",Text,40,,,CFIHOS-50000104,tube bundle design,,
CFIHOS-40000427,tube coating,Is a material specification for a coating.,Text,40,,,CFIHOS-50000013,coating material,,
CFIHOS-40000428,tube coating specification,Is a material of construction of which a coating is made.,Text,40,,,CFIHOS-50000013,coating material,,
CFIHOS-40000429,tube corrosion allowance,Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000430,tube hydrostatic test pressure - field,Is a test pressure applicable when using water to establish the test pressure.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000431,tube hydrostatic test pressure - shop,Is a test pressure applicable when using water to establish the test pressure.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000432,tube material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000433,tube material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000434,tube outside diameter,Is an outside diameter of an item that is the prime outside diameter in case the item has more than one outside diameter.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000435,tube outside surface area,Is an area located on a surface.,Number,,CFIHOS-45000026,SURFAC,,,,
CFIHOS-40000436,tube side fluid name,The name of the product in liquid or gas phase.,Text,100,,,CFIHOS-50000051,fluid,,
CFIHOS-40000437,tube side normal operating inlet temperature,Is a temperature that occurs during operation or under which an object is supposed to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000438,tube side normal operating inlet pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000439,tube side normal operating outlet temperature,Is a temperature that occurs during operation or under which an object is supposed to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000440,tube side upper limit design temperature,The highest temperature at which a functional or physical object is designed.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000441,tube test pressure,The pressure to which a functional or physical object should be subjected to test for leakage and structural integrity.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000442,tube upper limit design pressure,The highest pressure at which a functional or physical object is designed for.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000443,tube wall thickness,Is a thickness according to a design.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000444,tubesheet material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000445,turbine cycle,"Specify if the working medium passes successively through the compressor, the combustor and the turbine in a simple cycle, or if the turbine exhaust is used to preheat the combustion air from the compressor in a regenerative cycle.",Text,40,,,CFIHOS-50000021,cycle,,
CFIHOS-40000446,type of boat/capsule,Give a general description of the type of life boat/escape capsule.,Text,40,,,CFIHOS-50000066,lifeboat type,,
CFIHOS-40000447,type of circuitry,Specify whether the trip amplifier contains all solid-state components or has a combination of electronic and solid state components.,Text,40,,,CFIHOS-50000106,type of circuitry,,
CFIHOS-40000448,type of electric motor,Specify whether the motor is of synchronous or induction design.,Text,40,,,CFIHOS-50000107,type of electric motor,,
CFIHOS-40000449,type of electrical current supply,Specify whether the type of output current from the physical object is either AC or DC.,Text,40,,,CFIHOS-50000108,type of electrical current supply,,
CFIHOS-40000450,type of mechanical switch,"Specify the method of operation of the switch, for example pneumatic, hydraulic etc",Text,40,,,CFIHOS-50000109,type of mechanical switch,,
CFIHOS-40000451,type of safety barrier,Specify whether the safety barrier is active (requires an external power supply) or passive (does not require external power supply).,Text,40,,,CFIHOS-50000110,type of safety barrier,,
CFIHOS-40000452,type of switch,"Specify the method of operation of the switch, for example pneumatic, electronic etc",Text,40,,,CFIHOS-50000111,type of switch,,
CFIHOS-40000453,upper limit allowable speed,The speed which is the highest allowed.,Number,,CFIHOS-45000036,ANGVEL,,,,
CFIHOS-40000454,upper limit ambient operating temperature,The temperature which is the highest ambient temperature at  which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000455,upper limit cooling water inlet temperature,The temperature which is the highest cooling water temperature at which a functional or physical object is expected to operate at its inlet connection.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000456,upper limit cooling water outlet temperature,The temperature which is the highest cooling water temperature at which a functional or physical object is expected to operate at its outlet connection.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000457,upper limit design flow velocity,The highest flow velocity that a functional or physical object is designed for.,Number,,CFIHOS-45000025,SPEED,,,,
CFIHOS-40000458,upper limit design product fill height,The height of product which is the highest height of product at  which a functional or physical object is designed for.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000459,upper limit design product inflow rate,The highest product inflow rate at which a functional or physical object is designed for.,Number,,CFIHOS-45000034,VOLFLO,,,,
CFIHOS-40000460,upper limit design product outflow rate,The highest product outflow rate at which a functional or physical object is designed for.,Number,,CFIHOS-45000034,VOLFLO,,,,
CFIHOS-40000461,upper limit operating differential pressure,The differential pressure which is the highest differential pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000462,upper limit operating discharge pressure,The discharge pressure which is the highest pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000463,upper limit operating extraction steam mass flow rate,The mass flow rate which is the highest extraction steam mass flowrate at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000014,MASFLO,,,,
CFIHOS-40000464,upper limit operating extraction steam pressure,The pressure which is the highest extraction steam pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000465,upper limit operating extraction steam temperature,The temperature which is the highest extraction steam temperature at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000466,upper limit operating inlet pressure,The pressure which is the highest pressure at which a functional or physical object is expected to operate at its inlet connection.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000467,upper limit operating inlet steam pressure auxiliary driver,The pressure which is the highest pressure at which a functional or physical object is expected to operate at its inlet steam for the auxiliary driver.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000468,upper limit operating inlet steam pressure heating device,The pressure which is the highest pressure at which a functional or physical object is expected to operate at its inlet steam for the heating device.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000469,upper limit operating inlet steam pressure injection system,The pressure which is the highest pressure at which a functional or physical object is expected to operate at its inlet steam for the steam injection system.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000470,upper limit operating inlet steam pressure starter,The pressure which is the highest pressure at which a functional or physical object is expected to operate at its inlet steam for the starter.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000471,upper limit operating liquid height,Is a height of a liquid under operating conditions.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000472,upper limit operating mass flow rate,The mass flow rate which is the highest mass flow rate at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000014,MASFLO,,,,
CFIHOS-40000473,upper limit operating inlet steam pressure,The pressure which is the highest pressure at which a functional or physical object is expected to operate at its inlet steam.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000474,upper limit operating inlet steam temperature,The temperature which is the highest temperature at which a functional or physical object is expected to operate at its inlet steam.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000475,upper limit operating outlet steam pressure,The pressure which is the highest pressure at which a functional or physical object is expected to operate at its outlet steam.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000476,upper limit operating suction pressure,The pressure which is the highest pressure at which a functional or physical object is expected to operate at its inlet connection.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000477,vacuum pressure,Is a pressure below atmospheric pressure.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000478,valve downstream of relief valve,Is an indication of the presence of a block valve.,Boolean,3,,,,,,
CFIHOS-40000479,valve type,Specify the valve type that controls the inlet/outlet to the cylinders.,Text,40,,,CFIHOS-50000113,valve type,,
CFIHOS-40000480,valve upstream of relief valve,Is an indication of the presence of a block valve.,Boolean,3,,,,,,
CFIHOS-40000481,wall tubes number of tubes,Is a number of items where each item is a tube.,Number,,CFIHOS-45000037,COUNT,,,,
CFIHOS-40000482,weight coating density,The density of the weight coating material.,Number,,CFIHOS-45000002,DENSI,,,,
CFIHOS-40000483,weight coating thickness,The total weight coating system thickness.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000484,well function,Specify whether the equipment is for production or injection.,Text,40,,,CFIHOS-50000114,well function,,
CFIHOS-40000485,inlet flange size,Is a diameter by which a quantitative diameter is referred to. Typically a standardized value with defined tolerances.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000486,steam injection,Injection process where steam is injected in another material,Boolean,3,,,,,,
CFIHOS-40000487,design specification,A specification according to which an item is intended to be designed,Text,40,,,,,,
CFIHOS-40000488,piping class,A specification defined by specified circumstances in which piping components may be applied.,Text,40,,,,,,
CFIHOS-40000489,capacity (volume),A volume that can be contained,Number,,CFIHOS-45000033,VOLUME,,,,
CFIHOS-40000490,constant back pressure,A back pressure that does not change under any conditions of operation.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000491,corrosion allowance,A thickness that is the upper limit of allowed corrosion of a metal structure.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000492,cross section area,The area of a cross section,Number,,CFIHOS-45000026,SURFAC,,,,
CFIHOS-40000493,diameter,Intercept made by the circumference on a straight line through the centre of a circle.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000494,dry weight,A weight of an object excluding any operating or process fluids.,Number,,CFIHOS-45000013,MASS,,,,
CFIHOS-40000495,efficiency,Ratio of an output power to an input power,Number,,CFIHOS-45000019,RATIO,,,,
CFIHOS-40000496,height,A distance from the bottom to the top of something standing upright.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000497,hydrostatic test pressure,A test pressure applicable when using water to establish the test pressure.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000498,impedance voltage,A voltage which is the resultant of reactive and resistance component,Number,,CFIHOS-45000038,VOLTAG,,,,
CFIHOS-40000499,insulation thickness,A thickness of an insulation layer.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000500,length tan tan,"A straight linear distance which is the total length of the cylindrical section/part of a cylindrical vessel, i.e. including the cylindrical sections of the vessel heads.",Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000501,load loss,The absorbed active power at rated frequency and reference temperature associated with a pair of windings when rated current is flowing through the line terminals of one of the windings and the terminals of the other windings are short-circuited,Number,,CFIHOS-45000016,POWER,,,,
CFIHOS-40000502,lower limit allowable rotational speed,A rotational speed which is the lowest rotational speed at witch the manufacturer' design will permit continuous operation.,Number,,CFIHOS-45000036,ANGVEL,,,,
CFIHOS-40000503,lower limit design temperature,The lowest temperature at which a functional or physical object is designed.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000504,lower limit operating temperature,A temperature that is the lowest temperature at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000505,lower limit operating volume flow rate,A volume flow rate that is the lowest volume flow rate at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000034,VOLFLO,,,,
CFIHOS-40000506,molecular weight,The sum of all the atomic weights of the constituent atoms of a substance.,Number,,CFIHOS-45000130,MOLWT,,,,
CFIHOS-40000507,net positive suction head available,NPSH for a particular pumping system at a certain flow rate and temperature.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000508,no-load loss,"The active power absorbed when rated voltage at rated frequency is applied to the terminals of one of the windings, the other windings being open-circuit",Number,,CFIHOS-45000016,POWER,,,,
CFIHOS-40000509,nominal diameter,A diameter which is an expected (theoretical/as designed) diameter.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000510,normal operating flow velocity,A flow velocity at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000025,SPEED,,,,
CFIHOS-40000511,normal operating inlet pressure,An inlet pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000512,normal operating pressure,A pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000513,normal operating pressure drop,A pressure drop at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000514,normal operating temperature,A temperature at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000515,normal operating vapour pressure,A vapour pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000516,operating weight,"A weight that is the weight an object is expected to have during operation, i.e. including process fluids etc.",Number,,CFIHOS-45000013,MASS,,,,
CFIHOS-40000517,orifice area,"A cross section area of an orifice plate, orifice ring, or valve.",Number,,CFIHOS-45000026,SURFAC,,,,
CFIHOS-40000518,orifice area calculated,An orifice area that is calculated.,Number,,CFIHOS-45000026,SURFAC,,,,
CFIHOS-40000519,outside diameter,A diameter that is across the outside cross section of a circular object.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000520,outside surface area,An area that is a total outside area of a surface.,Number,,CFIHOS-45000026,SURFAC,,,,
CFIHOS-40000521,rated current,The r.m.s. or DC value of the current for which an apparatus has been designed,Number,,CFIHOS-45000007,ECURR,,,,
CFIHOS-40000522,rated frequency,An electrical frequency of a machine at rated output,Number,,CFIHOS-45000009,FREQU,,,,
CFIHOS-40000523,rated output power,A power that is the power a motor has been designed to deliver under specified conditions.,Number,,CFIHOS-45000016,POWER,,,,
CFIHOS-40000524,rated power consumption,A power consumption at rated conditions.,Number,,CFIHOS-45000016,POWER,,,,
CFIHOS-40000525,rated primary winding voltage,A rated voltage that is the voltage between lines at the terminals of the primary winding on a transformer at rated output,Number,,CFIHOS-45000038,VOLTAG,,,,
CFIHOS-40000526,rated secondary winding voltage,A rated voltage that is the voltage between lines at the terminals of the secondary winding on a transformer at rated output,Number,,CFIHOS-45000038,VOLTAG,,,,
CFIHOS-40000527,rated speed at 1/1 load,A rotational speed that is a rotational speed of an electric rotating machine working at its full load.,Number,,CFIHOS-45000036,ANGVEL,,,,
CFIHOS-40000528,rated voltage,A voltage that is the voltage between lines at the terminals of the machine at rated output,Number,,CFIHOS-45000038,VOLTAG,,,,
CFIHOS-40000529,reactance,"The imaginary part of impedance. Reactance are characterised by the storage of energy rather than by its dissipation, as in resistance.",Number,,CFIHOS-45000020,RESIST,,,,
CFIHOS-40000530,set pressure,A pressure at which an object is activated.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000531,starting current,An electric current that is a peak-current occurring when starting an electric energy transducer,Number,,CFIHOS-45000007,ECURR,,,,
CFIHOS-40000532,test pressure,A pressure to which an object should be subjected to test for leakage and structural integrity.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000533,total weight,A weight that is a sum of the weights of identified parts of an assembly.,Number,,CFIHOS-45000013,MASS,,,,
CFIHOS-40000534,tube length,A distance that is the length of a tube.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000535,upper limit design pressure,The highest pressure at which a functional or physical object is designed for.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000536,upper limit design temperature,The highest temperature at which a functional or physical object is designed.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000537,upper limit operating pressure,A pressure which is the highest pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000538,upper limit operating temperature,A temperature that is the highest temperature at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000539,variable back pressure,A back pressure that varies due to changes in operation of one or more pressure relief valves connected into a common discharge header.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000540,wall thickness,"A thickness which is the thickness of the part of an object normally called wall: wall thickness of a pipe, thickness of a building wall, etc.",Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000541,width,"A straight linear distance describing one of three orthogonal extreme dimensions of a thing relative to a reference system:   height, width, and length, which can be looked at as the sides of a box in the three dim space enclosing the thing exactly.",Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000542,pressure relief device,A fluid regulator that relieves pressure from an enclosed space when the pressure reaches a predetermined value.,Text,40,,,,,,
CFIHOS-40000543,heat tracing,Tracing by supply of heat,Boolean,3,,,,,,
CFIHOS-40000546,density,The mass per unit volume of an object or a fluid,Number,,CFIHOS-45000002,DENSI,,,Required by owner-operators,
CFIHOS-40000547,impeller diameter,The size of the impeller in a rotating machinery,Number,,CFIHOS-45000011,LENGTH,,,Required by owner-operators,
CFIHOS-40000548,lower limit allowable pressure,The pressure which is the lowest allowed.,Number,,CFIHOS-45000017,PRESS,,,Required by owner-operators,
CFIHOS-40000549,lower limit allowable temperature,The temperature which is the lowest allowed.,Number,,CFIHOS-45000028,TEMP,,,Required by owner-operators,
CFIHOS-40000550,lower limit design outlet temperature,The temperature which is the lowest temperature a functional or physical object is designed at its outlet connection,Number,,CFIHOS-45000028,TEMP,,,Required by owner-operators,
CFIHOS-40000551,lower limit design pressure,The lowest pressure at which a functional or physical object is designed.,Number,,CFIHOS-45000017,PRESS,,,Required by owner-operators,
CFIHOS-40000552,lower limit operating inlet pressure,The pressure which is the lowest pressure at which a functional or physical object is expected to operate at its inlet connection.,Number,,CFIHOS-45000017,PRESS,,,Required by owner-operators,
CFIHOS-40000553,lower limit operating inlet temperature,The temperature which is the lowest temperature at which a functional or physical object is expected to operate at its inlet connection.,Number,,CFIHOS-45000028,TEMP,,,Required by owner-operators,
CFIHOS-40000554,lower limit operating outlet pressure,The pressure which is the lowest pressure at which a functional or physical object is expected to operate at its outlet connection.,Number,,CFIHOS-45000017,PRESS,,,Required by owner-operators,
CFIHOS-40000555,lower limit operating outlet temperature,The temperature which is the lowest temperature at which a functional or physical object is expected to operate at its outlet connection.,Number,,CFIHOS-45000028,TEMP,,,Required by owner-operators,
CFIHOS-40000556,lower limit operating pressure,A pressure which is the lowest pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,Required by owner-operators,
CFIHOS-40000557,net positive suction head required,"Minimum NPIP required by the pump to achieve the required performance with the specified fluid at any specified point, as determined by Vendor. NPIP shall always include acceleration losses.",Number,,CFIHOS-45000011,LENGTH,,,Required by owner-operators,
CFIHOS-40000558,normal operating volume flow rate,The volume flow rate at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000034,VOLFLO,,,Required by owner-operators,
CFIHOS-40000559,number of cylinder,The number of cylinders used in an engine,Number,,CFIHOS-45000037,COUNT,,,Required by owner-operators,
CFIHOS-40000560,number of stages,"The number of stages a fluid goes through from input to output (stages in a compressor, stages in a column etc.)",Number,,CFIHOS-45000037,COUNT,,,Required by owner-operators,
CFIHOS-40000561,orientation,"The mount position of an equipment such as horizontal, vertical or submerged",Text,100,,,,,Required by owner-operators,
CFIHOS-40000562,pigging requirements,"Any performance requirements for allowing tools for pigging, through flowline requirements (TFL), workover, or other operations through the pipe, including ID, bend radius, and end-fitting transitions",Boolean,3,,,,,Required by owner-operators,
CFIHOS-40000563,rated fuel consumption,Fuel mass flow rate at rated conditions,Number,,CFIHOS-45000014,MASFLO,,,Required by owner-operators,
CFIHOS-40000564,rated inlet pressure,The pressure to which an installed item is rated,Number,,CFIHOS-45000017,PRESS,,,Required by owner-operators,
CFIHOS-40000565,rated input speed,The speed provided to the input to the power transmission,Number,,CFIHOS-45000036,ANGVEL,,,Required by owner-operators,
CFIHOS-40000566,rated output speed,The speed provided to the output of the power transmission,Number,,CFIHOS-45000036,ANGVEL,,,Required by owner-operators,
CFIHOS-40000567,seal type,"The type of seal used to prevent process fluids to evacuate across the shaft on a rotating machinery / wellhead housing /tree interface seal e.g. VX gasket, VX-V2 gasket",Text,40,,,,,Required by owner-operators,
CFIHOS-40000568,service factor,The percentage of overloading the motor can handle for short periods when operating normally within the correct voltage tolerances.,Number,,CFIHOS-45000019,RATIO,,,Required by owner-operators,
CFIHOS-40000569,trip speed,The speed of which the machine will trip,Number,,CFIHOS-45000036,ANGVEL,,,Required by owner-operators,
CFIHOS-40000570,upper limit allowable pressure,The pressure which is the highest allowed.,Number,,CFIHOS-45000017,PRESS,,,Required by owner-operators,
CFIHOS-40000571,upper limit allowable temperature,The temperature which is the highest allowed.,Number,,CFIHOS-45000028,TEMP,,,Required by owner-operators,
CFIHOS-40000572,upper limit design outlet temperature,The temperature which is the highest temperature a functional or physical object is designed at its outlet connection,Number,,CFIHOS-45000028,TEMP,,,Required by owner-operators,
CFIHOS-40000573,upper limit design volume flow rate,A volume flow rate that is the highest volume flow rate at which a functional or physical object is designed to operate.,Number,,CFIHOS-45000034,VOLFLO,,,Required by owner-operators,
CFIHOS-40000574,upper limit operating inlet temperature,The temperature which is the highest temperature at which a functional or physical object is expected to operate at its inlet connection.,Number,,CFIHOS-45000028,TEMP,,,Required by owner-operators,
CFIHOS-40000575,upper limit operating outlet pressure,The pressure which is the highest pressure at which a functional or physical object is expected to operate at its outlet connection.,Number,,CFIHOS-45000017,PRESS,,,Required by owner-operators,
CFIHOS-40000576,upper limit operating outlet temperature,The temperature which is the highest temperature at which a functional or physical object is expected to operate at its outlet connection.,Number,,CFIHOS-45000028,TEMP,,,Required by owner-operators,
CFIHOS-40000577,upper limit operating volume flow rate,A volume flow rate that is the highest volume flow rate at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000034,VOLFLO,,,Required by owner-operators,
CFIHOS-40000578,burst pressure,A pressure that is the pressure that causes something to burst.,Number,,CFIHOS-45000017,PRESS,,,Required by owner-operators,
CFIHOS-40000579,safety integrity level,"A relative level of risk-reduction provided by a safety function, or to specify a target level of risk reduction",Text,5,,,CFIHOS-50000129,safety integrity level,Required by owner-operators,
CFIHOS-40000580,failure action,The position to which the valve closure member moves when the actuating energy source fails,Text,40,,,CFIHOS-50000128,failure action,Required by owner-operators,
