tag or equipment class CFIHOS unique code,tag or equipment class,source standard CFIHOS unique code,source standard code
CFIHOS-30000805,alternating current motor,CFIHOS-90000111,IOGP S-704:2021
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-90000071,IOGP S-710:2020
CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020
CFIHOS-30000340,electric motor,CFIHOS-90000318,IOGP S-733:2022
CFIHOS-30000541,lubrication system,CFIHOS-90000080,ISO 10438-1:2007
CFIHOS-30000419,coupling,CFIHOS-90000083,ISO 10441:2007
CFIHOS-30001033,vibrating conveyor,CFIHOS-90000206,ISO 1049:1975
CFIHOS-30000053,fired heater,CFIHOS-90000085,ISO 13705:2012
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-90000086,ISO 13706:2011
CFIHOS-30000521,centrifugal pump,CFIHOS-90000088,ISO 13709:2009
CFIHOS-30000318,battery back-up power supply unit,CFIHOS-90000089,ISO 13880:1999
CFIHOS-30000338,electric generator,CFIHOS-90000089,ISO 13880:1999
CFIHOS-30000339,electric heater,CFIHOS-90000089,ISO 13880:1999
CFIHOS-30000340,electric motor,CFIHOS-90000089,ISO 13880:1999
CFIHOS-30000345,electronic frequency converter,CFIHOS-90000089,ISO 13880:1999
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000089,ISO 13880:1999
CFIHOS-30000376,ups unit,CFIHOS-90000089,ISO 13880:1999
CFIHOS-30001027,silo,CFIHOS-90000090,ISO 14224:2016
CFIHOS-30000752,plate heat exchanger,CFIHOS-90000092,ISO 15547-1:2005
CFIHOS-30000984,mobile platform,CFIHOS-90000163,ISO 16368:2010
CFIHOS-30000340,electric motor,CFIHOS-90000093,ISO 1680:2013
CFIHOS-30000755,shell and tube heat exchanger,CFIHOS-90000094,ISO 16812:2019
CFIHOS-30000521,centrifugal pump,CFIHOS-90000096,ISO 21049:2004
CFIHOS-30000058,flare,CFIHOS-90000098,ISO 25457:2008
CFIHOS-30000527,diesel engine,CFIHOS-90000100,ISO 3046-1:2002
CFIHOS-30000958,balustrade,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000963,cell,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000966,corridor,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000968,envelope opening,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000970,equipment room,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000973,foul water drainage,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000974,groundwater protection,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000976,handrail,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000977,hoistwell,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000978,lagging,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000980,leakage collection system,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000982,local access equipment,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000983,lute sample point,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000985,rail crossing indicator,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000988,ramp,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000989,retaining wall,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000991,roof cover,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000992,room,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000993,sanitary ware,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000994,secondary wall,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000997,staircase,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000998,structural ancillary frame,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30000999,structural cell wall,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30001000,structural floor,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30001001,structural frame,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30001002,structural wall,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30001004,surface water collection system,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30001007,vault,CFIHOS-90000164,ISO 6707-1:2020
CFIHOS-30001025,pneumatic conveyor,CFIHOS-90000198,ISO 7149:1982
CFIHOS-30000594,vessel,CFIHOS-90000174,PED 2014/68/EU
CFIHOS-30000961,camera port,CFIHOS-90000165,The Ionising Radiations Regulations 2017
CFIHOS-30000979,lead glass window,CFIHOS-90000165,The Ionising Radiations Regulations 2017
CFIHOS-30001006,tv access plug,CFIHOS-90000165,The Ionising Radiations Regulations 2017
