equipment class CFIHOS unique code,equipment class name,property CFIHOS unique code,property name,property relevant for equipment indicator,property relevant for model / part indicator,SI unit of measure CFIHOS unique code,SI unit of measure name,imperial unit of measure CFIHOS unique code,imperial unit of measure name
CFIHOS-30000521,centrifugal pump,CFIHOS-40001217,line shaft sleeves material,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000549,lower limit allowable temperature,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000810,lower limit diameter,Yes,,CFIHOS-60001469,millimetre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000845,lower limit dynamic sealing pressure,Yes,,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000847,lower limit seal design temperature,Yes,,CFIHOS-60001435,degree celsius,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000813,lower limit stable flow,Yes,,CFIHOS-60001463,cubic metre per hour,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000843,lower limit static sealing pressure,Yes,,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000812,lower limit thermal mass flow,Yes,,CFIHOS-60001463,cubic metre per hour,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001154,machined and studded connections,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000557,net positive suction head required,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001191,nonwetted pressure-retaining fasteners material,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000278,normal operating outlet pressure,Yes,,CFIHOS-60001430,bar absolute,CFIHOS-60001010,pound per square inch absolute
CFIHOS-30000521,centrifugal pump,CFIHOS-40000821,NPSH3 at 120 % of flow,Yes,,CFIHOS-60001461,metre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000820,NPSH3 at rated flow,Yes,,CFIHOS-60001461,metre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000560,number of stages,Yes,,CFIHOS-60000932,piece,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000827,number of vanes,Yes,,CFIHOS-60000932,piece,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001181,oil viscosity ISO grade,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000516,operating weight,Yes,,CFIHOS-60001449,kilogram,CFIHOS-60001413,pound-mass
CFIHOS-30000521,centrifugal pump,CFIHOS-40001146,outlet flange facing,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000312,outlet flange rating,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000313,outlet flange size,Yes,,CFIHOS-60001469,millimetre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000829,pressure casing vent size,Yes,,CFIHOS-60001469,millimetre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001213,process wetted fasteners material,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000811,proposal curve best efficiency point flow (at rated impeller diameter),Yes,,CFIHOS-60001463,cubic metre per hour,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001138,proposal for pump performance curve number,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000832,pump bowl maximum allowable working pressure,Yes,,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001141,pump casing type,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000831,pump column maximum allowable working pressure,Yes,,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001186,pump construction material,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000830,pump discharge head maximum allowable working pressure,Yes,,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000839,pump length (grade to underside of pump inlet bell or strainer dimension),Yes,,CFIHOS-60001469,millimetre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001236,pump mechanical seal primary plan,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001238,pump mechanical seal secondary piping plan,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001140,pump mounting method,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001116,pump size,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000833,pump suction barrel or can maximum allowable working pressure,Yes,,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001168,pump thrust bearing location,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000637,pump type,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001176,radial bearing type,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000564,rated inlet pressure,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000523,rated output power,Yes,,CFIHOS-65000728,horsepower,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000524,rated power consumption,Yes,,CFIHOS-60001458,kilowatt,CFIHOS-60001458,kilowatt
CFIHOS-30000521,centrifugal pump,CFIHOS-40000332,rated speed,Yes,,CFIHOS-60001480,revolution per minute,CFIHOS-60001480,revolution per minute
CFIHOS-30000521,centrifugal pump,CFIHOS-40000333,rated volume flow rate,Yes,,CFIHOS-60001463,cubic metre per hour,CFIHOS-60001422,US gallon per minute
CFIHOS-30000521,centrifugal pump,CFIHOS-40000567,seal type,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001211,shaft enclosing tube material,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001165,shaft flexibility index,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001200,shaft material,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001189,special coating requirement for impellers and other wetted parts,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001139,specific pump speed,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000824,specific pump suction-specific speed,Yes,,CFIHOS-60001480,revolution per minute,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000816,start of allowable operating flow region,Yes,,CFIHOS-60001463,cubic metre per hour,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000814,start of operating flow region,Yes,,CFIHOS-60001463,cubic metre per hour,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001209,strainer material,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001202,suction barrel/can material,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001145,suction nozzle position,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001155,thread specification,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001177,thrust bearing type,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000533,total weight,Yes,,CFIHOS-60001449,kilogram,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000570,upper limit allowable pressure,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000453,upper limit allowable speed,Yes,,CFIHOS-60001480,revolution per minute,CFIHOS-60001480,revolution per minute
CFIHOS-30000521,centrifugal pump,CFIHOS-40000571,upper limit allowable temperature,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000809,upper limit diameter,Yes,,CFIHOS-60001469,millimetre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000844,upper limit dynamic sealing pressure,Yes,,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000818,upper limit head at rated impeller,Yes,,CFIHOS-60001461,metre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000462,upper limit operating discharge pressure,Yes,,CFIHOS-65001148,bar,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000537,upper limit operating pressure,Yes,,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000819,upper limit power at rated impeller,Yes,,CFIHOS-65000728,horsepower,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000846,upper limit seal design temperature,Yes,,CFIHOS-60001435,degree celsius,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000842,upper limit static sealing pressure,Yes,,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001153,warm-up or cool-down line for instantaneous start up,Yes,,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001199,wear parts hardnesses,Yes,,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000017,body material,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000586,inlet connection type,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000587,outlet connection type,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000591,pressure rating,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000588,seat design type,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000592,seat leakage class,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000589,stem sealing type,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000593,temperature rating,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000596,trim type,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000570,upper limit allowable pressure,Yes,,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000472,upper limit operating mass flow rate,Yes,,CFIHOS-60001450,kilogram per hour,CFIHOS-60001478,pound per hour
CFIHOS-30000811,choke control valve,CFIHOS-40000590,valve operator type,Yes,,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000017,body material,Yes,,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000586,inlet connection type,Yes,,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000587,outlet connection type,Yes,,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000591,pressure rating,Yes,,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000333,rated volume flow rate,Yes,,CFIHOS-60001463,cubic metre per hour,CFIHOS-60001422,US gallon per minute
CFIHOS-30000812,choke valve,CFIHOS-40000588,seat design type,Yes,,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000592,seat leakage class,Yes,,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000589,stem sealing type,Yes,,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000593,temperature rating,Yes,,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000570,upper limit allowable pressure,Yes,,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000472,upper limit operating mass flow rate,Yes,,CFIHOS-60001450,kilogram per hour,CFIHOS-60001478,pound per hour
CFIHOS-30000812,choke valve,CFIHOS-40000590,valve operator type,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001029,access port(s) between crown plugs (on HXT),Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001060,annulus access valve,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001021,annulus configuration,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001022,annulus material trim,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000647,asphaltenes,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001024,crossover piping production bore intersection location,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000661,design water depth,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000759,flow rate capability for THAID with less than 1 in² flow-by area,Yes,,CFIHOS-65000852,cubic metre per day,,
CFIHOS-30000494,christmas tree,CFIHOS-40001081,flowline connection type,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001080,gas lift choke configuration and retrieval method,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001079,gas lift choke operation,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001093,gas lift flow meter retrieval method,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001033,HXT lower crown plug model,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000744,HXT lower crown plug pressure rating,Yes,,CFIHOS-65001148,bar,,
CFIHOS-30000494,christmas tree,CFIHOS-40001035,HXT lower crown plug size,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001034,HXT lower crown plug type,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001030,HXT upper crown plug model,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000743,HXT upper crown plug pressure rating,Yes,,CFIHOS-65001148,bar,,
CFIHOS-30000494,christmas tree,CFIHOS-40001032,HXT upper crown plug size,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001031,HXT upper crown plug type,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000650,hydrate formation,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000652,insulation required,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000646,mudline suspension system,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000644,number of connection,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000645,piggable,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001047,pressure-containing tree cap locking method,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001091,production (injection) choke configuration and retrieval method,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001077,production (injection) choke operation,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001092,production (injection) flow meter retrieval method,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000651,sand production,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000648,scale formation,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001056,tubing hanger bottom connection details for downhole electric/fiber optic line(s),Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001057,tubing hanger bottom tubing connection for SCSSV line(s),Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001054,tubing hanger bottom tubing connection type for downhole hydraulic and chemical injection lines,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000749,tubing hanger pup joint / saver sub bore,Yes,,CFIHOS-60001469,millimetre,,
CFIHOS-30000494,christmas tree,CFIHOS-40001045,tubing hanger pup joint / saver sub connection type,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000750,tubing hanger pup joint / saver sub length,Yes,,CFIHOS-60001469,millimetre,,
CFIHOS-30000494,christmas tree,CFIHOS-40000748,tubing hanger pup joint / saver sub outer diameter,Yes,,CFIHOS-60001469,millimetre,,
CFIHOS-30000494,christmas tree,CFIHOS-40001113,tubing hanger rotational torque resistance capacity,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001103,valve ROV override type,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001059,VXT – swab valves (PSV and ASV),Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001042,VXT other tubing plug model,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000747,VXT other tubing plug pressure rating,Yes,,CFIHOS-65001148,bar,,
CFIHOS-30000494,christmas tree,CFIHOS-40001044,VXT other tubing plug size,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001043,VXT other tubing plug type,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001046,VXT pressure-containing tree cap configuration,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001106,VXT tree cap pressure-containing seals,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001039,VXT tubing hanger annulus bore plug model,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000746,VXT tubing hanger annulus bore plug pressure rating,Yes,,CFIHOS-65001148,bar,,
CFIHOS-30000494,christmas tree,CFIHOS-40001041,VXT tubing hanger annulus bore plug size,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001040,VXT tubing hanger annulus bore plug type,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001107,VXT tubing hanger external A annulus seals,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001036,VXT tubing hanger production bore plug model,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000745,VXT tubing hanger production bore plug pressure rating,Yes,,CFIHOS-65001148,bar,,
CFIHOS-30000494,christmas tree,CFIHOS-40001038,VXT tubing hanger production bore plug size,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001037,VXT tubing hanger production bore plug type,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000649,wax formation,Yes,,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001018,wellhead isolation-sleeve sealing location,Yes,,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000489,capacity (volume),Yes,,CFIHOS-60001462,cubic metre,CFIHOS-60001439,cubic foot
CFIHOS-30000572,coalescer,CFIHOS-40000494,dry weight,Yes,,CFIHOS-60001449,kilogram,CFIHOS-60001413,pound-mass
CFIHOS-30000572,coalescer,CFIHOS-40000115,external maximum allowable working pressure new and cold,Yes,,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000572,coalescer,CFIHOS-40000145,head external corrosion allowance,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000572,coalescer,CFIHOS-40000146,head internal corrosion allowance,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000572,coalescer,CFIHOS-40000497,hydrostatic test pressure,Yes,,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000572,coalescer,CFIHOS-40000188,internal maximum allowable working pressure new and cold,Yes,,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000572,coalescer,CFIHOS-40000200,legal registration number,Yes,,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000500,length tan tan,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000572,coalescer,CFIHOS-40000633,lined surface,Yes,,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000549,lower limit allowable temperature,Yes,,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000232,minimum design metal temperature,Yes,,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000572,coalescer,CFIHOS-40000516,operating weight,Yes,,CFIHOS-60001449,kilogram,CFIHOS-60001413,pound-mass
CFIHOS-30000572,coalescer,CFIHOS-40000519,outside diameter,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000572,coalescer,CFIHOS-40000318,post weld heat treatment,Yes,,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000350,shell internal corrosion allowance,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000572,coalescer,CFIHOS-40000353,shell material,Yes,,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000369,shell wall thickness,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000572,coalescer,CFIHOS-40000570,upper limit allowable pressure,Yes,,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000571,upper limit allowable temperature,Yes,,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000613,compass,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000402,computer,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000402,computer,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000402,computer,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000402,computer,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000402,computer,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000402,computer,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000402,computer,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000402,computer,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000402,computer,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000402,computer,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000402,computer,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000634,calibration range,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000635,fault tolerance,Yes,,,,,
CFIHOS-30000021,concentration transmitter,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000403,conductivity cell,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000403,conductivity cell,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000403,conductivity cell,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000403,conductivity cell,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000403,conductivity cell,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000403,conductivity cell,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000403,conductivity cell,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000403,conductivity cell,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000403,conductivity cell,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000403,conductivity cell,CFIHOS-40000113,explosion protection zone,Yes,,,,,
