CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,source standard code CFIHOS unique code,source standard code,source standard section,property name in source standard,property sequence number
CFIHOS-95000551,CFIHOS-30000521,centrifugal pump,CFIHOS-40001223,additional surface/sub-surface examination,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1619,Additional surface/sub-surface examination,
CFIHOS-95000552,CFIHOS-30000521,centrifugal pump,CFIHOS-40001224,additional surface/sub-surface examination components,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1620,Additional surface/sub-surface examination for,
CFIHOS-95000553,CFIHOS-30000521,centrifugal pump,CFIHOS-40000796,alternate flow positive suction head available,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1275,NPSHA alternative condition,
CFIHOS-95000554,CFIHOS-30000521,centrifugal pump,CFIHOS-40000799,alternate operating temperature,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3297,Pumping temperature alternative condition,
CFIHOS-95000555,CFIHOS-30000521,centrifugal pump,CFIHOS-40000791,alternate operating volume flow rate,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1270,Flow alternative condition,
CFIHOS-95000556,CFIHOS-30000521,centrifugal pump,CFIHOS-40000805,alternative design differential pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3185,Differential pressure alternative condition,
CFIHOS-95000557,CFIHOS-30000521,centrifugal pump,CFIHOS-40000807,alternative operating differential head pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3190,Differential head alternative condition,
CFIHOS-95000558,CFIHOS-30000521,centrifugal pump,CFIHOS-40000801,alternative operating pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3298,Discharge pressure alternative condition,
CFIHOS-95000559,CFIHOS-30000521,centrifugal pump,CFIHOS-40000801,alternative operating pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3299,Suction pressure alternative condition,
CFIHOS-95000560,CFIHOS-30000521,centrifugal pump,CFIHOS-40001115,applicable to,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1231,Applicable to,
CFIHOS-95000561,CFIHOS-30000521,centrifugal pump,CFIHOS-40001201,"auxiliary process-liquid lines, fittings and other connections to casing, including seal plans material",CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1547,"Auxiliary process-liquid lines, fittings and other connections to casing, including seal plans material",
CFIHOS-95000562,CFIHOS-30000521,centrifugal pump,CFIHOS-40001149,auxiliary process-liquid piping construction,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3351,Auxiliary process-liquid piping construction,
CFIHOS-95000563,CFIHOS-30000521,centrifugal pump,CFIHOS-40000763,average ambient operating pressure at equipment location,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3259,Barometer,
CFIHOS-95000564,CFIHOS-30000521,centrifugal pump,CFIHOS-40001156,bearing housing cooling method,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1700,Bearing housing cooling method,
CFIHOS-95000565,CFIHOS-30000521,centrifugal pump,CFIHOS-40001218,bearing lubrication lines material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1567,Bearing lubrication lines material,
CFIHOS-95000566,CFIHOS-30000521,centrifugal pump,CFIHOS-40001180,bearing lubrication method,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1496,Lubrication,
CFIHOS-95000567,CFIHOS-30000521,centrifugal pump,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1512,Oil type,
CFIHOS-95000568,CFIHOS-30000521,centrifugal pump,CFIHOS-40001214,bearing retainer or spider material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1563,Bearing retainer or spider material,
CFIHOS-95000569,CFIHOS-30000521,centrifugal pump,CFIHOS-40001208,bellmouth/suction cover material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1556,Bellmouth/suction cover material,
CFIHOS-95000570,CFIHOS-30000521,centrifugal pump,CFIHOS-40001219,bowl bearing material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1568,Bowl bearing material,
CFIHOS-95000571,CFIHOS-30000521,centrifugal pump,CFIHOS-40001212,bowl shaft material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1561,Bowl shaft material,
CFIHOS-95000572,CFIHOS-30000521,centrifugal pump,CFIHOS-40001207,bowl/casing material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1555,Bowl/casing material,
CFIHOS-95000573,CFIHOS-30000521,centrifugal pump,CFIHOS-40001190,case and case cover material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1537,Case and case cover material,
CFIHOS-95000574,CFIHOS-30000521,centrifugal pump,CFIHOS-40001198,case wear ring material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1545,Case wear ring material,
CFIHOS-95000575,CFIHOS-30000521,centrifugal pump,CFIHOS-40000040,chloride concentration,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1335,Cooling water chloride concentration,
CFIHOS-95000576,CFIHOS-30000521,centrifugal pump,CFIHOS-40000040,chloride concentration,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3328,Chloride concentration,
CFIHOS-95000577,CFIHOS-30000521,centrifugal pump,CFIHOS-40001143,"component balance to ISO 21940-11, Grade G1.0",CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1468,"Component balance to ISO 21940-11, Grade G1.0",
CFIHOS-95000578,CFIHOS-30000521,centrifugal pump,CFIHOS-40000928,conformity assessment system level,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3249,Conformity assessment system (CAS) level,
CFIHOS-95000579,CFIHOS-30000521,centrifugal pump,CFIHOS-40001157,cooling water piping plan,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1711,Cooling water piping plan,
CFIHOS-95000580,CFIHOS-30000521,centrifugal pump,CFIHOS-40001132,cooling water type,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3229,Cooling water type,
CFIHOS-95000581,CFIHOS-30000521,centrifugal pump,CFIHOS-40001135,corrosion due to,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1260,Corrosive constituents,
CFIHOS-95000582,CFIHOS-30000521,centrifugal pump,CFIHOS-40000929,country region,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3251,Project region,
CFIHOS-95000583,CFIHOS-30000521,centrifugal pump,CFIHOS-40001150,design approval prior to fabrication,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1766,Connection design approval prior to fabrication,
CFIHOS-95000584,CFIHOS-30000521,centrifugal pump,CFIHOS-40001192,diffuser material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1539,Diffuser material,
CFIHOS-95000585,CFIHOS-30000521,centrifugal pump,CFIHOS-40000075,direction of rotation,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1461,Rotation (viewed from coupling end),
CFIHOS-95000586,CFIHOS-30000521,centrifugal pump,CFIHOS-40001204,discharge column material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1549,Discharge column material,
CFIHOS-95000587,CFIHOS-30000521,centrifugal pump,CFIHOS-40001206,discharge elbow and pipe material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3355,Discharge elbow and pipe material,
CFIHOS-95000588,CFIHOS-30000521,centrifugal pump,CFIHOS-40001203,discharge head material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1551,Discharge head material,
CFIHOS-95000589,CFIHOS-30000521,centrifugal pump,CFIHOS-40001147,discharge nozzle position,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1389,Discharge position,
CFIHOS-95000590,CFIHOS-30000521,centrifugal pump,CFIHOS-40000828,drain nominal size,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1399,Pressure casing drain size,
CFIHOS-95000591,CFIHOS-30000521,centrifugal pump,CFIHOS-40001151,drain valve supplied by,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1434,Drain valve supplied by,
CFIHOS-95000592,CFIHOS-30000521,centrifugal pump,CFIHOS-40000495,efficiency,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1354,Efficiency,
CFIHOS-95000593,CFIHOS-30000521,centrifugal pump,CFIHOS-40000739,elevation over mean sea level,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3258,Elevation,
CFIHOS-95000594,CFIHOS-30000521,centrifugal pump,CFIHOS-40000817,end of allowable operating flow region,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1360,End of allowable operating region,
CFIHOS-95000595,CFIHOS-30000521,centrifugal pump,CFIHOS-40000815,end of operating flow region,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1361,End of preferred operating region,
CFIHOS-95000596,CFIHOS-30000521,centrifugal pump,CFIHOS-40000944,environmental location,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3252,Plant environmental location,
CFIHOS-95000597,CFIHOS-30000521,centrifugal pump,CFIHOS-40001136,erosion due to,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1261,Erosive constituents,
CFIHOS-95000598,CFIHOS-30000521,centrifugal pump,CFIHOS-40000110,explosion protection gas group,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3310,Explosion gas group (IEC),
CFIHOS-95000599,CFIHOS-30000521,centrifugal pump,CFIHOS-40000110,explosion protection gas group,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3313,Explosion gas group (NFPA),
CFIHOS-95000600,CFIHOS-30000521,centrifugal pump,CFIHOS-40000112,explosion protection temperature class,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3311,Temperature class (IEC),
CFIHOS-95000601,CFIHOS-30000521,centrifugal pump,CFIHOS-40000112,explosion protection temperature class,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3314,Temperature class (NFPA),
CFIHOS-95000602,CFIHOS-30000521,centrifugal pump,CFIHOS-40000113,explosion protection zone,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3309,Explosion hazard classification (IEC),
CFIHOS-95000603,CFIHOS-30000521,centrifugal pump,CFIHOS-40000113,explosion protection zone,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3312,Explosion hazard classification (NFPA),
CFIHOS-95000604,CFIHOS-30000521,centrifugal pump,CFIHOS-40001260,flat surface provision for mounting accelerometers only,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1727,Flat surface provision for mounting accelerometers only,
CFIHOS-95000605,CFIHOS-30000521,centrifugal pump,CFIHOS-40001264,flat surface provision for mounting vibration probes only,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1728,Flat surface provision for mounting vibration probes only,
CFIHOS-95000606,CFIHOS-30000521,centrifugal pump,CFIHOS-40001128,floating applications motion design criteria,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1470,Floating applications motion design criteria,
CFIHOS-95000607,CFIHOS-30000521,centrifugal pump,CFIHOS-40001133,fouling factor,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1334,Fouling factor,
CFIHOS-95000608,CFIHOS-30000521,centrifugal pump,CFIHOS-40001175,grade (underside of pump mounting plate or top of foundation) elevation,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3277,Grade (underside of pump mounting plate or top of foundation) elevation,
CFIHOS-95000609,CFIHOS-30000521,centrifugal pump,CFIHOS-40000840,grade to first stage impeller centerline dimension,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3335,Grade to first stage impeller centerline dimension,
CFIHOS-95000610,CFIHOS-30000521,centrifugal pump,CFIHOS-40000841,grade to liquid minimum submergence level dimension,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3280,Grade to liquid minimum submergence level dimension,
CFIHOS-95000611,CFIHOS-30000521,centrifugal pump,CFIHOS-40001184,grease grade,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3347,Grease grade,
CFIHOS-95000612,CFIHOS-30000521,centrifugal pump,CFIHOS-40001183,grease type,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3343,Grease type,
CFIHOS-95000613,CFIHOS-30000521,centrifugal pump,CFIHOS-40001174,hardened sleeves under line shaft bearings,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1656,Hardened sleeves under line shaft bearings,
CFIHOS-95000614,CFIHOS-30000521,centrifugal pump,CFIHOS-40001222,"hardness testing of parts, welds and heat-affected zones",CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3338,"Hardness testing of parts, welds and heat-affected zones",
CFIHOS-95000615,CFIHOS-30000521,centrifugal pump,CFIHOS-40001129,hazardous area certification standard,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3308,Hazardous area certification standard,
CFIHOS-95000616,CFIHOS-30000521,centrifugal pump,CFIHOS-40001205,head column material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1554,Head column material,
CFIHOS-95000617,CFIHOS-30000521,centrifugal pump,CFIHOS-40000543,heat tracing,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3306a,Heat tracing,
CFIHOS-95000618,CFIHOS-30000521,centrifugal pump,CFIHOS-40001159,heat tracing and insulation location,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3307,Extent of heat tracing and insulation,
CFIHOS-95000619,CFIHOS-30000521,centrifugal pump,CFIHOS-40001160,heat tracing supplied by,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1444a,Heat tracing supplied and installed by,
CFIHOS-95000620,CFIHOS-30000521,centrifugal pump,CFIHOS-40001240,heating jacket required,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1480,Heating jacket required,
CFIHOS-95000621,CFIHOS-30000521,centrifugal pump,CFIHOS-40001131,heating medium,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1716,Heating medium,
CFIHOS-95000622,CFIHOS-30000521,centrifugal pump,CFIHOS-40001162,heating tracing specification,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3199a,Heating tracing specification,
CFIHOS-95000623,CFIHOS-30000521,centrifugal pump,CFIHOS-40001130,ignition hazard assessment,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1776,Ignition hazard assessment,
CFIHOS-95000624,CFIHOS-30000521,centrifugal pump,CFIHOS-40000547,impeller diameter,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1349,Impeller diameter rated,
CFIHOS-95000625,CFIHOS-30000521,centrifugal pump,CFIHOS-40001193,impeller material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1540,Impeller material,
CFIHOS-95000626,CFIHOS-30000521,centrifugal pump,CFIHOS-40001142,impeller type,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3353,Impeller type,
CFIHOS-95000627,CFIHOS-30000521,centrifugal pump,CFIHOS-40001197,impeller wear component hardness,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1544,Impeller wear component hardness,
CFIHOS-95000628,CFIHOS-30000521,centrifugal pump,CFIHOS-40001196,impeller wear component material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1543,Impeller wear component material,
CFIHOS-95000629,CFIHOS-30000521,centrifugal pump,CFIHOS-40001195,impeller wear component type,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1542,Impeller wear component type,
CFIHOS-95000630,CFIHOS-30000521,centrifugal pump,CFIHOS-40001122,individual pump flow control,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3349,Individual pump flow control,
CFIHOS-95000631,CFIHOS-30000521,centrifugal pump,CFIHOS-40001194,inducer material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1541,Inducer material,
CFIHOS-95000632,CFIHOS-30000521,centrifugal pump,CFIHOS-40001144,inlet flange facing,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1383,Suction facing,
CFIHOS-95000633,CFIHOS-30000521,centrifugal pump,CFIHOS-40000174,inlet flange rating,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1384,Suction rating,
CFIHOS-95000634,CFIHOS-30000521,centrifugal pump,CFIHOS-40000485,inlet flange size,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1381,Suction size,
CFIHOS-95000635,CFIHOS-30000521,centrifugal pump,CFIHOS-40001119,instantaneous start up requirement,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1241,Instantaneous start-up,
CFIHOS-95000636,CFIHOS-30000521,centrifugal pump,CFIHOS-40000652,insulation required,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3306b,Insulation,
CFIHOS-95000637,CFIHOS-30000521,centrifugal pump,CFIHOS-40001163,insulation specification,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3199b,Insulation specification,
CFIHOS-95000638,CFIHOS-30000521,centrifugal pump,CFIHOS-40001161,insulation supplied by,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1444b,Insulation supplied and installed by,
CFIHOS-95000639,CFIHOS-30000521,centrifugal pump,CFIHOS-40001173,line shaft bearing lube,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3216,Line shaft bearing lube,
CFIHOS-95000640,CFIHOS-30000521,centrifugal pump,CFIHOS-40001215,line shaft bearing material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1564,Line shaft bearing material,
CFIHOS-95000641,CFIHOS-30000521,centrifugal pump,CFIHOS-40000834,line shaft bearing quantity,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1652,Line shaft bearing quantity,
CFIHOS-95000642,CFIHOS-30000521,centrifugal pump,CFIHOS-40001172,line shaft configuration,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1658,Line shaft configuration,
CFIHOS-95000643,CFIHOS-30000521,centrifugal pump,CFIHOS-40001171,line shaft connection,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1660,Line shaft connection,
CFIHOS-95000644,CFIHOS-30000521,centrifugal pump,CFIHOS-40001216,line shaft hard facing material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1565,Line shaft hard facing material,
CFIHOS-95000645,CFIHOS-30000521,centrifugal pump,CFIHOS-40001210,line shaft material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1558,Line shaft material,
CFIHOS-95000646,CFIHOS-30000521,centrifugal pump,CFIHOS-40001217,line shaft sleeves material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1566,Line shaft sleeves material,
CFIHOS-95000647,CFIHOS-30000521,centrifugal pump,CFIHOS-40000205,liquid name,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1243,Liquid name,
CFIHOS-95000648,CFIHOS-30000521,centrifugal pump,CFIHOS-40001134,liquid type,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1244,Liquid type,
CFIHOS-95000649,CFIHOS-30000521,centrifugal pump,CFIHOS-40001123,location heated or unheated,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3254,Location climate,
CFIHOS-95000650,CFIHOS-30000521,centrifugal pump,CFIHOS-40000943,location in or outdoor,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3253,Equipment location,
CFIHOS-95000651,CFIHOS-30000521,centrifugal pump,CFIHOS-40000835,low liquid level elevation,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3279,Low liquid level elevation,
CFIHOS-95000652,CFIHOS-30000521,centrifugal pump,CFIHOS-40000810,lower limit diameter,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1351,Impeller diameter minimum,
CFIHOS-95000653,CFIHOS-30000521,centrifugal pump,CFIHOS-40000845,lower limit dynamic sealing pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1484,Dynamic sealing pressure minimum,
CFIHOS-95000654,CFIHOS-30000521,centrifugal pump,CFIHOS-40000795,lower limit flow net positive suction head available,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1274,NPSHA minimum,
CFIHOS-95000655,CFIHOS-30000521,centrifugal pump,CFIHOS-40000782,lower limit liquid density,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1253,Relative density minimum,
CFIHOS-95000656,CFIHOS-30000521,centrifugal pump,CFIHOS-40000769,lower limit operating heating steam pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1345,Heating steam minimum pressure,
CFIHOS-95000657,CFIHOS-30000521,centrifugal pump,CFIHOS-40000767,lower limit operating heating steam temperature,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3230,Heating steam minimum temperature,
CFIHOS-95000658,CFIHOS-30000521,centrifugal pump,CFIHOS-40000775,lower limit operating instrument air pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1337,Instrument air minimum pressure,
CFIHOS-95000659,CFIHOS-30000521,centrifugal pump,CFIHOS-40000787,lower limit operating liquid dynamic viscosity,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1259,Viscosity minimum,
CFIHOS-95000660,CFIHOS-30000521,centrifugal pump,CFIHOS-40000219,lower limit operating suction pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3295,Suction pressure minimum,
CFIHOS-95000661,CFIHOS-30000521,centrifugal pump,CFIHOS-40000504,lower limit operating temperature,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3296,Pumping temperature minimum,
CFIHOS-95000662,CFIHOS-30000521,centrifugal pump,CFIHOS-40000505,lower limit operating volume flow rate,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1269,Flow minimum,
CFIHOS-95000663,CFIHOS-30000521,centrifugal pump,CFIHOS-40000847,lower limit seal design temperature,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1486,Seal design temperature minimum,
CFIHOS-95000664,CFIHOS-30000521,centrifugal pump,CFIHOS-40000765,lower limit site ambient temperature,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3261,Minimum ambient temperature,
CFIHOS-95000665,CFIHOS-30000521,centrifugal pump,CFIHOS-40000766,lower limit site relative humidity,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3263,Minimum relative humidity,
CFIHOS-95000666,CFIHOS-30000521,centrifugal pump,CFIHOS-40001396,lower limit specific heat,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1256,Specific heat minimum,
CFIHOS-95000667,CFIHOS-30000521,centrifugal pump,CFIHOS-40000813,lower limit stable flow,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1357,Minimum flow stable,
CFIHOS-95000668,CFIHOS-30000521,centrifugal pump,CFIHOS-40000843,lower limit static sealing pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1482,Static sealing pressure minimum,
CFIHOS-95000669,CFIHOS-30000521,centrifugal pump,CFIHOS-40000812,lower limit thermal mass flow,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1356,Minimum flow thermal,
CFIHOS-95000670,CFIHOS-30000521,centrifugal pump,CFIHOS-40000779,lower limit vapour pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1247,Vapor pressure minimum,
CFIHOS-95000671,CFIHOS-30000521,centrifugal pump,CFIHOS-40000776,lower upper operating instrument air pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1336,Instrument air maximum pressure,
CFIHOS-95000672,CFIHOS-30000521,centrifugal pump,CFIHOS-40001154,machined and studded connections,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1441,Machined and studded connections,
CFIHOS-95000673,CFIHOS-30000521,centrifugal pump,CFIHOS-40001188,material hardness standard,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1534,Applicable hardness standard,
CFIHOS-95000674,CFIHOS-30000521,centrifugal pump,CFIHOS-40000232,minimum design metal temperature,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1532,Minimum design metal temperature,
CFIHOS-95000675,CFIHOS-30000521,centrifugal pump,CFIHOS-40001270,monitors and cables supplied by,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1732,Monitors and cables supplied by,
CFIHOS-95000676,CFIHOS-30000521,centrifugal pump,CFIHOS-40001191,nonwetted pressure-retaining fasteners material,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1538,Nonwetted pressure-retaining fasteners material,
CFIHOS-95000677,CFIHOS-30000521,centrifugal pump,CFIHOS-40000793,normal flow net positive suction head available,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1272,NPSHA normal,
CFIHOS-95000678,CFIHOS-30000521,centrifugal pump,CFIHOS-40000255,normal operating dynamic viscosity,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1257,Viscosity rated,
CFIHOS-95000679,CFIHOS-30000521,centrifugal pump,CFIHOS-40000803,normal operating suction pressure,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3293,Suction pressure normal,
CFIHOS-95000680,CFIHOS-30000521,centrifugal pump,CFIHOS-40000514,normal operating temperature,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3286,Pumping temperature normal,
CFIHOS-95000681,CFIHOS-30000521,centrifugal pump,CFIHOS-40001397,normal specific heat,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1254,Specific heat rated,
CFIHOS-95000682,CFIHOS-30000521,centrifugal pump,CFIHOS-40000293,normal volume flow rate,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1267,Flow normal,
CFIHOS-95000683,CFIHOS-30000521,centrifugal pump,CFIHOS-40001148,nozzle load,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1390,Nozzle loads,
CFIHOS-95000684,CFIHOS-30000521,centrifugal pump,CFIHOS-40000850,number of accelerometers,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1722,Number of accelerometers,
CFIHOS-95000685,CFIHOS-30000521,centrifugal pump,CFIHOS-40000302,number of electrical phases,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3269,Drivers phase,
CFIHOS-95000686,CFIHOS-30000521,centrifugal pump,CFIHOS-40000302,number of electrical phases,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3270,Heating phase,
CFIHOS-95000687,CFIHOS-30000521,centrifugal pump,CFIHOS-40000560,number of stages,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1235,Number of stages,
CFIHOS-95000688,CFIHOS-30000521,centrifugal pump,CFIHOS-40001118,number of starts,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1239,Number of starts,
CFIHOS-95000689,CFIHOS-30000521,centrifugal pump,CFIHOS-40000852,number of temperature probes per radial bearing,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1734,Number of temperature probes per radial bearing,
CFIHOS-95000690,CFIHOS-30000521,centrifugal pump,CFIHOS-40000762,number of units required,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1236,Number of pump units,
CFIHOS-95000691,CFIHOS-30000521,centrifugal pump,CFIHOS-40000827,number of vanes,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3354,Impeller number of vanes,
CFIHOS-95000692,CFIHOS-30000521,centrifugal pump,CFIHOS-40000851,number of vibration probes per radial bearing,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-3356,Number of vibration probes per radial bearing,
CFIHOS-95000693,CFIHOS-30000521,centrifugal pump,CFIHOS-40001185,oil mist reclassifiers supplied by,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1518,Oil mist reclassifiers supplied by,
CFIHOS-95000694,CFIHOS-30000521,centrifugal pump,CFIHOS-40001181,oil viscosity ISO grade,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1511,Oil viscosity ISO grade,
CFIHOS-95000695,CFIHOS-30000521,centrifugal pump,CFIHOS-40001265,one-event-per-revolution probe (key phasor),CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1731,One-event-per-revolution probe (key phasor),
CFIHOS-95000696,CFIHOS-30000521,centrifugal pump,CFIHOS-40001146,outlet flange facing,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1387,Discharge facing,
CFIHOS-95000697,CFIHOS-30000521,centrifugal pump,CFIHOS-40000312,outlet flange rating,CFIHOS-90000061,IOGP S-615:2019,S615-DSE-1388,Discharge rating,
