source standard document and data requirement CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,asset type reference,source standard CFIHOS unique code,source standard code,document type CFIHOS unique code,document type name
CFIHOS-68000707,CFIHOS-30000593,tank,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000708,CFIHOS-30000593,tank,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000197,lessons learned report
CFIHOS-68000709,CFIHOS-30000593,tank,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000710,CFIHOS-30000593,tank,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000287,pressure test report
CFIHOS-68000711,CFIHOS-30000593,tank,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000712,CFIHOS-30000593,tank,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000713,CFIHOS-30000593,tank,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000408,welding procedure specification
CFIHOS-68000714,CFIHOS-30000593,tank,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000715,CFIHOS-30000372,temperature detector,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000716,CFIHOS-30000372,temperature detector,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000717,CFIHOS-30000473,temperature gauge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000718,CFIHOS-30000475,temperature switch,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000719,CFIHOS-30000475,temperature switch,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000720,CFIHOS-30000476,temperature transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000721,CFIHOS-30000476,temperature transmitter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000722,CFIHOS-30000476,temperature transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000723,CFIHOS-30000373,thermostatic switch,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000724,CFIHOS-30000373,thermostatic switch,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000725,CFIHOS-30000362,transformer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000726,CFIHOS-30000378,vibration transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000727,CFIHOS-30000378,vibration transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000728,CFIHOS-30000278,waste compactor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000729,CFIHOS-30000278,waste compactor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual
CFIHOS-68000730,CFIHOS-30000278,waste compactor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000731,CFIHOS-30000278,waste compactor,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000732,CFIHOS-30000278,waste compactor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000733,CFIHOS-30000278,waste compactor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000734,CFIHOS-30000280,water desalination system,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000735,CFIHOS-30000280,water desalination system,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual
CFIHOS-68000736,CFIHOS-30000280,water desalination system,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000737,CFIHOS-30000280,water desalination system,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000287,pressure test report
CFIHOS-68000738,CFIHOS-30000280,water desalination system,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000739,CFIHOS-30000280,water desalination system,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000740,CFIHOS-30000280,water desalination system,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000408,welding procedure specification
CFIHOS-68000741,CFIHOS-30000280,water desalination system,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000742,CFIHOS-30000380,weight transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000743,CFIHOS-30000380,weight transmitter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000744,CFIHOS-30000380,weight transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000745,CFIHOS-30000515,aerator,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000746,CFIHOS-30000103,air balancing unit,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000747,CFIHOS-30000383,air cooled heat exchanger,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000748,CFIHOS-30000316,amplifier,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000749,CFIHOS-30000105,analyser element,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000750,CFIHOS-30000510,anchor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000751,CFIHOS-30000286,anemometer,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000752,CFIHOS-30000317,anode,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000753,CFIHOS-30000397,antenna,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000754,CFIHOS-30000108,attenuator,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000755,CFIHOS-30000109,axial displacement transmitter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000756,CFIHOS-30000110,balancing damper,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000757,CFIHOS-30000298,basket,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000758,CFIHOS-30000001,beam clamp,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000759,CFIHOS-30000517,bearing,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000760,CFIHOS-30000399,bell,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000761,CFIHOS-30000002,bicycle,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000762,CFIHOS-30000003,blow out preventer,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000763,CFIHOS-30000384,boiler,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000764,CFIHOS-30000519,brake,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000765,CFIHOS-30000004,break glass unit,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000766,CFIHOS-30000005,breathing apparatus,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000767,CFIHOS-30000595,buoy,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000768,CFIHOS-30000320,busbar,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000769,CFIHOS-30000007,cabinet,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000770,CFIHOS-30000322,capacitor bank,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000771,CFIHOS-30000011,car,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000772,CFIHOS-30000012,cctv camera,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000773,CFIHOS-30000596,chain,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000774,CFIHOS-30000563,chain conveyor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000775,CFIHOS-30000013,chain hoist,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000776,CFIHOS-30000300,chamber,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000777,CFIHOS-30000494,christmas tree,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000778,CFIHOS-30000323,circuit-breaker,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000779,CFIHOS-30000017,cleaning machine,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000780,CFIHOS-30000018,climbing net,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000781,CFIHOS-30000324,clock,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000782,CFIHOS-30000523,clutch,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000783,CFIHOS-30000572,coalescer,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000784,CFIHOS-30000402,computer,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000785,CFIHOS-30000021,concentration transmitter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000786,CFIHOS-30000326,contactor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000787,CFIHOS-30000405,control box,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000788,CFIHOS-30000022,control module,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000789,CFIHOS-30000327,control panel,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000790,CFIHOS-30000386,cooler,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000791,CFIHOS-30000408,corrosion element,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000792,CFIHOS-30000409,counter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000793,CFIHOS-30000419,coupling,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000794,CFIHOS-30000597,crane,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000795,CFIHOS-30000024,crane hook block,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000796,CFIHOS-30000329,current transmitter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000797,CFIHOS-30000565,cutter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000798,CFIHOS-30000026,degasser,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000799,CFIHOS-30000029,dew point transmitter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000800,CFIHOS-30000030,diaphragm seal,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000801,CFIHOS-30000415,differential pressure gauge,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000802,CFIHOS-30000417,differential pressure switch,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000803,CFIHOS-30000330,distribution board,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000804,CFIHOS-30000036,document scanner,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000805,CFIHOS-30000037,drilling machine,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000806,CFIHOS-30000332,earth electrode,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000807,CFIHOS-30000508,earthing resistor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000808,CFIHOS-30000338,electric generator,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000809,CFIHOS-30000340,electric motor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000810,CFIHOS-30000344,electrical socket,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000811,CFIHOS-30000345,electronic frequency converter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000812,CFIHOS-30000346,electronic power inverter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000813,CFIHOS-30000598,elevator,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000814,CFIHOS-30000531,extruder,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000815,CFIHOS-30000045,fall arrestor block,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000816,CFIHOS-30000046,fax machine,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000817,CFIHOS-30000566,feeder,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000818,CFIHOS-30000576,filter cartridge,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000819,CFIHOS-30000048,fire blanket,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000820,CFIHOS-30000050,fire door,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000821,CFIHOS-30000512,fire extinguisher,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000822,CFIHOS-30000051,fire fighting vehicle,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000823,CFIHOS-30000052,fire hydrant,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000824,CFIHOS-30000054,firewater monitor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000825,CFIHOS-30000055,first aid kit,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000826,CFIHOS-30000056,flame arrestor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000827,CFIHOS-30000425,flame detector,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000828,CFIHOS-30000057,flame switch,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000829,CFIHOS-30000304,flange,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000830,CFIHOS-30000058,flare,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000831,CFIHOS-30000389,flare tip,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000832,CFIHOS-30000059,flash drum,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000833,CFIHOS-30000347,floodlight,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000834,CFIHOS-30000063,flow orifice plate,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000835,CFIHOS-30000065,fog detector,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000836,CFIHOS-30000305,frame,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000837,CFIHOS-30000348,fuse,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000838,CFIHOS-30000072,fusible plug,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000839,CFIHOS-30000306,gasket,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000840,CFIHOS-30000535,gear box,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000841,CFIHOS-30000077,grease injection unit,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000842,CFIHOS-30000078,grille,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000843,CFIHOS-30000079,grinding machine,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000844,CFIHOS-30000080,guide post,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000845,CFIHOS-30000081,hard disk,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000846,CFIHOS-30000082,heat and smoke detector,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000847,CFIHOS-30000350,high-pass filter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000848,CFIHOS-30000537,hood,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000849,CFIHOS-30000084,horn,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000850,CFIHOS-30000085,hose,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000851,CFIHOS-30000089,hydraulic connector,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000852,CFIHOS-30000538,hydraulic cylinder,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000853,CFIHOS-30000539,hydraulic motor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000854,CFIHOS-30000090,hydraulic power supply,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000855,CFIHOS-30000568,hydraulic press,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000856,CFIHOS-30000094,ignitor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000857,CFIHOS-30000391,incinerator,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000858,CFIHOS-30000292,indicating instrument,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000859,CFIHOS-30000100,intercom,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000860,CFIHOS-30000351,interlocking device,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000861,CFIHOS-30000352,isolator,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000862,CFIHOS-30000353,junction box,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000863,CFIHOS-30000435,keyboard,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000864,CFIHOS-30000354,lamp,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000865,CFIHOS-30000112,lathe,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000866,CFIHOS-30000601,life boat,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000867,CFIHOS-30000114,life buoy,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000868,CFIHOS-30000115,life buoy light,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000869,CFIHOS-30000116,life raft,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000870,CFIHOS-30000121,liquid detector,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000871,CFIHOS-30000602,loading arm,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000872,CFIHOS-30000124,logic cap,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000873,CFIHOS-30000436,loudspeaker,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000874,CFIHOS-30000125,louvre,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000875,CFIHOS-30000356,low-pass filter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000876,CFIHOS-30000357,luminaire,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000877,CFIHOS-30000308,manifold,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000878,CFIHOS-30000130,mast,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000879,CFIHOS-30000131,mechanical connector,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000880,CFIHOS-30000542,mechanical seal,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000881,CFIHOS-30000132,meter prover,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000882,CFIHOS-30000133,microphone,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000883,CFIHOS-30000135,modem,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000884,CFIHOS-30000136,mounting bracket,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000885,CFIHOS-30000138,multiplexer,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000886,CFIHOS-30000139,net oil computer,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000887,CFIHOS-30000495,nozzle,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000888,CFIHOS-30000164,optical beacon,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000889,CFIHOS-30000165,overhead projector,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000890,CFIHOS-30000168,package,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000891,CFIHOS-30000170,pager,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000892,CFIHOS-30000171,paging system,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000893,CFIHOS-30000172,personnel basket,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000894,CFIHOS-30000441,pig detector,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000895,CFIHOS-30000175,pig launcher,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000896,CFIHOS-30000177,pig receiver,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000897,CFIHOS-30000178,pig transmitter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000898,CFIHOS-30000179,pig trap,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000899,CFIHOS-30000180,pipe bending machine,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000900,CFIHOS-30000442,pitot tube,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000901,CFIHOS-30000548,pneumatic motor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000902,CFIHOS-30000449,position transmitter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000903,CFIHOS-30000184,positioning system,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000904,CFIHOS-30000186,power stabiliser,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000905,CFIHOS-30000361,power supply unit,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000906,CFIHOS-30000452,pressure gauge,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000907,CFIHOS-30000754,printed circuit heat exchanger,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000908,CFIHOS-30000189,process data acquisition and control,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000909,CFIHOS-30000457,proximity element,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000910,CFIHOS-30000549,pulsation damper,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000911,CFIHOS-30000199,rack,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
