CFIHOS unique code,coding source code,CFIHOS code equivalent value
CFIHOS-30000397,ISO 15926 part4,4240
CFIHOS-30000397,STEPLIB,70472
CFIHOS-30000397,POSC CAESAR,RDS5788403
CFIHOS-30000398,ISO 15926 part4,4246
CFIHOS-30000398,STEPLIB,70029
CFIHOS-30000398,POSC CAESAR,RDS6500874
CFIHOS-30000399,ISO 15926 part4,4248
CFIHOS-30000399,STEPLIB,70031
CFIHOS-30000399,POSC CAESAR,RDS5764260
CFIHOS-30000400,ISO 15926 part4,4262
CFIHOS-30000400,STEPLIB,71031
CFIHOS-30000400,POSC CAESAR,RDS6500394
CFIHOS-30000401,ISO 15926 part4,4276
CFIHOS-30000401,STEPLIB,70047
CFIHOS-30000401,POSC CAESAR,RDS6588560
CFIHOS-30000402,ISO 15926 part4,4279
CFIHOS-30000402,STEPLIB,70051
CFIHOS-30000402,POSC CAESAR,RDS5761762
CFIHOS-30000403,ISO 15926 part4,4282
CFIHOS-30000403,POSC CAESAR,RDS5770462
CFIHOS-30000404,ISO 15926 part4,4283
CFIHOS-30000404,STEPLIB,71032
CFIHOS-30000404,ISO 14224:2016,IPLS
CFIHOS-30000404,POSC CAESAR,RDS6588770
CFIHOS-30000405,ISO 15926 part4,4288
CFIHOS-30000405,POSC CAESAR,RDS5762725
CFIHOS-30000406,ISO 15926 part4,4295
CFIHOS-30000406,STEPLIB,70073
CFIHOS-30000406,ISO 14224:2016,IPFS
CFIHOS-30000406,POSC CAESAR,RDS613394
CFIHOS-30000407,ISO 15926 part4,4296
CFIHOS-30000407,POSC CAESAR,RDS5859071
CFIHOS-30000408,ISO 15926 part4,4297
CFIHOS-30000408,STEPLIB,70767
CFIHOS-30000408,POSC CAESAR,RDS648179
CFIHOS-30000409,ISO 15926 part4,4299
CFIHOS-30000409,STEPLIB,71070
CFIHOS-30000409,POSC CAESAR,RDS5767844
CFIHOS-30000410,ISO 15926 part4,4301
CFIHOS-30000410,POSC CAESAR,RDS5762894
CFIHOS-30000411,ISO 15926 part4,4302
CFIHOS-30000411,STEPLIB,70181
CFIHOS-30000411,POSC CAESAR,RDS460484
CFIHOS-30000412,ISO 15926 part4,4303
CFIHOS-30000412,STEPLIB,70771
CFIHOS-30000412,POSC CAESAR,RDS851219
CFIHOS-30000413,ISO 15926 part4,4309
CFIHOS-30000413,STEPLIB,70085
CFIHOS-30000413,POSC CAESAR,RDS1007774
CFIHOS-30000414,ISO 15926 part4,4314
CFIHOS-30000414,STEPLIB,70092
CFIHOS-30000414,POSC CAESAR,RDS879254
CFIHOS-30000415,ISO 15926 part4,4322
CFIHOS-30000415,STEPLIB,70781
CFIHOS-30000415,ISO 14224:2016,IPPS
CFIHOS-30000415,POSC CAESAR,RDS850814
CFIHOS-30000416,ISO 15926 part4,4324
CFIHOS-30000416,STEPLIB,70502
CFIHOS-30000416,ISO 14224:2016,IPLS
CFIHOS-30000416,POSC CAESAR,RDS429974
CFIHOS-30000417,ISO 15926 part4,4327
CFIHOS-30000417,STEPLIB,70099
CFIHOS-30000417,ISO 14224:2016,IPPS
CFIHOS-30000417,POSC CAESAR,RDS850949
CFIHOS-30000418,ISO 15926 part4,4328
CFIHOS-30000418,STEPLIB,70100
CFIHOS-30000418,ISO 14224:2016,IPPS
CFIHOS-30000418,POSC CAESAR,RDS428849
CFIHOS-30000419,STEPLIB,340026
CFIHOS-30000419,ISO 15926 part4,433
CFIHOS-30000419,POSC CAESAR,RDS9683882
CFIHOS-30000420,ISO 15926 part4,4371
CFIHOS-30000420,ISO 14224:2016,IPFS
CFIHOS-30000420,POSC CAESAR,RDS7504839
CFIHOS-30000421,ISO 15926 part4,4375
CFIHOS-30000421,STEPLIB,70514
CFIHOS-30000421,POSC CAESAR,RDS879839
CFIHOS-30000425,ISO 15926 part4,4391
CFIHOS-30000425,STEPLIB,70133
CFIHOS-30000425,ISO 14224:2016,FG
CFIHOS-30000425,POSC CAESAR,RDS477044
CFIHOS-30000426,ISO 15926 part4,4395
CFIHOS-30000426,STEPLIB,70134
CFIHOS-30000426,POSC CAESAR,RDS1007999
CFIHOS-30000428,ISO 15926 part4,4405
CFIHOS-30000428,STEPLIB,70139
CFIHOS-30000428,POSC CAESAR,RDS879929
CFIHOS-30000429,ISO 15926 part4,4411
CFIHOS-30000429,STEPLIB,70529
CFIHOS-30000429,POSC CAESAR,RDS880109
CFIHOS-30000430,ISO 15926 part4,4416
CFIHOS-30000430,STEPLIB,70531
CFIHOS-30000430,ISO 14224:2016,IPFS
CFIHOS-30000430,POSC CAESAR,RDS302894
CFIHOS-30000431,ISO 15926 part4,4423
CFIHOS-30000431,STEPLIB,70803
CFIHOS-30000431,POSC CAESAR,RDS1011104
CFIHOS-30000432,ISO 15926 part4,4432
CFIHOS-30000432,STEPLIB,70540
CFIHOS-30000432,ISO 14224:2016,FGB
CFIHOS-30000432,POSC CAESAR,RDS477134
CFIHOS-30000433,ISO 15926 part4,4454
CFIHOS-30000433,STEPLIB,70814
CFIHOS-30000433,POSC CAESAR,RDS430154
CFIHOS-30000434,ISO 15926 part4,4455
CFIHOS-30000434,STEPLIB,70547
CFIHOS-30000434,POSC CAESAR,RDS880514
CFIHOS-30000435,ISO 15926 part4,4506
CFIHOS-30000435,POSC CAESAR,RDS5778172
CFIHOS-30000436,ISO 15926 part4,4530
CFIHOS-30000436,POSC CAESAR,RDS884699
CFIHOS-30000437,ISO 15926 part4,4533
CFIHOS-30000437,ISO 14224:2016,IPLS
CFIHOS-30000437,POSC CAESAR,RDS884969
CFIHOS-30000438,ISO 15926 part4,4544
CFIHOS-30000438,STEPLIB,70860
CFIHOS-30000438,POSC CAESAR,RDS415844
CFIHOS-30000440,ISO 15926 part4,4622
CFIHOS-30000440,STEPLIB,70300
CFIHOS-30000440,POSC CAESAR,RDS850634
CFIHOS-30000441,ISO 15926 part4,4625
CFIHOS-30000441,STEPLIB,70621
CFIHOS-30000441,POSC CAESAR,RDS882089
CFIHOS-30000442,ISO 15926 part4,4631
CFIHOS-30000442,STEPLIB,70624
CFIHOS-30000442,POSC CAESAR,RDS418274
CFIHOS-30000443,ISO 15926 part4,4634
CFIHOS-30000443,STEPLIB,70854
CFIHOS-30000443,POSC CAESAR,RDS430334
CFIHOS-30000444,ISO 15926 part4,4636
CFIHOS-30000444,STEPLIB,70309
CFIHOS-30000444,POSC CAESAR,RDS882179
CFIHOS-30000449,ISO 15926 part4,4658
CFIHOS-30000449,STEPLIB,71146
CFIHOS-30000449,POSC CAESAR,RDS5769450
CFIHOS-30000450,ISO 15926 part4,4661
CFIHOS-30000450,ISO 14224:2016,IPFS
CFIHOS-30000450,POSC CAESAR,RDS7496420
CFIHOS-30000451,ISO 15926 part4,4663
CFIHOS-30000451,STEPLIB,70318
CFIHOS-30000451,POSC CAESAR,RDS6466479
CFIHOS-30000452,ISO 15926 part4,4668
CFIHOS-30000452,STEPLIB,70321
CFIHOS-30000452,ISO 14224:2016,IPPS
CFIHOS-30000452,POSC CAESAR,RDS416159
CFIHOS-30000453,ISO 15926 part4,4671
CFIHOS-30000453,STEPLIB,70325
CFIHOS-30000453,POSC CAESAR,RDS309149
CFIHOS-30000454,ISO 15926 part4,4674
CFIHOS-30000454,STEPLIB,70870
CFIHOS-30000454,ISO 14224:2016,IPPS
CFIHOS-30000454,POSC CAESAR,RDS309419
CFIHOS-30000455,ISO 15926 part4,4675
CFIHOS-30000455,STEPLIB,70294
CFIHOS-30000455,ISO 14224:2016,IPPS
CFIHOS-30000455,POSC CAESAR,RDS460439
CFIHOS-30000456,ISO 15926 part4,4678
CFIHOS-30000456,STEPLIB,70331
CFIHOS-30000456,POSC CAESAR,RDS891899
CFIHOS-30000457,ISO 15926 part4,4687
CFIHOS-30000457,STEPLIB,70881
CFIHOS-30000457,POSC CAESAR,RDS850904
CFIHOS-30000458,ISO 15926 part4,4688
CFIHOS-30000458,STEPLIB,70882
CFIHOS-30000458,POSC CAESAR,RDS851084
CFIHOS-30000459,ISO 15926 part4,4692
CFIHOS-30000459,STEPLIB,70343
CFIHOS-30000459,ISO 14224:2016,FGBM
CFIHOS-30000459,POSC CAESAR,RDS473894
CFIHOS-30000460,ISO 15926 part4,4696
CFIHOS-30000460,STEPLIB,70980
CFIHOS-30000460,ISO 14224:2016,IPLS
CFIHOS-30000460,POSC CAESAR,RDS1011509
CFIHOS-30000461,ISO 15926 part4,4699
CFIHOS-30000461,STEPLIB,70896
CFIHOS-30000461,ISO 14224:2016,IPLS
CFIHOS-30000461,POSC CAESAR,RDS1011554
CFIHOS-30000462,ISO 15926 part4,4704
CFIHOS-30000462,STEPLIB,70352
CFIHOS-30000462,POSC CAESAR,RDS842894
CFIHOS-30000463,ISO 15926 part4,4712
CFIHOS-30000463,STEPLIB,70649
CFIHOS-30000463,POSC CAESAR,RDS445274
CFIHOS-30000464,ISO 15926 part4,4715
CFIHOS-30000464,STEPLIB,70650
CFIHOS-30000464,POSC CAESAR,RDS882629
CFIHOS-30000465,ISO 15926 part4,4718
CFIHOS-30000465,STEPLIB,70652
CFIHOS-30000465,ISO 14224:2016,IPFS
CFIHOS-30000465,POSC CAESAR,RDS882719
CFIHOS-30000466,STEPLIB,400042
CFIHOS-30000466,ISO 15926 part4,4720
CFIHOS-30000466,POSC CAESAR,RDS8372601
CFIHOS-30000467,ISO 15926 part4,4728
CFIHOS-30000467,STEPLIB,70371
CFIHOS-30000467,POSC CAESAR,RDS1300660921
CFIHOS-30000468,ISO 15926 part4,4739
CFIHOS-30000468,STEPLIB,70670
CFIHOS-30000468,POSC CAESAR,RDS1009304
CFIHOS-30000470,ISO 15926 part4,4753
CFIHOS-30000470,STEPLIB,70674
CFIHOS-30000470,ISO 14224:2016,FG
CFIHOS-30000470,ISO 14224:2016,FGBS
CFIHOS-30000470,POSC CAESAR,RDS476999
CFIHOS-30000471,ISO 15926 part4,4761
CFIHOS-30000471,POSC CAESAR,RDS883124
CFIHOS-30000472,ISO 15926 part4,4762
CFIHOS-30000472,STEPLIB,70986
CFIHOS-30000472,POSC CAESAR,RDS5769822
CFIHOS-30000473,ISO 15926 part4,4789
CFIHOS-30000473,STEPLIB,70405
CFIHOS-30000473,ISO 14224:2016,IPTS
CFIHOS-30000473,POSC CAESAR,RDS417824
CFIHOS-30000474,ISO 15926 part4,4794
CFIHOS-30000474,STEPLIB,70693
CFIHOS-30000474,POSC CAESAR,RDS1011284
CFIHOS-30000475,ISO 15926 part4,4796
CFIHOS-30000475,STEPLIB,70413
CFIHOS-30000475,POSC CAESAR,RDS316889
CFIHOS-30000476,ISO 15926 part4,4797
CFIHOS-30000476,STEPLIB,70254
CFIHOS-30000476,ISO 14224:2016,IPTS
CFIHOS-30000476,POSC CAESAR,RDS418004
CFIHOS-30000477,ISO 15926 part4,4798
CFIHOS-30000477,STEPLIB,70418
CFIHOS-30000477,POSC CAESAR,RDS1008089
CFIHOS-30000478,ISO 15926 part4,4805
CFIHOS-30000478,STEPLIB,70417
CFIHOS-30000478,POSC CAESAR,RDS445229
CFIHOS-30000479,ISO 15926 part4,4808
CFIHOS-30000479,STEPLIB,70421
CFIHOS-30000479,POSC CAESAR,RDS418049
CFIHOS-30000480,ISO 15926 part4,4814
CFIHOS-30000480,STEPLIB,70699
CFIHOS-30000480,POSC CAESAR,RDS5768480
CFIHOS-30000481,ISO 15926 part4,4822
CFIHOS-30000481,POSC CAESAR,RDS5801059
CFIHOS-30000482,ISO 15926 part4,4829
CFIHOS-30000482,ISO 14224:2016,IPFS
CFIHOS-30000482,POSC CAESAR,RDS417914
CFIHOS-30000483,ISO 15926 part4,4836
CFIHOS-30000483,ISO 14224:2016,IPFS
CFIHOS-30000483,POSC CAESAR,RDS418139
CFIHOS-30000484,ISO 15926 part4,4838
CFIHOS-30000484,ISO 14224:2016,IPLS
CFIHOS-30000484,POSC CAESAR,RDS1011644
CFIHOS-30000485,ISO 15926 part4,4852
CFIHOS-30000485,ISO 14224:2016,IPFS
CFIHOS-30000485,POSC CAESAR,RDS883439
CFIHOS-30000486,ISO 15926 part4,4857
CFIHOS-30000486,STEPLIB,70445
CFIHOS-30000486,POSC CAESAR,RDS648044
CFIHOS-30000487,ISO 15926 part4,4863
CFIHOS-30000487,STEPLIB,70956
CFIHOS-30000487,POSC CAESAR,RDS435959
CFIHOS-30000488,ISO 15926 part4,4864
CFIHOS-30000488,POSC CAESAR,RDS5780016
CFIHOS-30000489,ISO 15926 part4,4865
CFIHOS-30000489,STEPLIB,70450
CFIHOS-30000489,POSC CAESAR,RDS6466659
CFIHOS-30000490,ISO 15926 part4,4866
CFIHOS-30000490,STEPLIB,70964
CFIHOS-30000490,POSC CAESAR,RDS851174
CFIHOS-30000491,ISO 15926 part4,4869
CFIHOS-30000491,ISO 14224:2016,IPFS
CFIHOS-30000491,POSC CAESAR,RDS418184
CFIHOS-30000492,ISO 15926 part4,4882
CFIHOS-30000492,POSC CAESAR,RDS5773048
CFIHOS-30000493,ISO 15926 part4,4884
CFIHOS-30000493,STEPLIB,70462
CFIHOS-30000493,POSC CAESAR,RDS1008134
CFIHOS-30000494,ISO 15926 part4,4939
CFIHOS-30000494,POSC CAESAR,RDS16663020
CFIHOS-30000494,ISO 14224:2016,XT
CFIHOS-30000495,STEPLIB,10298
CFIHOS-30000495,ISO 15926 part4,5097
CFIHOS-30000495,ISO 14224:2016,NO
CFIHOS-30000495,POSC CAESAR,RDS415214
CFIHOS-30000496,STEPLIB,10077
CFIHOS-30000496,ISO 15926 part4,5110
CFIHOS-30000496,POSC CAESAR,RDS421199
CFIHOS-30000497,STEPLIB,10433
CFIHOS-30000497,ISO 15926 part4,5111
CFIHOS-30000497,POSC CAESAR,RDS670904
CFIHOS-30000498,STEPLIB,10231
CFIHOS-30000498,ISO 15926 part4,5205
CFIHOS-30000498,POSC CAESAR,RDS472679
CFIHOS-30000499,STEPLIB,10141
CFIHOS-30000499,ISO 15926 part4,5219
CFIHOS-30000499,POSC CAESAR,RDS427724
CFIHOS-30000500,STEPLIB,10082
CFIHOS-30000500,ISO 15926 part4,5247
CFIHOS-30000500,ISO 14224:2016,PL
CFIHOS-30000500,POSC CAESAR,RDS275399
CFIHOS-30000501,ISO 15926 part4,5261
CFIHOS-30000501,POSC CAESAR,RDS460844
CFIHOS-30000502,STEPLIB,520530
CFIHOS-30000502,ISO 15926 part4,5307
CFIHOS-30000502,ISO 14224:2016,PR
CFIHOS-30000502,POSC CAESAR,RDS414809
CFIHOS-30000503,STEPLIB,10125
CFIHOS-30000503,ISO 15926 part4,5358
CFIHOS-30000503,POSC CAESAR,RDS422324
CFIHOS-30000504,STEPLIB,10126
CFIHOS-30000504,ISO 15926 part4,5365
CFIHOS-30000504,POSC CAESAR,RDS13029000
CFIHOS-30000505,STEPLIB,10129
CFIHOS-30000505,ISO 15926 part4,5372
CFIHOS-30000505,POSC CAESAR,RDS5782388
CFIHOS-30000506,STEPLIB,10132
CFIHOS-30000506,ISO 15926 part4,5375
CFIHOS-30000506,ISO 14224:2016,FS
CFIHOS-30000506,POSC CAESAR,RDS422504
CFIHOS-30000507,STEPLIB,10611
CFIHOS-30000507,ISO 15926 part4,5453
CFIHOS-30000507,POSC CAESAR,RDS5796811
CFIHOS-30000508,ISO 15926 part4,5830
CFIHOS-30000508,POSC CAESAR,RDS1070896071
CFIHOS-30000510,STEPLIB,400057
CFIHOS-30000510,ISO 15926 part4,7182
CFIHOS-30000510,POSC CAESAR,RDS11857705
CFIHOS-30000511,STEPLIB,400058
CFIHOS-30000511,ISO 15926 part4,7185
CFIHOS-30000511,POSC CAESAR,RDS941719801
CFIHOS-30000512,STEPLIB,400073
CFIHOS-30000512,ISO 15926 part4,7215
CFIHOS-30000512,ISO 14224:2016,FF
CFIHOS-30000512,POSC CAESAR,RDS619964
CFIHOS-30000513,STEPLIB,400100
CFIHOS-30000513,ISO 15926 part4,7260
CFIHOS-30000513,ISO 14224:2016,ER
CFIHOS-30000513,POSC CAESAR,RDS310274
CFIHOS-30000514,STEPLIB,400114
CFIHOS-30000514,ISO 15926 part4,7267
CFIHOS-30000514,POSC CAESAR,RDS1049368591
CFIHOS-30000515,STEPLIB,131113
CFIHOS-30000515,ISO 15926 part4,7291
CFIHOS-30000515,POSC CAESAR,RDS16765704
CFIHOS-30000516,STEPLIB,130010
CFIHOS-30000516,ISO 15926 part4,7316
CFIHOS-30000516,ISO 14224:2016,COAX
CFIHOS-30000516,POSC CAESAR,RDS417239
CFIHOS-30000516,ISO 14224:2016,SC
CFIHOS-30000517,STEPLIB,130030
CFIHOS-30000517,ISO 15926 part4,7351
CFIHOS-30000517,POSC CAESAR,RDS286874
CFIHOS-30000518,STEPLIB,130042
CFIHOS-30000518,ISO 15926 part4,7380
CFIHOS-30000518,ISO 14224:2016,BL
CFIHOS-30000518,POSC CAESAR,RDS417149
CFIHOS-30000519,STEPLIB,131030
CFIHOS-30000519,ISO 15926 part4,7392
CFIHOS-30000519,POSC CAESAR,RDS5765184
CFIHOS-30000520,STEPLIB,130057
CFIHOS-30000520,ISO 15926 part4,7435
CFIHOS-30000520,ISO 14224:2016,COCE
CFIHOS-30000520,POSC CAESAR,RDS417194
CFIHOS-30000520,ISO 14224:2016,SC
CFIHOS-30000521,STEPLIB,130058
CFIHOS-30000521,ISO 15926 part4,7436
CFIHOS-30000521,ISO 14224:2016,PUCE
CFIHOS-30000521,POSC CAESAR,RDS416834
CFIHOS-30000521,ISO 14224:2016,SPCE
CFIHOS-30000522,STEPLIB,130059
CFIHOS-30000522,ISO 15926 part4,7437
CFIHOS-30000522,ISO 14224:2016,CF
CFIHOS-30000522,POSC CAESAR,RDS420974
CFIHOS-30000523,STEPLIB,130064
CFIHOS-30000523,ISO 15926 part4,7450
CFIHOS-30000523,POSC CAESAR,RDS439379
CFIHOS-30000524,ISO 15926 part4,7459
CFIHOS-30000524,ISO 14224:2016,CO
CFIHOS-30000524,POSC CAESAR,RDS14286497
CFIHOS-30000524,ISO 14224:2016,SC
CFIHOS-30000527,STEPLIB,130091
CFIHOS-30000527,ISO 15926 part4,7551
CFIHOS-30000527,ISO 14224:2016,CEDE
CFIHOS-30000527,POSC CAESAR,RDS421154
CFIHOS-30000528,STEPLIB,130092
CFIHOS-30000528,ISO 15926 part4,7552
CFIHOS-30000528,POSC CAESAR,RDS447074
CFIHOS-30000529,STEPLIB,130102
CFIHOS-30000529,ISO 15926 part4,7599
CFIHOS-30000529,POSC CAESAR,RDS299024
CFIHOS-30000531,STEPLIB,130900
CFIHOS-30000531,ISO 15926 part4,7641
CFIHOS-30000531,POSC CAESAR,RDS394044551
CFIHOS-30000532,STEPLIB,130955
CFIHOS-30000532,ISO 15926 part4,7644
CFIHOS-30000532,ISO 14224:2016,BL
CFIHOS-30000532,POSC CAESAR,RDS415169
CFIHOS-30000533,STEPLIB,130948
CFIHOS-30000533,ISO 15926 part4,7683
CFIHOS-30000533,ISO 14224:2016,CEGE
CFIHOS-30000533,POSC CAESAR,RDS433934
CFIHOS-30000534,STEPLIB,130132
CFIHOS-30000534,ISO 15926 part4,7686
CFIHOS-30000534,ISO 14224:2016,GT
CFIHOS-30000534,POSC CAESAR,RDS820799
CFIHOS-30000535,STEPLIB,130134
CFIHOS-30000535,ISO 15926 part4,7689
CFIHOS-30000535,POSC CAESAR,RDS889514
CFIHOS-30000537,STEPLIB,130696
CFIHOS-30000537,ISO 15926 part4,7715
CFIHOS-30000537,POSC CAESAR,RDS1049322741
CFIHOS-30000538,STEPLIB,131831
CFIHOS-30000538,ISO 15926 part4,7722
CFIHOS-30000538,POSC CAESAR,RDS5767285
CFIHOS-30000539,STEPLIB,130761
CFIHOS-30000539,ISO 15926 part4,7724
CFIHOS-30000539,POSC CAESAR,RDS1090214
CFIHOS-30000541,STEPLIB,130947
CFIHOS-30000541,ISO 15926 part4,7834
CFIHOS-30000541,POSC CAESAR,RDS327419
CFIHOS-30000542,STEPLIB,130171
CFIHOS-30000542,ISO 15926 part4,7859
CFIHOS-30000542,POSC CAESAR,RDS446309
CFIHOS-30000543,STEPLIB,520623
CFIHOS-30000543,ISO 15926 part4,7872
CFIHOS-30000543,ISO 14224:2016,MI
CFIHOS-30000543,POSC CAESAR,RDS306449
CFIHOS-30000544,STEPLIB,130191
CFIHOS-30000544,ISO 15926 part4,7930
CFIHOS-30000544,POSC CAESAR,RDS435149
CFIHOS-30000548,STEPLIB,131097
CFIHOS-30000548,ISO 15926 part4,7963
CFIHOS-30000548,POSC CAESAR,RDS812294
CFIHOS-30000549,STEPLIB,130205
CFIHOS-30000549,ISO 15926 part4,7984
CFIHOS-30000549,POSC CAESAR,RDS309509
CFIHOS-30000550,STEPLIB,130206
CFIHOS-30000550,ISO 15926 part4,7985
CFIHOS-30000550,ISO 14224:2016,PU
CFIHOS-30000550,POSC CAESAR,RDS327239
CFIHOS-30000551,STEPLIB,130215
CFIHOS-30000551,ISO 15926 part4,8021
CFIHOS-30000551,ISO 14224:2016,CORE
CFIHOS-30000551,POSC CAESAR,RDS417284
CFIHOS-30000551,ISO 14224:2016,SC
CFIHOS-30000552,STEPLIB,130222
CFIHOS-30000552,ISO 15926 part4,8042
CFIHOS-30000552,ISO 14224:2016,COSC
CFIHOS-30000552,POSC CAESAR,RDS435374
CFIHOS-30000555,STEPLIB,10230
CFIHOS-30000555,ISO 15926 part4,8156
CFIHOS-30000555,POSC CAESAR,RDS311624
CFIHOS-30000556,STEPLIB,130256
CFIHOS-30000556,ISO 15926 part4,8196
CFIHOS-30000556,POSC CAESAR,RDS416744
CFIHOS-30000556,ISO 14224:2016,ST
CFIHOS-30000557,STEPLIB,130540
CFIHOS-30000557,ISO 15926 part4,8269
CFIHOS-30000557,POSC CAESAR,RDS427153411
CFIHOS-30000558,STEPLIB,130668
CFIHOS-30000558,ISO 15926 part4,8289
CFIHOS-30000558,ISO 14224:2016,EGTE
CFIHOS-30000558,POSC CAESAR,RDS817244
CFIHOS-30000561,STEPLIB,130684
CFIHOS-30000561,ISO 15926 part4,8356
CFIHOS-30000561,POSC CAESAR,RDS965879
CFIHOS-30000562,STEPLIB,460001
CFIHOS-30000562,ISO 15926 part4,8362
CFIHOS-30000562,ISO 14224:2016,CV
CFIHOS-30000562,POSC CAESAR,RDS11590210
CFIHOS-30000563,STEPLIB,460032
CFIHOS-30000563,ISO 15926 part4,8366
CFIHOS-30000563,ISO 14224:2016,CV
CFIHOS-30000563,POSC CAESAR,RDS11589805
CFIHOS-30000564,STEPLIB,460003
CFIHOS-30000564,ISO 15926 part4,8368
CFIHOS-30000564,POSC CAESAR,RDS11589895
CFIHOS-30000565,STEPLIB,460037
CFIHOS-30000565,ISO 15926 part4,8370
CFIHOS-30000565,POSC CAESAR,RDS11589985
CFIHOS-30000566,STEPLIB,460007
CFIHOS-30000566,ISO 15926 part4,8372
CFIHOS-30000566,POSC CAESAR,RDS300644
CFIHOS-30000567,STEPLIB,670042
CFIHOS-30000567,ISO 15926 part4,8373
CFIHOS-30000567,POSC CAESAR,RDS11590075
CFIHOS-30000568,STEPLIB,460102
CFIHOS-30000568,ISO 15926 part4,8377
CFIHOS-30000568,POSC CAESAR,RDS499409
CFIHOS-30000569,STEPLIB,460009
CFIHOS-30000569,ISO 15926 part4,8396
CFIHOS-30000569,ISO 14224:2016,CV
CFIHOS-30000569,POSC CAESAR,RDS11588770
CFIHOS-30000570,STEPLIB,460013
CFIHOS-30000570,ISO 15926 part4,8405
CFIHOS-30000570,ISO 14224:2016,CV
CFIHOS-30000570,POSC CAESAR,RDS11588590
CFIHOS-30000571,STEPLIB,40013
CFIHOS-30000571,ISO 15926 part4,8437
CFIHOS-30000571,POSC CAESAR,RDS5754776
CFIHOS-30000572,STEPLIB,520060
CFIHOS-30000572,ISO 15926 part4,8481
CFIHOS-30000572,POSC CAESAR,RDS297044
CFIHOS-30000572,ISO 14224:2016,VECA
CFIHOS-30000573,STEPLIB,520078
CFIHOS-30000573,ISO 15926 part4,8510
CFIHOS-30000573,POSC CAESAR,RDS13035555
CFIHOS-30000574,STEPLIB,520101
CFIHOS-30000574,ISO 15926 part4,8544
CFIHOS-30000574,POSC CAESAR,RDS4316635847
CFIHOS-30000575,STEPLIB,10036
CFIHOS-30000575,ISO 15926 part4,8552
CFIHOS-30000575,ISO 14224:2016,FS
CFIHOS-30000575,POSC CAESAR,RDS300689
CFIHOS-30000576,STEPLIB,520694
CFIHOS-30000576,ISO 15926 part4,8553
CFIHOS-30000576,ISO 14224:2016,FS
CFIHOS-30000576,POSC CAESAR,RDS954134
CFIHOS-30000578,STEPLIB,520392
CFIHOS-30000578,ISO 15926 part4,8587
CFIHOS-30000578,POSC CAESAR,RDS4316755829
CFIHOS-30000579,STEPLIB,520405
CFIHOS-30000579,ISO 15926 part4,8608
CFIHOS-30000579,POSC CAESAR,RDS15898177
CFIHOS-30000580,STEPLIB,520410
CFIHOS-30000580,ISO 15926 part4,8612
CFIHOS-30000580,POSC CAESAR,RDS43167560224
CFIHOS-30000581,STEPLIB,520421
CFIHOS-30000581,ISO 15926 part4,8628
CFIHOS-30000581,POSC CAESAR,RDS43167561303
CFIHOS-30000581,ISO 14224:2016,SVHY
CFIHOS-30000581,ISO 14224:2016,VESE
CFIHOS-30000582,STEPLIB,520137
CFIHOS-30000582,ISO 15926 part4,8656
CFIHOS-30000582,POSC CAESAR,RDS420434
CFIHOS-30000583,ISO 15926 part4,8663
CFIHOS-30000583,POSC CAESAR,RDS1325252931
CFIHOS-30000584,STEPLIB,520142
CFIHOS-30000584,ISO 15926 part4,8664
CFIHOS-30000584,POSC CAESAR,RDS420569
CFIHOS-30000585,STEPLIB,40134
CFIHOS-30000585,ISO 15926 part4,8740
CFIHOS-30000585,POSC CAESAR,RDS286559
CFIHOS-30000586,ISO 15926 part4,8758
CFIHOS-30000586,STEPLIB,879569
CFIHOS-30000586,POSC CAESAR,RDS4316825224
CFIHOS-30000587,STEPLIB,160248
CFIHOS-30000587,ISO 15926 part4,8802
CFIHOS-30000587,POSC CAESAR,RDS4316863356
CFIHOS-30000588,STEPLIB,520025
CFIHOS-30000588,ISO 15926 part4,8805
CFIHOS-30000588,POSC CAESAR,RDS414764
CFIHOS-30000588,ISO 14224:2016,VESB
CFIHOS-30000590,STEPLIB,520204
CFIHOS-30000590,ISO 15926 part4,8815
CFIHOS-30000590,POSC CAESAR,RDS17639880
CFIHOS-30000591,STEPLIB,520549
CFIHOS-30000591,ISO 15926 part4,8826
CFIHOS-30000591,POSC CAESAR,RDS4316863537
CFIHOS-30000591,ISO 14224:2016,SVSC
CFIHOS-30000592,STEPLIB,520031
CFIHOS-30000592,ISO 15926 part4,8850
CFIHOS-30000592,POSC CAESAR,RDS283949
CFIHOS-30000592,ISO 14224:2016,VESP
CFIHOS-30000593,STEPLIB,520226
CFIHOS-30000593,ISO 15926 part4,8867
CFIHOS-30000593,POSC CAESAR,RDS445139
CFIHOS-30000593,ISO 14224:2016,SI
CFIHOS-30000594,STEPLIB,520243
CFIHOS-30000594,ISO 15926 part4,8893
CFIHOS-30000594,POSC CAESAR,RDS414674
CFIHOS-30000594,ISO 14224:2016,VE
CFIHOS-30000595,STEPLIB,670022
CFIHOS-30000595,ISO 15926 part4,8924
CFIHOS-30000595,ISO 14224:2016,AM
CFIHOS-30000595,POSC CAESAR,RDS11527054
CFIHOS-30000596,STEPLIB,670129
CFIHOS-30000596,ISO 15926 part4,8926
CFIHOS-30000596,POSC CAESAR,RDS624194
CFIHOS-30000597,STEPLIB,670030
CFIHOS-30000597,ISO 15926 part4,8929
CFIHOS-30000597,ISO 14224:2016,CR
CFIHOS-30000597,POSC CAESAR,RDS5800251
CFIHOS-30000598,STEPLIB,460006
CFIHOS-30000598,ISO 15926 part4,8934
CFIHOS-30000598,ISO 14224:2016,CV
