parent equipment class name,equipment class CFIHOS unique code,equipment class name,equipment class definition,abstract class indicator,spare part information required indicator,equipment class existence reason description,equipment class synonym name
enclosure,CFIHOS-30000300,chamber,A physical object that is an enclosed space.,no,yes,,
other mechanical equipment,CFIHOS-30000301,door,A physical object that is an opening in a barrier and a removable physical object that can block the opening.,no,no,,
class,CFIHOS-30000303,enclosure,A physical object that separates enclosed physical objects from those outside.,yes,no,,
piping and pipeline equipment,CFIHOS-30000304,flange,"A physical object that is a projecting flat rim, plate, collar or rib.",no,yes,,
other mechanical equipment,CFIHOS-30000305,frame,A physical object that is an open structure of beams or bars.,no,yes,,
other mechanical equipment,CFIHOS-30000306,gasket,A seal that is one or more closed loops of deformable material used between mating surfaces which have only very limited movement relative to each other.,no,yes,,
other mechanical equipment,CFIHOS-30000307,housing,An enclosure that also provides support.,no,no,,
piping and pipeline equipment,CFIHOS-30000308,manifold,A physical object that contains a chamber with several openings.,no,yes,,
piping and pipeline equipment,CFIHOS-30000309,seal,A physical object intended to reduce or prevent the passage of fluid through an opening.,no,yes,,
class,CFIHOS-30000310,electrical equipment class,An equipment class that contains classes of artefacts which is electrical equipment.,yes,no,,electrical equipment
,CFIHOS-30000311,class,An artefact class that contains classes of artefacts or physical resources required for a purpose.,yes,no,Top node in class hierarchy,
mechanical equipment class,CFIHOS-30000312,fired heat transfer equipment class,An equipment class that contains heat transfer equipment items with a purpose related to combustion.,yes,no,,
class,CFIHOS-30000313,"health, safety and environment equipment class",An equipment class that contains classes of artefacts intended to be used to provide health and safety and to prevent environmental hazards.,yes,no,,
class,CFIHOS-30000314,mechanical equipment class,An equipment class that contains classes that normally are the responsibility of a department for mechanical engineering.,yes,no,,
vessel,CFIHOS-30000315,accumulator,"A physical object for storing energy, and which after discharge may be recharged.",no,yes,,
electrical equipment class,CFIHOS-30000316,amplifier,A physical object for increasing the power of a signal.,no,yes,,
other mechanical equipment,CFIHOS-30000317,anode,A physical object that is capable of emitting positive charge carriers to and/or receiving negative charge carriers from the medium of lower conductivity.,no,yes,,
electrical equipment class,CFIHOS-30000318,battery back-up power supply unit,A direct current power supply unit intended to supply stabilised DC electric power according to specified levels and tolerances.,no,no,,
electrical equipment class,CFIHOS-30000319,battery charger,A direct current power supply unit for charging batteries.,no,yes,,
electrical equipment class,CFIHOS-30000320,busbar,"An electrical conductor that is of low-impedance, to which several electric circuits can be connected at separate points.",no,yes,,bus bar
other mechanical equipment,CFIHOS-30000321,cable reel,"A physical object that is a reel on to which cable is wound during manufacture, for storage, transportation and installation.",no,no,,
electrical equipment class,CFIHOS-30000322,capacitor bank,A physical object that is a number of capacitor units connected so as to act together.,no,yes,,
electrical equipment class,CFIHOS-30000323,circuit-breaker,A mechanical switching device that at regular intervals interrupts an electric current.,no,yes,,
IT and telecom equipment,CFIHOS-30000324,clock,A timepiece for the measurement of time.,no,yes,,
transmitter,CFIHOS-30000325,conductivity transmitter,A transmitter that is intended to measure and transmit conductivity.,no,yes,,
electrical equipment class,CFIHOS-30000326,contactor,"A mechanical switching device having only one position of rest, operated otherwise than by hand, capable of making, carrying and breaking currents under normal circuit conditions including operating overload conditions.",no,yes,,
electrical equipment class,CFIHOS-30000327,control panel,An instrument panel containing a set of indicating devices and control units required for operation of a system or part of it.,no,yes,,electrical panel
transmitter,CFIHOS-30000329,current transmitter,A transmitter that transmits an analogue electrical current.,no,yes,,
switchgear and controlgear,CFIHOS-30000330,distribution board,"A switchgear and controlgear that is an insulated  panel carrying terminals, fuses, etc, for controlling a number of subsidiary electrical circuits.",no,yes,,
electrical equipment class,CFIHOS-30000331,earth busbar,An electrical conductor that is a busbar used for earthing.,no,no,,grounding busbar; earthing bar
electrical equipment class,CFIHOS-30000332,earth electrode,"An electrode, which is the conductive part, that can be embedded in a specific conductive medium, e.g. concrete or coke, in electric contact with the Earth.",no,yes,,grounding electrode
detector,CFIHOS-30000333,earth leakage detector,A detector intended to detect a leakage current to earth.,no,no,,
electrical equipment class,CFIHOS-30000334,earth plate,An electrode that is an earth electrode consisting of a metal plate buried in the ground.,no,no,,grounding plate
electrical equipment class,CFIHOS-30000335,earthing boss,An electrical conductor that is used to connect the earthing system to structure.,no,no,,grounding boss
actuator,CFIHOS-30000336,electric actuator,An actuator that produces a specified movement when excited by an electric signal.,no,yes,,
electrical equipment class,CFIHOS-30000337,electric battery,"An electric accumulator that comprises one or more cells fitted with devices necessary for use, for example case, terminals, marking and protective devices.",no,no,,battery
electrical equipment class,CFIHOS-30000338,electric generator,An energy transducer that transforms non-electric energy into electric energy.,no,yes,,generator
electrical equipment class,CFIHOS-30000339,electric heater,A heater in which electric energy is converted into heat for useful purposes.,no,no,,
motor,CFIHOS-30000340,electric motor,An electric machine for transforming electric energy into mechanical energy.,no,yes,,
electrical equipment class,CFIHOS-30000343,electrical motor starter,A starter in which the force for closing the main contacts is provided exclusively by electrical energy.,no,no,,
electrical equipment class,CFIHOS-30000344,electrical socket,An electrical connector in which the terminals of an electricity supply are inside holes made to receive the pins of a plug.,no,yes,,electric socket outlet
electrical equipment class,CFIHOS-30000345,electronic frequency converter,An electronic ac converter for changing the frequency.,no,yes,,
electrical equipment class,CFIHOS-30000346,electronic power inverter,An electronic converter that changes direct electric current to single-phase or polyphase alternating currents.,no,yes,,power inverter
electrical equipment class,CFIHOS-30000347,floodlight,A projector providing a beam of intense illumination.,no,yes,,
electrical equipment class,CFIHOS-30000348,fuse,"A physical object that by the fusing of one or more of its specially designed and proportioned components, opens the circuit in which it is inserted by breaking the current when this exceeds a given value for a sufficient time.",no,yes,,
electrical equipment class,CFIHOS-30000349,heating cable,"An electric cable, that is also an electric heater, with or without a shield or a metallic sheath, intended to give off heat for heating purposes.",no,no,,electric cable; heat tracing
electrical equipment class,CFIHOS-30000350,high-pass filter,An electrical filter having a single pass-band extending from a specified cut-off frequency upwards.,no,yes,,
"health, safety and environment equipment class",CFIHOS-30000351,interlocking device,"A physical object that makes the operation of a piece of equipment dependent upon the condition, position or operation of one or more other pieces of equipment.",no,yes,,
other mechanical equipment,CFIHOS-30000352,isolator,A physical object that isolates.,no,yes,,
enclosure,CFIHOS-30000353,junction box,"A physical object that is a closed, rigid box or casing used to enclose and protect the junctions of electric wires or cables.",no,yes,,
general instrument,CFIHOS-30000354,lamp,"A physical object intended to produce an optical radiation, usually visible.",no,yes,,
electrical equipment class,CFIHOS-30000356,low-pass filter,An electrical filter having a single pass-band extending from zero frequency to a specified cut-off frequency.,no,yes,,
electrical equipment class,CFIHOS-30000357,luminaire,A physical object that is an electric light and its fittings.,no,yes,,light fitting; lighting
electrical equipment class,CFIHOS-30000360,power cable,An electric cable intended for transmission of electric power.,no,no,,electric cable
electrical equipment class,CFIHOS-30000361,power supply unit,A physical object intended to supply electric power according to specified levels and tolerances.,no,yes,,
electrical equipment class,CFIHOS-30000362,transformer,"A transformer that, by electromagnetic induction, transforms a system of alternating voltage and current into another system of voltage and current usually of different values and at the same frequency for the purpose of transmitting electrical power.",no,yes,,
electrical equipment class,CFIHOS-30000363,rectifier,An electric converter for converting an alternating current into a direct current.,no,yes,,power rectifier; alternator
electrical equipment class,CFIHOS-30000364,relay,"A physical object that can be any electrical device, usually incorporating an electromagnet, whereby a current or signal in one circuit can open or close another circuit.",no,yes,,
electrical equipment class,CFIHOS-30000365,signal cable,An electric cable intended for  transmission of electric signals.,no,no,,cable
electrical equipment class,CFIHOS-30000368,solenoid,"An electromagnetic coil, which is a cylindrical coil, the length of which is much greater than its transverse dimensions and which is used to produce a magnetic field.",no,yes,,
switchgear and controlgear,CFIHOS-30000369,switchboard,"A switchgear and controlgear bearing a set of switches for connecting and disconnecting the various circuits of an electrical system, as of a telegraph, telephone, etc.",no,yes,,
electrical equipment class,CFIHOS-30000370,switchgear and controlgear,"A physical object that is a general term covering switching devices and their combination with associated control, measuring, protective and regulating equipment, also assemblies of such devices and equipment with associated interconnections, accessories, enclosures and supporting structures.",no,no,,
IT and telecom equipment,CFIHOS-30000371,telephone,"A physical object that converts sound signals into corresponding variations of electric current (or potential), which is transmitted by wire or radio to a distant point where it is reconverted into sound.",no,yes,,
detector,CFIHOS-30000372,temperature detector,A detector intended to detect temperature.,no,yes,,
electrical equipment class,CFIHOS-30000373,thermostatic switch,A pilot switch whose function is controlled by variations of temperature and whose contacts make or break automatically a load circuit when the temperature of the ambient space in which its sensing element placed or the temperature of the surface on which it is fixed reaches a predetermined value.,no,no,,thermostat; heat trace thermostat; local controller
electrical equipment class,CFIHOS-30000374,thyristor,"A semiconductor device that is a three-terminal semiconductor rectifier made up of four layers, p-n-p-n, so that when the fourth is positive with respect to the first, a voltage pulse applied to the third layer initiates a flow of current through the device which continues as long as it is greater than some minimum value.",no,yes,,
electrical equipment class,CFIHOS-30000375,trip amplifier,A pilot switch intended to create a switch action at a pre-set value.,no,yes,,
electrical equipment class,CFIHOS-30000376,ups unit,An ac power supply unit that maintains a continuous supply of electric power to the equipment it protects.,no,no,,uninterruptible power supply
electrical equipment class,CFIHOS-30000377,variable speed drive unit,A physical object that consists of an electric motor and controller that is used to adjust the motor's operating speed.,no,no,,variable frequency drive
transmitter,CFIHOS-30000378,vibration transmitter,A transmitter of which the output is proportional to a measured vibration.,no,yes,,
transmitter,CFIHOS-30000380,weight transmitter,"A transmitter for weighing large quantities of material, and of which the output is proportional to the measured weight.",no,yes,,
tool,CFIHOS-30000381,welding set,"A physical object for arc welding, either ac or dc, comprising a supply unit and a regulator.",no,yes,,
electrical equipment class,CFIHOS-30000382,air conditioner,A physical object that is intended to bring air to a specified quality.,no,yes,,air conditioning unit; hvac
heat exchanger,CFIHOS-30000383,air cooled heat exchanger,A cooler that is intended to use air as the cooling medium.,no,yes,Required by owner-operators,
heat exchanger,CFIHOS-30000384,boiler,An indirect contact heat exchanger that is intended to heat a liquid.,no,yes,,
heat exchanger,CFIHOS-30000385,condenser,A cooler that is intended to change a vapour to liquid.,no,no,,
heat exchanger,CFIHOS-30000386,cooler,A heat exchanger that is intended to cool a physical object.,no,yes,,
heat exchanger,CFIHOS-30000387,cooling tower,A cooler and an air cooled heat exchanger that is a tall structure through which air circulates by convection.,no,yes,,
other mechanical equipment,CFIHOS-30000388,drier,A drier is a physical object that is intended to remove absorbed or adsorbed liquid or water vapour below saturation state.,no,yes,,
fired heat transfer equipment class,CFIHOS-30000389,flare tip,A burner that burns gas emitted from a process into the atmosphere.,no,yes,,
mechanical equipment class,CFIHOS-30000390,heat exchanger,A physical object that is intended to transfer heat from one object to another.,yes,no,,
fired heat transfer equipment class,CFIHOS-30000391,incinerator,A furnace that is intended for the combustion of waste material.,no,yes,,
pressure transmitter,CFIHOS-30000395,absolute pressure transmitter,A pressure transmitter where pressure is applied to one side of the sensor while the other side has a vacuum chamber.,no,yes,,
IT and telecom equipment,CFIHOS-30000397,antenna,An electromagnetic transducer that is a physical object made of conducting material which is capable of radiating or receiving electromagnetic waves.,no,yes,,
detecting element,CFIHOS-30000398,axial displacement element,A detecting element that is intended to detect axial displacement.,no,no,,axial displacement probe
other mechanical equipment,CFIHOS-30000399,bell,"A physical object that is a hollow body with a flared mouth made of cast metal. Formed to emit a clear musical sound by the sonorous vibration of its entire circumference when struck by a clapper, hammer or other appliance.",no,yes,,
detecting element,CFIHOS-30000400,capacitance probe,A detecting element that is intended to detect changes in the dielectric constant.,no,yes,,
analysing instrument,CFIHOS-30000401,cloud point analyser,An analysing instrument that is intended to determine the cloud point of a fluid.,no,yes,,
IT and telecom equipment,CFIHOS-30000402,computer,A physical object that can store data and program(s) that operates on the data. A general purpose computer can be programmed to solve any reasonable problem expressed in logical and arithmetical terms.,no,yes,,
detecting element,CFIHOS-30000403,conductivity cell,A detecting element or probe that is used with a conductivity meter to measure the conductivity of a liquid.,no,yes,,
level transmitter,CFIHOS-30000404,conductivity level transmitter,A transmitter that is producing a standardized output signal dependent of a received input signal from a conductivity meter.,no,yes,,
electrical equipment class,CFIHOS-30000405,control box,A terminal box that is used as accommodation for control function circuits.,no,yes,,
flow meter,CFIHOS-30000406,coriolis mass flow meter,A mass flow meter that uses the Coriolis principle to measure a mass flow rate through the meter.,no,no,,
detector,CFIHOS-30000407,corrosion meter,"A detecting instrument intended to measure, indicate and/or produce a signal which represents the rate or degree of corrosion.",no,no,,
detecting element,CFIHOS-30000408,corrosion element,A detecting element that is a piece of suitable metal meant to corrode and give an indication of the corrosion rate.,no,yes,,corrosion probe
detector,CFIHOS-30000409,counter,"A detecting instrument that counts, especially an electronic or mechanical device that automatically counts occurrences or repetitions of phenomena or events.",no,yes,,
signal converter,CFIHOS-30000410,current to current converter,A signal converter that is intended to convert one current signal to another current signal.,no,yes,,
signal converter,CFIHOS-30000411,current to pressure converter,A signal converter that is intended to convert an analogue signal (4 - 20 mA) to a proportional linear pneumatic output signal.,no,yes,,
signal converter,CFIHOS-30000412,current to voltage converter,A signal converter that is intended to convert a current input signal to a proportional voltage output signal.,no,yes,,
analysing instrument,CFIHOS-30000413,density analyser,An analysing instrument intended to determine the density of a substance.,no,yes,,
analysing instrument,CFIHOS-30000414,dew point analyser,An analysing instrument intended to determine the dew point of a substance.,no,yes,,
gauge,CFIHOS-30000415,differential pressure gauge,A gauge that is intended for measuring and indicating pressure differences.,no,yes,,
level transmitter,CFIHOS-30000416,differential pressure level transmitter,"A level transmitter that is measuring liquid level by sensing pressure difference between two points, e.g. the hydrostatic pressure at the bottom of a tank to the atmosphere pressure.",no,yes,,
control switch,CFIHOS-30000417,differential pressure switch,A pilot switch intended to switch or give an on/off signal when the measured differential pressure has reached a pre-set value.,no,yes,,
transmitter,CFIHOS-30000418,differential pressure transmitter,A pressure transmitter that is producing a standardized output signal dependent of a received pressure difference signal.,no,yes,,
other mechanical equipment,CFIHOS-30000419,coupling,Connecting with a coupling or coupler.,no,yes,,
flow transmitter,CFIHOS-30000420,electromagnetic flow transmitter,A flow transmitter that is specially designed to convert the signals from an electromagnetic flow meter into a standardized electrical output signal.,no,yes,,magnetic flow transmitter
controller,CFIHOS-30000421,electronic controller,A controller that uses in-built algorithms executed by electronic circuitry to perform its function.,no,yes,,
detector,CFIHOS-30000425,flame detector,A detector that is intended to sense a flame.,no,yes,,
analysing instrument,CFIHOS-30000426,flash point analyser,An analysing instrument intended to determine the flash point of a substance.,no,yes,,
gauge,CFIHOS-30000428,flow gauge,A gauge intended to indicate a liquid or gas flow.,no,yes,,
self operating valve,CFIHOS-30000429,flow regulator,A regulator that normally use the differential pressure principle across an orifice to control the valve trim and regulate flow.,no,yes,,
control switch,CFIHOS-30000430,flow switch,A functional switch that is intended to give a signal when the flow have reached a pre-set value.,no,yes,,
signal converter,CFIHOS-30000431,frequency to current converter,A signal converter that is intended to convert a frequency or rotational speed input signal into a 0 - 20 mA or 4 - 20 mA current output signal.,no,yes,,
detector,CFIHOS-30000432,gas detector,A detector that is intended to sense the presence of a specified concentration of a gas.,no,yes,,fixed gas dectector
actuator,CFIHOS-30000433,hydraulic actuator,An actuator intended to be operated by hydraulic power.,no,yes,,
controller,CFIHOS-30000434,hydraulic controller,A controller that is designed or can be programmed to operate and control hydraulic operated systems.,no,yes,,
IT and telecom equipment,CFIHOS-30000435,keyboard,A control panel with an array of systematically arranged (piano like) keys by which a machine is operated or by which an instrument can be played on.,no,yes,,
IT and telecom equipment,CFIHOS-30000436,loudspeaker,An electroacoustic transducer that converts an electric signal into sound.,no,yes,,
level gauge,CFIHOS-30000437,magnetic level gauge,A level gauge that use a float containing a magnet to transfer information about its position to a indicator rail with white and red flaps mounted on the outside of the tube.,no,yes,,
general instrument,CFIHOS-30000438,mechanical positioner,A mechanical controller that is intended to position a given item in accordance with a received input signal.,no,no,,
analysing instrument,CFIHOS-30000440,ph analyser,"An analysing instrument intended to measure, indicate and/or produce a signal which represents the measured alkalinity / acidity in a fluid or matter.",no,yes,,
detector,CFIHOS-30000441,pig detector,A detector that is intended to detect a pig inside the pipeline or pig receiver.,no,yes,,
general instrument,CFIHOS-30000442,pitot tube,A fluid sensor producing a differential pressure by means of two straigth tubes mounted in line with the direction of the fluid movement. One tube is open-ended and measures the stagnation pressure of the fluid. The other tube is closed in front but has openings along the tube to measure the static pressure of the fluid.,no,yes,,
actuator,CFIHOS-30000443,pneumatic actuator,An actuator that is intended to be operated by pneumatic power.,no,yes,,
controller,CFIHOS-30000444,pneumatic controller,A mechanical controller that is using pneumatic components to execute its function.,no,yes,,
transmitter,CFIHOS-30000449,position transmitter,A transmitter that is producing a standardized output signal dependent of a received input signal from a position detector.,no,yes,,
flow transmitter,CFIHOS-30000450,positive displacement flow transmitter,A flow transmitter specially designed to convert the signal from a positive displacement flow meter into a standardized electrical output signal.,no,yes,,
analysing instrument,CFIHOS-30000451,pour point analyser,"An analysing instrument intended to determine the pour point of a fluid, i.e. the lowest temperature at which an oil or other liquid will pour under given conditions.",no,yes,,
gauge,CFIHOS-30000452,pressure gauge,A gauge intended to measure and display a representation of a measured pressure.,no,yes,,
self operating valve,CFIHOS-30000453,pressure regulator,A regulator that is controlling/regulating the pressure in a system.,no,yes,,
control switch,CFIHOS-30000454,pressure switch,A functional switch that (usually) turns an electrical circuit on or off when the pressure level reaches a pre-set value.,no,yes,,
signal converter,CFIHOS-30000455,pressure to current converter,A signal converter that is intended to convert a pressure input signal to DC output signal.,no,yes,,
IT and telecom equipment,CFIHOS-30000456,printing machine,A physical object that produces characters or graphic symbols on paper or other medium.,no,no,,
detecting element,CFIHOS-30000457,proximity element,A detecting element that is intended to sense proximity.,no,yes,,proximity probe
control switch,CFIHOS-30000458,proximity switch,A position switch that is operated without mechanical contact with the moving part.,no,yes,,
control switch,CFIHOS-30000459,push button,A manual control switch that is intended to switch when you push or touch the button.,no,no,,
level transmitter,CFIHOS-30000460,radar level transmitter,A level transmitter that is producing a standardized electrical output signal based on the input signal from a radar type level sensor.,no,yes,,
level transmitter,CFIHOS-30000461,radioactive level transmitter,A level transmitter that is producing a standardized electrical output signal based on the input signal from radioactive level measurements.,no,yes,,
general instrument,CFIHOS-30000462,recording instrument,A process instrument that records values represented by the input signal(s).,no,no,,
temperature element,CFIHOS-30000463,resistance temperature element,A temperature sensing element that operate on the principle of changes in electrical resistance of pure metals (sintered semiconductor material) and are characterized by an almost linear positive change in resistance with temperature.,no,yes,,
orifice plate,CFIHOS-30000464,restriction orifice plate,An orifice plate that is intended for use as a restrictor.,no,yes,,restrictive orifice plate
flow meter,CFIHOS-30000465,rotameter flow meter,A variable area flow meter which consists of a tapered tube of glass with a float inside that is pushed up by flow and pulled down by gravity.,no,no,,rotameter
pressure relief device,CFIHOS-30000466,rupture disc,A physical object that is a pressure relieving device designed to burst at a calibrated pressure to prevent pressure in systems or vessels from reaching unsafe levels.,no,yes,"BP, Chevron,Shell & TOTAL Tagging Specifications",burst disc; bursting disc
analysing instrument,CFIHOS-30000467,sampler,A physical object intended to be used to collect and contain representative specimens or selections.,no,yes,,
level gauge,CFIHOS-30000468,servo tank gauge,"A tank gauge that is intended to intermittently lower a displacer to measure a liquid level, bottom level, interface level or density.",no,no,,
detector,CFIHOS-30000470,smoke detector,A detector that is intended to sense smoke.,no,yes,,
IT and telecom equipment,CFIHOS-30000471,speed meter,A detecting instrument that is intended to measure the upload and download speed of an internet connection.,no,no,,
transmitter,CFIHOS-30000472,speed transmitter,A transmitter that is producing a standardized output signal dependent of a received input signal from a rotational speed sensor.,no,yes,,
gauge,CFIHOS-30000473,temperature gauge,A gauge that is intended to measure and indicate a temperature.,no,yes,,
self operating valve,CFIHOS-30000474,temperature regulator,A regulator that is intended to keep a temperature within certain boundaries.,no,yes,,
control switch,CFIHOS-30000475,temperature switch,A functional switch that is intended to give an on or off signal when the temperature have reached a pre-set value.,no,yes,,
transmitter,CFIHOS-30000476,temperature transmitter,A transmitter that is producing a standardized output signal dependent of a received input signal from a temperature element.,no,yes,,
analysing instrument,CFIHOS-30000477,thermal conductivity analyser,An analysing instrument that is intended to determine a physical property that is named thermal conductivity.,no,yes,,
temperature element,CFIHOS-30000478,thermocouple,"A pair of electrical conductors of dissimilar materials, joined at one end (the measuring or hot junction), which produces an electromotive force (e.m.f.) due to the Seebeck effect in a circuit formed by connecting the other ends of the dissimilar materials used (the reference or cold junction) to a device for measuring e.m.f.  Def. acc. to IEC 902 1987.",no,yes,,
piping and pipeline equipment,CFIHOS-30000479,thermowell,"A physical object that is a pressure-tight receptacle adapted to receive a temperature sensing element, provided with external threads or other means for pressure-tight attachment to a vessel or pipe.",no,no,,
control switch,CFIHOS-30000480,timer,A timepiece that measures a time interval and signals its end; a time-switch.,no,yes,,time switch
IT and telecom equipment,CFIHOS-30000481,transponder,A transceiver that transmits a signal automatically in response to an appropriate triggering signal.,no,yes,,
flow meter,CFIHOS-30000482,turbine flow meter,A velocity flow meter that uses a multi bladed rotor to measure fluid flow rate in units of volumetric flow through a closed conduit.,no,no,,turbine flow element
flow meter,CFIHOS-30000483,ultrasonic flow meter,A velocity flow meter that measures the velocity of a flow by measuring the time difference between an ultrasonic pulse sent in the flow direction and an ultrasound pulse sent opposite the flow direction.,no,no,,
level transmitter,CFIHOS-30000484,ultrasonic level transmitter,A level transmitter that is using ultrasonic sound to continuously monitor the level of a liquid or particulate matter in a tank or vessel.,no,yes,,
flow meter,CFIHOS-30000485,v-cone flow meter,A differential pressure flow meter that uses a v-cone as the restriction body in the flow stream.,no,no,,
detecting element,CFIHOS-30000486,venturi tube,A pipe or tube that has a constriction with a relative long passage with a smooth coned entry and exit.,no,yes,,venturi tube flow element
detecting element,CFIHOS-30000487,vibration element,A detecting element that is intended to sense mechanical vibration and in which the oscillating motion is transferred into a voltage or current signal.,no,yes,,vibration probe
IT and telecom equipment,CFIHOS-30000488,video recorder,A recording instrument that is recording signals originated by a TV camera on a moving magnetic tape for subsequent reproduction or transmission.,no,yes,,
analysing instrument,CFIHOS-30000489,viscosity analyser,An analysing instrument intended to determine the viscosity of a fluid.,no,yes,,
signal converter,CFIHOS-30000490,voltage to current converter,A signal converter that is intended for converting an input voltage signal into an output current signal.,no,yes,,
flow meter,CFIHOS-30000491,vortex flow meter,A flow meter that measures the velocity of a fluid in a pipe by detecting the frequency of vortices being shed from a specially shaped obstructing element in the fluid stream.,no,no,,
detecting element,CFIHOS-30000492,wind sensor,A detecting element that can be the sensing element of an anemometer or wind gauge.,no,yes,,windspeed sensor; windspeed direction sensor
analysing instrument,CFIHOS-30000493,wobbe index meter,An analysing instrument intended to determine the wobble index of a gas.,no,no,,
piping and pipeline equipment,CFIHOS-30000494,christmas tree,"A physical object that is an assembly of pipes and piping parts, with valves and associated control equipment that is connected to the top of a wellhead and is intended for control of fluid from a well.",no,yes,,
piping and pipeline equipment,CFIHOS-30000495,nozzle,A physical object that has a protruding part through which a stream of fluid is directed.,yes,yes,,
piping and pipeline equipment,CFIHOS-30000496,pipe,"A physical object that is a long tube or hollow body intended for conduction of liquid, gaseous or finely divided solid materials, or used for structural purposes.",no,no,,line
piping and pipeline equipment,CFIHOS-30000497,pipe bend,A physical object that is used to change piping direction with a non-standard radius.,no,no,,
piping and pipeline equipment,CFIHOS-30000498,pipe flange spade,A physical object that is a circular plate with no central opening and holes to match mating flanged ends. It is also equipped with a handle.,no,no,,
piping and pipeline equipment,CFIHOS-30000499,pipe tee,"A physical object that has three piping ends in T-shape, including a branch at 90 degrees.",no,no,,
piping and pipeline equipment,CFIHOS-30000500,pipeline,"A fluid conductor that consists of pipe, possibly also including pumps, valves, and control devices, intended for conveying liquids, gases, or finely divided solids.",no,no,,
other mechanical equipment,CFIHOS-30000501,piping expansion bellows,A bellows that is a flexible corrugated tubular element providing axial and radial flexibility and pressure containment.,no,no,,
piping and pipeline equipment,CFIHOS-30000502,riser,A physical object that is a vertical or near vertical pipe for the upward flow of liquid or gas.,no,no,,
piping and pipeline equipment,CFIHOS-30000503,spectacle blind,"A physical object that consists of two discs with equal thickness and outer diameter connected with a flat bar. One of the discs has a hole, while the other disc is without hole.",no,yes,,
piping and pipeline equipment,CFIHOS-30000504,spool piece,A physical object which is a short section of pipe used to connect ends of pipes/pipelines.,no,no,,
other mechanical equipment,CFIHOS-30000505,steam trap,"A trap that consists of a chamber into which condensed steam from steam pipes etc. is allowed to drain, and which automatically ejects it without permitting the escape of steam.",no,yes,,
other mechanical equipment,CFIHOS-30000506,strainer,"A filter that is separating solid particles from a fluid by passing the fluid through a wire mesh, screen or metal plates containing perforations or slits.",no,yes,,
miscellaneous equipment,CFIHOS-30000507,tubing hanger,A well string hanger that is used for production tubing. The tubing hanger incorporates a sealing system to ensure that the tubing conduit and annulus are hydraulically isolated.,no,yes,,
electrical equipment class,CFIHOS-30000508,earthing resistor,"A resistance through which the neutral pint of a supply system is earthed, in order to limit the current that flows on the occurrence of an earth fault.",no,yes,,neutral ground resistor
marine,CFIHOS-30000510,anchor,A physical object intended to hold an object firmly.,no,yes,,
other mechanical equipment,CFIHOS-30000511,arrestor,A physical object intended to prevent something to pass.,no,no,,
"health, safety and environment equipment class",CFIHOS-30000512,fire extinguisher,"A physical object designed to eject agents, e.g. water or a chemical, to put out fires.",no,yes,,
"health, safety and environment equipment class",CFIHOS-30000513,safety shower,A shower intended for emergency situations.,no,yes,,
other mechanical equipment,CFIHOS-30000514,silencer,A physical object intended to reduce a noise level.,no,yes,,
other mechanical equipment,CFIHOS-30000515,aerator,A physical object that supplies and mixes air to a liquid or solids.,no,yes,,
compressor,CFIHOS-30000516,axial compressor,A dynamic compressor in which the gas is accelerated by the action of a bladed rotor and where the main flow is along the rotation axis of the rotor.,no,yes,,
other mechanical equipment,CFIHOS-30000517,bearing,A physical object intended to support and locate a moving or static element and capable of reducing friction and transfer forces in a connection.,no,yes,,
other mechanical equipment,CFIHOS-30000518,blower,A physical object intended to compress and supply air or gas at medium pressure and medium volume flow.,no,yes,,centrifugal fan; centrifugal blower
other mechanical equipment,CFIHOS-30000519,brake,A physical object intended to arrest or prevent the motion of an item. Typically by means of friction.,no,yes,,
compressor,CFIHOS-30000520,centrifugal compressor,A dynamic compressor in which one ore more impellers accelerate the gas and where the main flow through the impeller is radial.,no,yes,,
pump,CFIHOS-30000521,centrifugal pump,A dynamic pump that contains impellers provided with vanes to generate centrifugal force to achieve the required pressure head.,no,yes,,
other mechanical equipment,CFIHOS-30000522,centrifuge,A physical object that uses centrifugal force to separate phases of different densities.,no,yes,,
other mechanical equipment,CFIHOS-30000523,clutch,A transmission that is intended to transmit energy between two shafts providing the capability to connect and disconnect the shafts.,no,yes,,
mechanical equipment class,CFIHOS-30000524,compressor,A physical object that is driven by a prime mover by which energy is either constantly or periodically added to an amount of gas in order to increase its pressure.,no,no,,
engine,CFIHOS-30000527,diesel engine,An internal combustion engine in which ignition of the fuel injected into the cylinder is performed by the heat of compression of the air charge.,no,yes,,
other mechanical equipment,CFIHOS-30000528,diffuser,A physical object that contains a diverging channel-shaped chamber in which part of the kinetic energy of the fluid is converted into pressure energy.,no,no,,
mechanical equipment class,CFIHOS-30000529,driver,A physical object that provides rotational or reciprocating energy to driven equipment.,yes,no,,
other mechanical equipment,CFIHOS-30000531,extruder,A physical object that is intended to form material by forcing it in liquid phase through a shaping die by applying pressure and fix the form in the solid phase.,no,yes,,
other mechanical equipment,CFIHOS-30000532,fan,A physical object that is intended to deliver or exhaust volumes of vapour or gas at low differential pressure.,no,yes,,axial blower; axial fan
engine,CFIHOS-30000533,gas engine,An internal combustion engine that is a reciprocating engine in which gaseous fuel is mixed with air to form a combustible mixture in a cylinder which is fired by spark ignition.,no,yes,,gas fuel combustion engine
turbine,CFIHOS-30000534,gas turbine,A turbine that compresses air which is then mixed with fuel for combustion and expansion through a turbine section to generate relatively high power output for either mechanical drive or power generation.,no,yes,,
