tag class CFIHOS unique code,tag class name,equipment class CFIHOS unique code,equipment class name,tag or equipment class relationship reason for mapping
CFIHOS-30000350,high-pass filter,CFIHOS-30000350,high-pass filter,
CFIHOS-30000977,hoistwell,CFIHOS-30000977,hoistwell,
CFIHOS-30000537,hood,CFIHOS-30000537,hood,
CFIHOS-30000759,hopper,CFIHOS-30000759,hopper,
CFIHOS-30000084,horn,CFIHOS-30000084,horn,
CFIHOS-30000085,hose,CFIHOS-30000085,hose,
CFIHOS-30000645,hose connector,CFIHOS-30000496,pipe,
CFIHOS-30000086,hose reel,CFIHOS-30000086,hose reel,
CFIHOS-30000307,housing,CFIHOS-30000307,housing,
CFIHOS-30000087,humidifier,CFIHOS-30000087,humidifier,
CFIHOS-30000088,humidity analyser,CFIHOS-30000088,humidity analyser,
CFIHOS-30000620,hvac duct,CFIHOS-30000620,hvac duct,
CFIHOS-30000433,hydraulic actuator,CFIHOS-30000433,hydraulic actuator,
CFIHOS-30000089,hydraulic connector,CFIHOS-30000089,hydraulic connector,
CFIHOS-30000434,hydraulic controller,CFIHOS-30000434,hydraulic controller,
CFIHOS-30000538,hydraulic cylinder,CFIHOS-30000538,hydraulic cylinder,
CFIHOS-30000539,hydraulic motor,CFIHOS-30000539,hydraulic motor,
CFIHOS-30000842,hydraulic piping purge unit,CFIHOS-30000842,hydraulic piping purge unit,
CFIHOS-30000090,hydraulic power supply,CFIHOS-30000090,hydraulic power supply,
CFIHOS-30000942,hydraulic power unit,CFIHOS-30000942,hydraulic power unit,
CFIHOS-30000568,hydraulic press,CFIHOS-30000568,hydraulic press,
CFIHOS-30000843,hydraulic turbine,CFIHOS-30000843,hydraulic turbine,
CFIHOS-30000581,hydro cyclone,CFIHOS-30000581,hydro cyclone,
CFIHOS-30000094,ignitor,CFIHOS-30000094,ignitor,
CFIHOS-30000391,incinerator,CFIHOS-30000391,incinerator,
CFIHOS-30000292,indicating instrument,CFIHOS-30000292,indicating instrument,
CFIHOS-30000096,industrial building,CFIHOS-30000096,industrial building,
CFIHOS-30000621,injection point,CFIHOS-30000496,pipe,
CFIHOS-30000100,intercom,CFIHOS-30000100,intercom,
CFIHOS-30000943,interface card,CFIHOS-30000943,interface card,
CFIHOS-30000351,interlocking device,CFIHOS-30000351,interlocking device,
CFIHOS-30000897,intrinsically safe barrier,CFIHOS-30000727,electrical isolator,
CFIHOS-30000680,iron roughneck,CFIHOS-30000680,iron roughneck,
CFIHOS-30000352,isolator,CFIHOS-30000352,isolator,
CFIHOS-30000708,jacket structure,CFIHOS-30000708,jacket structure,
CFIHOS-30000111,jetty,CFIHOS-30000111,jetty,
CFIHOS-30000353,junction box,CFIHOS-30000353,junction box,
CFIHOS-30000756,kettle reboiler,CFIHOS-30000756,kettle reboiler,
CFIHOS-30000435,keyboard,CFIHOS-30000435,keyboard,
CFIHOS-30000697,knock out drum,CFIHOS-30000697,knock out drum,
CFIHOS-30000582,ladder,CFIHOS-30000582,ladder,
CFIHOS-30000978,lagging,CFIHOS-30000978,lagging,
CFIHOS-30000354,lamp,CFIHOS-30000354,lamp,
CFIHOS-30000112,lathe,CFIHOS-30000112,lathe,
CFIHOS-30000979,lead glass window,CFIHOS-30000979,lead glass window,
CFIHOS-30000980,leakage collection system,CFIHOS-30000980,leakage collection system,
CFIHOS-30000672,level element,CFIHOS-30000400,capacitance probe,
CFIHOS-30000672,level element,CFIHOS-30000200,radar level element,
CFIHOS-30000672,level element,CFIHOS-30000266,ultrasonic level element,
CFIHOS-30000687,level gauge,CFIHOS-30000437,magnetic level gauge,
CFIHOS-30000687,level gauge,CFIHOS-30000468,servo tank gauge,
CFIHOS-30000677,level switch,CFIHOS-30000677,level switch,
CFIHOS-30000646,level transmitter,CFIHOS-30000010,capacitance level transmitter,
CFIHOS-30000646,level transmitter,CFIHOS-30000404,conductivity level transmitter,
CFIHOS-30000646,level transmitter,CFIHOS-30000416,differential pressure level transmitter,
CFIHOS-30000646,level transmitter,CFIHOS-30000034,displacer level transmitter,
CFIHOS-30000646,level transmitter,CFIHOS-30000126,magnetic level transmitter,
CFIHOS-30000646,level transmitter,CFIHOS-30000853,nucleonic level transmitter,
CFIHOS-30000646,level transmitter,CFIHOS-30000460,radar level transmitter,
CFIHOS-30000646,level transmitter,CFIHOS-30000461,radioactive level transmitter,
CFIHOS-30000646,level transmitter,CFIHOS-30000484,ultrasonic level transmitter,
CFIHOS-30000601,life boat,CFIHOS-30000601,life boat,
CFIHOS-30000114,life buoy,CFIHOS-30000114,life buoy,
CFIHOS-30000115,life buoy light,CFIHOS-30000115,life buoy light,
CFIHOS-30000899,life jacket,CFIHOS-30000899,life jacket,
CFIHOS-30000116,life raft,CFIHOS-30000116,life raft,
CFIHOS-30000117,lifting beam,CFIHOS-30000117,lifting beam,
CFIHOS-30000118,lifting cap,CFIHOS-30000118,lifting cap,
CFIHOS-30000622,lifting jack,CFIHOS-30000622,lifting jack,
CFIHOS-30000584,lifting lug,CFIHOS-30000584,lifting lug,
CFIHOS-30000944,lightning arrestor,CFIHOS-30000944,lightning arrestor,
CFIHOS-30000119,line blind,CFIHOS-30000119,line blind,
CFIHOS-30000900,line throwing appliance,CFIHOS-30000900,line throwing appliance,
CFIHOS-30000844,linear polarization resistance element,CFIHOS-30000844,linear polarization resistance element,
CFIHOS-30000981,lintel,CFIHOS-30000981,lintel,
CFIHOS-30000120,liquid composition analyser,CFIHOS-30000120,liquid composition analyser,
CFIHOS-30000121,liquid detector,CFIHOS-30000121,liquid detector,
CFIHOS-30000123,load cell,CFIHOS-30000123,load cell,
CFIHOS-30000602,loading arm,CFIHOS-30000602,loading arm,
CFIHOS-30000982,local access equipment,CFIHOS-30000982,local access equipment,
CFIHOS-30000124,logic cap,CFIHOS-30000124,logic cap,
CFIHOS-30001020,long-stroke pumpjack,CFIHOS-30001020,long-stroke pumpjack,Required by owner-operators
CFIHOS-30000436,loudspeaker,CFIHOS-30000436,loudspeaker,
CFIHOS-30000125,louvre,CFIHOS-30000125,louvre,
CFIHOS-30000356,low-pass filter,CFIHOS-30000356,low-pass filter,
CFIHOS-30000541,lubrication system,CFIHOS-30000541,lubrication system,
CFIHOS-30000357,luminaire,CFIHOS-30000357,luminaire,
CFIHOS-30000983,lute sample point,CFIHOS-30000983,lute sample point,
CFIHOS-30000437,magnetic level gauge,CFIHOS-30000437,magnetic level gauge,
CFIHOS-30000126,magnetic level transmitter,CFIHOS-30000126,magnetic level transmitter,
CFIHOS-30000648,manhole,CFIHOS-30000496,pipe,
CFIHOS-30000308,manifold,CFIHOS-30000308,manifold,
CFIHOS-30000127,manual call point,CFIHOS-30000127,manual call point,
CFIHOS-30000128,manual control switch,CFIHOS-30000128,manual control switch,
CFIHOS-30000847,manual switch,CFIHOS-30000847,manual switch,
CFIHOS-30000649,manual valve,CFIHOS-30000807,ball valve,
CFIHOS-30000649,manual valve,CFIHOS-30000808,block and bleed valve,
CFIHOS-30000649,manual valve,CFIHOS-30000810,butterfly valve,
CFIHOS-30000649,manual valve,CFIHOS-30000812,choke valve,
CFIHOS-30000649,manual valve,CFIHOS-30000818,diaphragm valve,
CFIHOS-30000649,manual valve,CFIHOS-30000822,double block and bleed valve,
CFIHOS-30000649,manual valve,CFIHOS-30000825,eccentric rotating disc valve,
CFIHOS-30000649,manual valve,CFIHOS-30000838,gate valve,
CFIHOS-30000649,manual valve,CFIHOS-30000840,globe valve,
CFIHOS-30000649,manual valve,CFIHOS-30000850,multiport valve,
CFIHOS-30000649,manual valve,CFIHOS-30000852,needle valve,
CFIHOS-30000649,manual valve,CFIHOS-30000860,plug valve,
CFIHOS-30000649,manual valve,CFIHOS-30000866,slide valve,
CFIHOS-30000901,manway,CFIHOS-30000496,pipe,
CFIHOS-30000130,mast,CFIHOS-30000130,mast,
CFIHOS-30000131,mechanical connector,CFIHOS-30000131,mechanical connector,
CFIHOS-30000438,mechanical positioner,CFIHOS-30000438,mechanical positioner,
CFIHOS-30000542,mechanical seal,CFIHOS-30000542,mechanical seal,
CFIHOS-30000903,meteorological equipment,CFIHOS-30000903,meteorological equipment,
CFIHOS-30000945,meteorological sensor,CFIHOS-30000945,meteorological sensor,
CFIHOS-30000132,meter prover,CFIHOS-30000132,meter prover,
CFIHOS-30000904,metering station,CFIHOS-30000904,metering station,
CFIHOS-30000133,microphone,CFIHOS-30000133,microphone,
CFIHOS-30000709,mid-water arch,CFIHOS-30000709,mid-water arch,
CFIHOS-30000984,mobile platform,CFIHOS-30000984,mobile platform,
CFIHOS-30000135,modem,CFIHOS-30000135,modem,
CFIHOS-30000905,modulating damper,CFIHOS-30000905,modulating damper,
CFIHOS-30000623,motor control centre,CFIHOS-30000623,motor control centre,
CFIHOS-30000738,motor operated valve,CFIHOS-30000738,motor operated valve,
CFIHOS-30000136,mounting bracket,CFIHOS-30000136,mounting bracket,
CFIHOS-30000137,multi property analyser,CFIHOS-30000137,multi property analyser,
CFIHOS-30000688,multiphase meter,CFIHOS-30000688,multiphase meter,
CFIHOS-30000848,multiple orifice on-off valve,CFIHOS-30000848,multiple orifice on-off valve,
CFIHOS-30000138,multiplexer,CFIHOS-30000138,multiplexer,
CFIHOS-30000849,multiport on-off valve,CFIHOS-30000849,multiport on-off valve,
CFIHOS-30000850,multiport valve,CFIHOS-30000850,multiport valve,
CFIHOS-30000851,needle control valve,CFIHOS-30000851,needle control valve,
CFIHOS-30000852,needle valve,CFIHOS-30000852,needle valve,
CFIHOS-30000139,net oil computer,CFIHOS-30000139,net oil computer,
CFIHOS-30000650,non-return damper,CFIHOS-30000650,non-return damper,
CFIHOS-30000853,nucleonic level transmitter,CFIHOS-30000853,nucleonic level transmitter,
CFIHOS-30000163,office building,CFIHOS-30000163,office building,
CFIHOS-30000854,oil circuit-breaker,CFIHOS-30000854,oil circuit-breaker,
CFIHOS-30000689,oil mist detector,CFIHOS-30000689,oil mist detector,
CFIHOS-30000164,optical beacon,CFIHOS-30000164,optical beacon,
CFIHOS-30000165,overhead projector,CFIHOS-30000165,overhead projector,
CFIHOS-30000166,overhead runway beam,CFIHOS-30000166,overhead runway beam,
CFIHOS-30000855,oxidation reduction potential element,CFIHOS-30000855,oxidation reduction potential element,
CFIHOS-30000168,package,CFIHOS-30000168,package,
CFIHOS-30000169,padeye,CFIHOS-30000169,padeye,
CFIHOS-30000170,pager,CFIHOS-30000170,pager,
CFIHOS-30000171,paging system,CFIHOS-30000171,paging system,
CFIHOS-30000908,pedestal,CFIHOS-30000908,pedestal,
CFIHOS-30000172,personnel basket,CFIHOS-30000172,personnel basket,
CFIHOS-30000544,petrol engine,CFIHOS-30000544,petrol engine,
CFIHOS-30000440,ph analyser,CFIHOS-30000440,ph analyser,
CFIHOS-30000173,pH element,CFIHOS-30000173,pH element,
CFIHOS-30000652,physical access control equipment,CFIHOS-30000652,physical access control equipment,
CFIHOS-30000441,pig detector,CFIHOS-30000441,pig detector,
CFIHOS-30000175,pig launcher,CFIHOS-30000175,pig launcher,
CFIHOS-30000176,pig loop,CFIHOS-30000176,pig loop,
CFIHOS-30000177,pig receiver,CFIHOS-30000177,pig receiver,
CFIHOS-30000178,pig transmitter,CFIHOS-30000178,pig transmitter,
CFIHOS-30000179,pig trap,CFIHOS-30000179,pig trap,
CFIHOS-30001022,piling,CFIHOS-30001022,piling,Required by owner-operators
CFIHOS-30000856,pilot operated relief valve,CFIHOS-30000856,pilot operated relief valve,
CFIHOS-30001023,pin-actuated pressure relief valve,CFIHOS-30001023,pin-actuated pressure relief valve,Required by owner-operators
CFIHOS-30001014,pinch control valve,CFIHOS-30001014,pinch control valve,Required by owner-operators
CFIHOS-30001021,pinch valve,CFIHOS-30001021,pinch valve,Required by owner-operators
CFIHOS-30000496,pipe,CFIHOS-30000496,pipe,
CFIHOS-30000497,pipe bend,CFIHOS-30000497,pipe bend,
CFIHOS-30000180,pipe bending machine,CFIHOS-30000180,pipe bending machine,
CFIHOS-30000670,pipe doping machine,CFIHOS-30000670,pipe doping machine,
CFIHOS-30000498,pipe flange spade,CFIHOS-30000498,pipe flange spade,
CFIHOS-30000585,pipe support,CFIHOS-30000585,pipe support,
CFIHOS-30000499,pipe tee,CFIHOS-30000499,pipe tee,
CFIHOS-30000500,pipeline,CFIHOS-30000500,pipeline,
CFIHOS-30000501,piping expansion bellows,CFIHOS-30000501,piping expansion bellows,
CFIHOS-30000710,piping purge unit,CFIHOS-30000826,electric piping purge unit,
CFIHOS-30000710,piping purge unit,CFIHOS-30000842,hydraulic piping purge unit,
CFIHOS-30000947,piping speciality item,CFIHOS-30000938,casing,
CFIHOS-30000947,piping speciality item,CFIHOS-30000946,pipe reducer,
CFIHOS-30000947,piping speciality item,CFIHOS-30000948,sample bomb,
CFIHOS-30000947,piping speciality item,CFIHOS-30000949,sample cooler,
CFIHOS-30000947,piping speciality item,CFIHOS-30000950,segment,
CFIHOS-30000947,piping speciality item,CFIHOS-30000952,sleeve,
CFIHOS-30000182,piping spool,CFIHOS-30000182,piping spool,
CFIHOS-30000857,piston check valve,CFIHOS-30000857,piston check valve,
CFIHOS-30000442,pitot tube,CFIHOS-30000442,pitot tube,
CFIHOS-30000858,pitot tube flow meter,CFIHOS-30000858,pitot tube flow meter,
CFIHOS-30001024,plate fin heat exchanger,CFIHOS-30001024,plate fin heat exchanger,Required by owner-operators
CFIHOS-30000752,plate heat exchanger,CFIHOS-30000752,plate heat exchanger,
CFIHOS-30000859,plug control valve,CFIHOS-30000859,plug control valve,
CFIHOS-30000860,plug valve,CFIHOS-30000860,plug valve,
CFIHOS-30000443,pneumatic actuator,CFIHOS-30000443,pneumatic actuator,
CFIHOS-30000444,pneumatic controller,CFIHOS-30000444,pneumatic controller,
CFIHOS-30001025,pneumatic conveyor,CFIHOS-30001025,pneumatic conveyor,Required by owner-operators
CFIHOS-30000757,pneumatic cylinder,CFIHOS-30000757,pneumatic cylinder,
CFIHOS-30000548,pneumatic motor,CFIHOS-30000548,pneumatic motor,
CFIHOS-30000678,position switch,CFIHOS-30000678,position switch,
CFIHOS-30000678,position switch,CFIHOS-30000458,proximity switch,
CFIHOS-30000449,position transmitter,CFIHOS-30000449,position transmitter,
CFIHOS-30000184,positioning system,CFIHOS-30000184,positioning system,
CFIHOS-30000185,positive displacement flow element,CFIHOS-30000185,positive displacement flow element,
CFIHOS-30000451,pour point analyser,CFIHOS-30000451,pour point analyser,
CFIHOS-30000360,power cable,CFIHOS-30000360,power cable,
CFIHOS-30000186,power stabiliser,CFIHOS-30000186,power stabiliser,
CFIHOS-30000361,power supply unit,CFIHOS-30000361,power supply unit,
CFIHOS-30000673,pressure element,CFIHOS-30000673,pressure element,
CFIHOS-30000452,pressure gauge,CFIHOS-30000452,pressure gauge,
CFIHOS-30000453,pressure regulator,CFIHOS-30000453,pressure regulator,
CFIHOS-30000624,pressure relief damper,CFIHOS-30000624,pressure relief damper,
CFIHOS-30000454,pressure switch,CFIHOS-30000454,pressure switch,
CFIHOS-30000455,pressure to current converter,CFIHOS-30000455,pressure to current converter,
CFIHOS-30000654,pressure transmitter,CFIHOS-30000395,absolute pressure transmitter,
CFIHOS-30000654,pressure transmitter,CFIHOS-30000208,relative pressure transmitter,
CFIHOS-30000861,pressure-vacuum relief valve,CFIHOS-30000861,pressure-vacuum relief valve,
CFIHOS-30000754,printed circuit heat exchanger,CFIHOS-30000754,printed circuit heat exchanger,
CFIHOS-30000456,printing machine,CFIHOS-30000456,printing machine,
CFIHOS-30000586,process column,CFIHOS-30000800,absorber column,
CFIHOS-30000586,process column,CFIHOS-30000802,adsorber column,
CFIHOS-30000586,process column,CFIHOS-30000814,contactor column,
CFIHOS-30000586,process column,CFIHOS-30000821,distillation column,
CFIHOS-30000586,process column,CFIHOS-30000588,scrubber,
CFIHOS-30000586,process column,CFIHOS-30000868,stabilizer column,
CFIHOS-30000586,process column,CFIHOS-30000869,stripper column,
CFIHOS-30000586,process column,CFIHOS-30000875,vacuum column,
CFIHOS-30000189,process data acquisition and control,CFIHOS-30000189,process data acquisition and control,
CFIHOS-30000655,process nozzle,CFIHOS-30000655,process nozzle,
CFIHOS-30000758,process reactor,CFIHOS-30000758,process reactor,
CFIHOS-30000728,protection relay,CFIHOS-30000728,protection relay,
CFIHOS-30000909,protective suit,CFIHOS-30000909,protective suit,
CFIHOS-30000457,proximity element,CFIHOS-30000457,proximity element,
CFIHOS-30000458,proximity switch,CFIHOS-30000458,proximity switch,
CFIHOS-30000191,public address and alarm system,CFIHOS-30000191,public address and alarm system,
CFIHOS-30000549,pulsation damper,CFIHOS-30000549,pulsation damper,
CFIHOS-30000550,pump,CFIHOS-30000521,centrifugal pump,
CFIHOS-30000550,pump,CFIHOS-30000862,reciprocating pump,
CFIHOS-30000550,pump,CFIHOS-30000864,rotary pump,
CFIHOS-30001011,pumpjack,CFIHOS-30001011,pumpjack,Required by owner-operators
CFIHOS-30000459,push button,CFIHOS-30000459,push button,
CFIHOS-30000199,rack,CFIHOS-30000199,rack,
CFIHOS-30000626,radar,CFIHOS-30000626,radar,
CFIHOS-30000200,radar level element,CFIHOS-30000200,radar level element,
CFIHOS-30000460,radar level transmitter,CFIHOS-30000460,radar level transmitter,
CFIHOS-30000910,radiation detector,CFIHOS-30000910,radiation detector,
CFIHOS-30000201,radiator,CFIHOS-30000201,radiator,
CFIHOS-30000627,radio beacon,CFIHOS-30000627,radio beacon,
CFIHOS-30000202,radio caravan,CFIHOS-30000202,radio caravan,
CFIHOS-30000203,radio transceiver,CFIHOS-30000203,radio transceiver,
CFIHOS-30000461,radioactive level transmitter,CFIHOS-30000461,radioactive level transmitter,
CFIHOS-30000204,radioactive source,CFIHOS-30000461,radioactive level transmitter,
CFIHOS-30000985,rail crossing indicator,CFIHOS-30000985,rail crossing indicator,
CFIHOS-30000986,rail key token station,CFIHOS-30000986,rail key token station,
CFIHOS-30000987,rail track,CFIHOS-30000987,rail track,
CFIHOS-30000988,ramp,CFIHOS-30000988,ramp,
CFIHOS-30000205,reader,CFIHOS-30000205,reader,
CFIHOS-30000551,reciprocating compressor,CFIHOS-30000551,reciprocating compressor,
CFIHOS-30000862,reciprocating pump,CFIHOS-30000862,reciprocating pump,
CFIHOS-30000462,recording instrument,CFIHOS-30000462,recording instrument,
CFIHOS-30000363,rectifier,CFIHOS-30000363,rectifier,
CFIHOS-30000911,recuperator heat exchanger,CFIHOS-30000911,recuperator heat exchanger,
CFIHOS-30000206,redox analyser,CFIHOS-30000206,redox analyser,
CFIHOS-30000208,relative pressure transmitter,CFIHOS-30000208,relative pressure transmitter,
CFIHOS-30000364,relay,CFIHOS-30000364,relay,
CFIHOS-30000295,relief valve,CFIHOS-30000815,conventional relief valve,
CFIHOS-30000295,relief valve,CFIHOS-30000856,pilot operated relief valve,
CFIHOS-30000295,relief valve,CFIHOS-30000861,pressure-vacuum relief valve,
CFIHOS-30000209,remote terminal unit,CFIHOS-30000209,remote terminal unit,
CFIHOS-30000912,remote-operated control unit,CFIHOS-30000402,computer,
CFIHOS-30001013,rescue boat,CFIHOS-30001013,rescue boat,Required by owner-operators
CFIHOS-30000210,residential building,CFIHOS-30000210,residential building,
CFIHOS-30000463,resistance temperature element,CFIHOS-30000463,resistance temperature element,
CFIHOS-30000464,restriction orifice plate,CFIHOS-30000464,restriction orifice plate,
CFIHOS-30000989,retaining wall,CFIHOS-30000989,retaining wall,
CFIHOS-30000863,rigid riser,CFIHOS-30000863,rigid riser,
CFIHOS-30000729,ring main unit,CFIHOS-30000729,ring main unit,
CFIHOS-30000502,riser,CFIHOS-30000828,flexible riser,
CFIHOS-30000502,riser,CFIHOS-30000863,rigid riser,
CFIHOS-30000656,riser support,CFIHOS-30000656,riser support,
CFIHOS-30000218,road,CFIHOS-30000218,road,
CFIHOS-30000913,road compactor,CFIHOS-30000913,road compactor,
CFIHOS-30000914,road sweeper,CFIHOS-30000914,road sweeper,
CFIHOS-30000569,roller conveyor,CFIHOS-30000569,roller conveyor,
CFIHOS-30000990,roof,CFIHOS-30000990,roof,
CFIHOS-30000991,roof cover,CFIHOS-30000991,roof cover,
CFIHOS-30000992,room,CFIHOS-30000992,room,
CFIHOS-30000603,rope,CFIHOS-30000603,rope,
CFIHOS-30000465,rotameter flow meter,CFIHOS-30000465,rotameter flow meter,
CFIHOS-30000552,rotary compressor,CFIHOS-30000552,rotary compressor,
CFIHOS-30000864,rotary pump,CFIHOS-30000864,rotary pump,
CFIHOS-30000915,rotary table,CFIHOS-30000915,rotary table,
CFIHOS-30000750,rotational speed element,CFIHOS-30000750,rotational speed element,
CFIHOS-30000221,router,CFIHOS-30000221,router,
CFIHOS-30000628,running tool,CFIHOS-30000247,special tool,
CFIHOS-30000628,running tool,CFIHOS-30000723,subsea remote operated tool,
CFIHOS-30000466,rupture disc,CFIHOS-30000466,rupture disc,
CFIHOS-30000222,safety barrier,CFIHOS-30000222,safety barrier,
CFIHOS-30000916,safety display plan,CFIHOS-30000916,safety display plan,
CFIHOS-30000513,safety shower,CFIHOS-30000513,safety shower,
CFIHOS-30000917,safety sign,CFIHOS-30000917,safety sign,
CFIHOS-30000918,sample connection point,CFIHOS-30000496,pipe,
CFIHOS-30000224,sample loop component,CFIHOS-30000224,sample loop component,
CFIHOS-30000711,sample vessel,CFIHOS-30000711,sample vessel,
CFIHOS-30000467,sampler,CFIHOS-30000467,sampler,
CFIHOS-30000243,sand detector,CFIHOS-30000243,sand detector,
CFIHOS-30000993,sanitary ware,CFIHOS-30000993,sanitary ware,
CFIHOS-30000225,satellite communications terminal,CFIHOS-30000225,satellite communications terminal,
CFIHOS-30000587,scraper,CFIHOS-30000587,scraper,
CFIHOS-30000226,screw conveyor,CFIHOS-30000226,screw conveyor,
CFIHOS-30000588,scrubber,CFIHOS-30000588,scrubber,
CFIHOS-30000309,seal,CFIHOS-30000309,seal,
CFIHOS-30000994,secondary wall,CFIHOS-30000994,secondary wall,
CFIHOS-30000227,selector switch,CFIHOS-30000227,selector switch,
CFIHOS-30000682,self operating valve,CFIHOS-30000429,flow regulator,
CFIHOS-30000682,self operating valve,CFIHOS-30000453,pressure regulator,
CFIHOS-30000682,self operating valve,CFIHOS-30000474,temperature regulator,
CFIHOS-30000698,separator,CFIHOS-30000075,gas cyclone separator,
CFIHOS-30000698,separator,CFIHOS-30000841,gravity separator,
CFIHOS-30000698,separator,CFIHOS-30000581,hydro cyclone,
CFIHOS-30000468,servo tank gauge,CFIHOS-30000468,servo tank gauge,
CFIHOS-30000228,shale shaker,CFIHOS-30000228,shale shaker,
CFIHOS-30000739,shear ram,CFIHOS-30000739,shear ram,
CFIHOS-30000231,sheave,CFIHOS-30000231,sheave,
CFIHOS-30000590,shell,CFIHOS-30000590,shell,
CFIHOS-30000755,shell and tube heat exchanger,CFIHOS-30000755,shell and tube heat exchanger,
CFIHOS-30000995,shield door,CFIHOS-30000995,shield door,
CFIHOS-30000232,shut off damper,CFIHOS-30000232,shut off damper,
CFIHOS-30000233,side pocket mandrel,CFIHOS-30000233,side pocket mandrel,
CFIHOS-30000749,sight glass,CFIHOS-30000749,sight glass,
CFIHOS-30000996,sign,CFIHOS-30000996,sign,
CFIHOS-30000234,signal,CFIHOS-30000292,indicating instrument,
CFIHOS-30000365,signal cable,CFIHOS-30000365,signal cable,
CFIHOS-30000663,signal converter,CFIHOS-30000410,current to current converter,
CFIHOS-30000663,signal converter,CFIHOS-30000411,current to pressure converter,
CFIHOS-30000663,signal converter,CFIHOS-30000412,current to voltage converter,
CFIHOS-30000663,signal converter,CFIHOS-30000431,frequency to current converter,
CFIHOS-30000663,signal converter,CFIHOS-30000455,pressure to current converter,
CFIHOS-30000663,signal converter,CFIHOS-30000490,voltage to current converter,
CFIHOS-30000951,signal receiver,CFIHOS-30000951,signal receiver,
CFIHOS-30000235,signal splitter,CFIHOS-30000235,signal splitter,
CFIHOS-30000514,silencer,CFIHOS-30000514,silencer,
CFIHOS-30001027,silo,CFIHOS-30001027,silo,Required by owner-operators
CFIHOS-30000236,single buoy mooring,CFIHOS-30000236,single buoy mooring,
CFIHOS-30000237,sink,CFIHOS-30000237,sink,
CFIHOS-30000744,siren,CFIHOS-30000744,siren,
CFIHOS-30000239,skimmer,CFIHOS-30000239,skimmer,
CFIHOS-30000570,slat conveyor,CFIHOS-30000570,slat conveyor,
CFIHOS-30000865,slide control valve,CFIHOS-30000865,slide control valve,
CFIHOS-30000866,slide valve,CFIHOS-30000866,slide valve,
CFIHOS-30000629,slip ring,CFIHOS-30000629,slip ring,
CFIHOS-30000919,slips,CFIHOS-30000919,slips,
CFIHOS-30000591,slug catcher,CFIHOS-30000591,slug catcher,
CFIHOS-30000470,smoke detector,CFIHOS-30000470,smoke detector,
CFIHOS-30000240,snatch block,CFIHOS-30000240,snatch block,
CFIHOS-30000740,solar panel,CFIHOS-30000740,solar panel,
CFIHOS-30000368,solenoid,CFIHOS-30000368,solenoid,
CFIHOS-30000681,solenoid valve,CFIHOS-30000681,solenoid valve,
CFIHOS-30000242,solid composition analyser,CFIHOS-30000242,solid composition analyser,
CFIHOS-30000244,sound attenuator,CFIHOS-30000244,sound attenuator,
CFIHOS-30000245,sound pressure level analyser,CFIHOS-30000245,sound pressure level analyser,
CFIHOS-30000555,spacer,CFIHOS-30000555,spacer,
CFIHOS-30000246,spark arrestor,CFIHOS-30000246,spark arrestor,
CFIHOS-30000247,special tool,CFIHOS-30000247,special tool,
CFIHOS-30000248,specific gravity analyser,CFIHOS-30000248,specific gravity analyser,
CFIHOS-30000503,spectacle blind,CFIHOS-30000503,spectacle blind,
CFIHOS-30000471,speed meter,CFIHOS-30000471,speed meter,
CFIHOS-30000690,speed switch,CFIHOS-30000690,speed switch,
CFIHOS-30000472,speed transmitter,CFIHOS-30000472,speed transmitter,
CFIHOS-30000867,spiral heat exchanger,CFIHOS-30000867,spiral heat exchanger,
CFIHOS-30000504,spool piece,CFIHOS-30000504,spool piece,
CFIHOS-30000657,spray nozzle,CFIHOS-30000657,spray nozzle,
CFIHOS-30000249,spreader bar,CFIHOS-30000249,spreader bar,
CFIHOS-30000250,spring support,CFIHOS-30000250,spring support,
CFIHOS-30000868,stabilizer column,CFIHOS-30000868,stabilizer column,
CFIHOS-30000251,stack,CFIHOS-30000251,stack,
CFIHOS-30000997,staircase,CFIHOS-30000997,staircase,
CFIHOS-30000630,static mixer,CFIHOS-30000630,static mixer,
CFIHOS-30000505,steam trap,CFIHOS-30000505,steam trap,
CFIHOS-30000556,steam turbine,CFIHOS-30000556,steam turbine,
CFIHOS-30000920,storm water drain,CFIHOS-30000907,outfall,
CFIHOS-30000506,strainer,CFIHOS-30000506,strainer,
CFIHOS-30000921,stretcher,CFIHOS-30000921,stretcher,
CFIHOS-30000592,stripper,CFIHOS-30000592,stripper,
CFIHOS-30000869,stripper column,CFIHOS-30000869,stripper column,
CFIHOS-30000253,stroke length adjuster,CFIHOS-30000253,stroke length adjuster,
CFIHOS-30000998,structural ancillary frame,CFIHOS-30000998,structural ancillary frame,
CFIHOS-30000999,structural cell wall,CFIHOS-30000999,structural cell wall,
CFIHOS-30001000,structural floor,CFIHOS-30001000,structural floor,
CFIHOS-30001001,structural frame,CFIHOS-30001001,structural frame,
CFIHOS-30001002,structural wall,CFIHOS-30001002,structural wall,
CFIHOS-30000870,submersible connector,CFIHOS-30000870,submersible connector,
CFIHOS-30000712,subsea bore protector,CFIHOS-30000712,subsea bore protector,
CFIHOS-30000923,subsea cable,CFIHOS-30000360,power cable,
CFIHOS-30000923,subsea cable,CFIHOS-30000923,subsea cable,
CFIHOS-30000924,subsea configuration plate,CFIHOS-30000725,subsea umbilical,
CFIHOS-30000736,subsea control module,CFIHOS-30000736,subsea control module,
