Source standard document and data requirement CFIHOS unique code,tag class CFIHOS unique code,tag class name,source standard CFIHOS unique code,source standard code,source standard document and data requirement number,source standard document and data requirement title,source standard document and data requirement typical deliverable,source standard document and data requirement description,source standard document and data requirement comment,document and data requirement type code,document and data requirement group code,engineering standard source chapter,discipline CFIHOS unique code,discipline name,document type CFIHOS unique code,document type name,default submit at proposal indicator,default submit for review indicator,default submit at delivery indicator,default issue for review number of weeks,default issue for review reference date,default issue for approval number of weeks,default issue for approval reference date,default for information number of weeks,default for information reference date,default required handover status code,default required translation indicator,deliverable format code
CFIHOS-68000209,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,MD#11,Obsolescence management plan,management plan,"Plan defining the manufacturer's co-ordinated activities to direct and control the strategies for the identification and mitigation of the effects of obsolescence to the user, through all stages of the life of all components within the high-voltage switch",Preliminary with proposal,equipment,contract management information deliverables,S-620 Clause 5.0.103,,,CFIHOS-70000447,obsolescence management plan,yes,yes,yes,,,,,,WAO,AFD,yes,PDF
CFIHOS-68000210,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#02,CT sizing calculations,calculation,"Calculations to size the CT's, e.g. burden and accuracy class.",,equipment,technical information deliverables,S-620 Clause 9.2,,,CFIHOS-70000086,design calculation,no,yes,yes,,,,,,WAO,AFC,yes,
CFIHOS-68000211,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#03,Current transformer characteristics,characteristics,The magnetization and transient characteristics of the current transformers.,,equipment,technical information deliverables,S-620 Clause 9.2,,,CFIHOS-70000416,manufacturer datasheet,no,yes,yes,,,,,,WAO,AFC,yes,
CFIHOS-68000212,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#04,High-voltage protective devices characteristics and ratings,characteristics,"Time-current characteristics of high-voltage protection devices provided with the switchgear and controlgear assembly, e.g. motor-starter fuse and protection relay curves.",,equipment,technical information deliverables,S-620 Clause 9.2,,,CFIHOS-70000416,manufacturer datasheet,no,yes,yes,,,,,,WAO,AFC,yes,
CFIHOS-68000213,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#05,Utility load calculation,calculation,Summarises the normal and transient DC and AC utility loads of the switchgear for the purpose of sizing external power provision.,,equipment,technical information deliverables,IEC 62271-1Clause 10.3,,,CFIHOS-70000259,general report,no,yes,yes,,,,,,WAO,AFC,yes,
CFIHOS-68000214,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#06,Connection Diagram,connection diagram,"Drawing providing information about the external physical connections per functional unit including hydraulic, pneumatic and electrical connections.",,equipment,technical information deliverables,IEC 62271-1Clause 11.3.5,,,CFIHOS-70000055,connection diagram,no,yes,yes,,,,,,WAO,AFC,yes,
CFIHOS-68000215,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#07,Switchgear I/O schedule,schedule,Schedule of tags identifying IED programmable addresses and hardwired signal interfaces for all functional units within the switchgear and control gear assembly.,,equipment,technical information deliverables,S-620Clause 5.4.1.1,,,CFIHOS-70000179,"input, output list",no,yes,yes,,,,,,WAO,AFC,yes,
CFIHOS-68000216,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#08,Functional logic diagram,logic diagram,Control logic embedded in IEDs (e.g. protection relays) that is developed by the manufacturer to implement the requirements of the user diagrams and associated protection relay settings.,,equipment,technical information deliverables,S-620Clause 5.115.3,,,CFIHOS-70000248,logic diagram,no,no,yes,,WAO,,WAO,,,AFC,yes,
CFIHOS-68000217,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#09,Switchgear single line diagram,single line diagram,"Drawing detailing major items of equipment, including protection devices per functional unit using IEC 60617 standard symbols and/or ANSI C37.2 device function numbers per switchgear and controlgear assembly.",,equipment,technical information deliverables,S-620 Clause 9.2,,,CFIHOS-70000371,single line diagram,no,no,yes,,WAO,,WAO,,,AFC,yes,
CFIHOS-68000218,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#10,Circuit and wiring diagram,circuit and wiring diagram,"Drawing detailing in schematic form the functional unit in respect of electrical and instrument circuit connections based on the principles in IEC 61082-1, Preparation of documents used in electrotechnology - Part 1: Rules.  The circuit(s) to be shown to",,equipment,technical information deliverables,S-620 Clause 9.2,,,CFIHOS-70000268,wiring diagram,no,no,yes,,WAO,,WAO,,,AFC,yes,
CFIHOS-68000219,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#11,Inter-panel diagram,connection diagram,Wiring diagram detailing the control and auxiliary interfaces between functional units within the switchgear and controlgear assembly.  The wiring diagram identifies functional unit inter-connection and field run connections to be made during assembly of,,equipment,technical information deliverables,S-620 Clause 9.2,,,CFIHOS-70000055,connection diagram,no,yes,yes,,,,,,WAO,AFC,yes,
CFIHOS-68000220,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#12,Probability of failure on demand reliability data,reliability data,Identifies reliability input data for functional unit and protection relay probability of failure on demand (PFD) to enable user to perform functional safety requirements assessments to IEC 61511.,,equipment,technical information deliverables,S-620 Clause 5.115.2,,,CFIHOS-70000312,"reliability, availability, safety integrity level calculation",no,yes,yes,,,,,,WAO,AFC,yes,
CFIHOS-68000221,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#13,IED Interrogation and Programming Software,software,Software required to access and program the relays and programmable devices in the HV switchgear,,equipment,technical information deliverables,S-620 Clause 5.115.3,,,CFIHOS-70000012,application software,no,yes,yes,,,,,,WAO,AFC,yes,
CFIHOS-68000222,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#14,Relay IED configuration files,software configuration file,Relay and programmable configuration devices files (native files and PDF),,equipment,technical information deliverables,S-620 Clause 5.113.3,,,CFIHOS-70000012,application software,no,yes,yes,,,,,,WPTT,AFC,yes,
CFIHOS-68000223,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#15,IEC 61850 configuration files,software configuration file,Substation Configuration Description (SCD) or Configured IED Description (CID) files,,equipment,technical information deliverables,S-620 Clause 5.115.4,,,CFIHOS-70000012,application software,no,yes,yes,,,,,,WPTT,AFC,yes,
CFIHOS-68000224,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#16,Bill of materials,bill of materials,"A list of parts, components and sub-assemblies for equipment with part numbers, item numbers, quantities, material designations and references to specifications including sub-suppliers and associated purchase orders.",,equipment,technical information deliverables,IEC62271-200Clause 9.2,,,CFIHOS-70000028,bill of materials,no,yes,yes,,,,,,WPTD,AFC,yes,
CFIHOS-68000225,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#17,Type test report,test certificate,"A document that provides a summary of type tests, including the specific year and edition of the IEC used to perform the type test for all discrete functional units provided",,equipment,technical information deliverables,IEC 62271-200Clause 6.1,,,CFIHOS-70000239,general certificate,no,yes,yes,,,,,,WPTD,AFD,yes,
CFIHOS-68000226,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#18,ECMS simulation test procedure,test procedure,User-agreed functional test procedure of the ECMS or its parts using the parameter set for the planned application including communication interfaces with integrated control and safety systems.,,equipment,technical information deliverables,"S-620 Clause 7.107,S-620Q Annex A",,,CFIHOS-70000332,test procedure,,no,yes,,WPTT,,WPTT,,,AFD,yes,
CFIHOS-68000227,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#19,ECMS simulation test report,test report,Results from the execution of ECMS simulation test procedure including communication interfaces with integrated control and safety systems.,,equipment,technical information deliverables,S-620 Clause 7.107S-620Q Annex A,,,CFIHOS-70000245,inspection report,,yes,yes,,,,,,WAT,AFC,yes,
CFIHOS-68000228,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#20,Routine Verification Test (FAT) Procedure,test procedure,"Procedure documenting the manufacturers recommended testing activities and acceptance criteria according to applicable standards, specifications and requirements, to document the condition of the equipment as tested from factory. Procedure to define test",,equipment,technical information deliverables,"IEC 62271-200 Clause 7,S-620Q Annex A",,,CFIHOS-70000332,test procedure,no,yes,yes,,,,,,WPTT,AFD,yes,
CFIHOS-68000229,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#21,Certificate of conformity,certificate of conformance (coc),"The manufacture's or other party's confirmation that the product is designed, manufactured and tested as specified. To be delivered according to applicable authorities requirements. An example is marine class approval of the switchgear",marine class approval from an independent verification body,equipment,technical information deliverables,S-620 Clause 9.2,,,CFIHOS-70000013,approval certificate,no,yes,yes,,,,,,WPTD,AFC,yes,
CFIHOS-68000230,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#22,Site acceptance test (SAT) procedure,test procedure,"Procedure documenting the manufacturers recommended site tests including discrete functional unit and overall assembly, electrical, mechanical, protection relay and IEDs.",To incorporate site interfaces,equipment,technical information deliverables,IEC62271-1Clause 11.3.7,,,CFIHOS-70000332,test procedure,no,no,yes,,WPTT,,WPTT,,,AFD,yes,
CFIHOS-68000231,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#23,Site acceptance test report,test report,"Site acceptance test report including discrete functional unit and overall assembly, electrical, mechanical, protection relay and IED tests.",,equipment,technical information deliverables,S-620 Clause 7,,,CFIHOS-70000245,inspection report,no,no,yes,,WAT,,WAT,,,AFC,yes,
CFIHOS-68000232,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018,S-620#M01,IED Configuration Responsibilities,responsibility matrix,"Responsibility matrix or flow chart detailing device configuration and set-point responsibilities including protection relay, IED generic configuration and IED functional logic files for the purpose of interface control between user and manufacturer durin",Preliminary with proposal,equipment,contract management information deliverables,S-620 Clause 5.115.3,,,CFIHOS-70000023,authority matrix,yes,yes,yes,,,,,,WAO,AFD,yes,PDF
CFIHOS-68000233,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-1,Supplier master information schedule,supplier master information schedule,Schedule of specific information deliverables developed by the [Vendor] and accepted by the [Purchaser] to meet the information requirements defined in the agreed Information Requirements Specification (IRS).The schedule typically defines;a. information,,equipment,contract management information deliverables,"API 671, 13.1.1",,,CFIHOS-70000099,master document register,,no,no,,,,,,,AFD,yes,native
CFIHOS-68000234,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-19,General arrangement drawing,general arrangement diagram,"A drawing showing overall dimensions, critical interface dimensions, part references and weight of assemblies, equipment and components. The drawing shall contain reference to main specifications and standards. For equipment / components the drawing may i",Preliminary with proposal,equipment,technical information deliverables,"(11.1 para 3.5 new), (11.1), 11.3.1.1, 11.3.1.3, 11.3.2.3, 11.3.3.3, 11.3.4.1, 11.3.4.3, 6.8.2",,,CFIHOS-70000153,general arrangement diagram,yes,yes,yes,,,,,,WAO,AFD,no,PDF
CFIHOS-68000235,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-20,Single-speed motor performance curves,motor performance curve,Motor performance curve shall include the following information:- Torque curve from 0 to 100% synchronous speed at 80% rated voltage expressed as a percentage of rated torque.- Torque curve from 0 to 100% synchronous speed at 100% rated voltage expresse,,equipment,technical information deliverables,,,,CFIHOS-70000449,performance report,yes,yes,yes,,,,,,WAO,AFD,yes,PDF
CFIHOS-68000236,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-22,Termination diagram,termination diagram,"A diagram for equipment, panels, junction boxes, etc. identifies all connections and cable terminations at input/output rails. Required for removal/hook up purposes and modifications. To include vendor interfaces.",,equipment,technical information deliverables,11.3.4.2,,,CFIHOS-70000330,termination diagram,no,yes,yes,,,,,,WAO,AFD,yes,PDF
CFIHOS-68000237,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-24,Routine test report,test report,This document records and documents all results from the activities performed in routine tests in accordance with IEC 60034-1 Section 9.Mandatory content of information:Date of testing; Signature of person responsible for test; Object identification (t,,equipment,technical information deliverables,"9.2, Table 16, Table 17",,,CFIHOS-70000245,inspection report,no,yes,yes,,,,,,,AFD,no,PDF
CFIHOS-68000238,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-26,Electrical hazardous area equipment certification,ex certification,"Attestation issued by a recognised notified body e.g. ATEX Directive, IECEx, EAC, certifying that a type test has satisfied specified criteria to enable that equipment to be used in a potentially explosive atmosphere.",,equipment,technical information deliverables,"11.3.3.1, 15.1.1, 15.1.2, 15.1.3, 15.1.4, 15.2.1, 15.2.2, 6.8.2",,,CFIHOS-70000160,hazardous area certificate,no,yes,yes,,,,,,WAO,AFD,yes,PDF
CFIHOS-68000239,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-29,Type test report,type test report,A document which provides a summary of tests of one or more machine made to a certain design to show that the design meets certain specifications. The report will include the specific year and edition of the IEC used to perform the type test for all discr,,equipment,technical information deliverables,"(8.1 para 1), (8.1 para 1a new), (8.1 para 2), 11.3.6.3, 9.12.1.1, 9.12.1.2, 9.12.1.3, 9.13.1, 9.13.2, Table 21",,,CFIHOS-70000245,inspection report,no,yes,yes,,,,,,,AFD,no,PDF
CFIHOS-68000240,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-30,Declaration of conformity,declaration of conformity,"Declares conformance with all standards relating to the machine in it's region of use, and its duty as defined by the purchaser in the data sheet.",,equipment,technical information deliverables,,,,CFIHOS-70000431,declaration of conformity,no,yes,yes,,,,,,WPTD,AFD,yes,PDF
CFIHOS-68000241,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-33,Routine test procedure,test procedure,"Procedure documenting the manufacturers recommended testing activities and acceptance criteria according to applicable standards, specifications and requirements, to document the condition of the equipment as tested from factory. Procedure to define test",,equipment,technical information deliverables,"9.2, Table 16, Table 17",,,CFIHOS-70000332,test procedure,no,yes,yes,,,,,,WPTT,AFD,yes,PDF
CFIHOS-68000242,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-35,"Installation, operation and maintenance manual","installation, operation and maintenance manual","The user of the product shall be provided with information regarding normal and safe operation/functioning. As appropriate, this should be completed by information regarding automatic and remote controlled products, exceptional functions/situations, indic",,equipment,technical information deliverables,,,,CFIHOS-70000228,operating manual,no,yes,yes,,,,,,WAO,AFD,yes,PDF
CFIHOS-68000243,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-37,Noise type test report,noise type test report,A type test report detailing noise performance in accordance with IEC 60034-9.,,equipment,technical information deliverables,"9.13.1, 9.13.2",,,CFIHOS-70000245,inspection report,no,yes,yes,,,,,,WPTD,AFD,yes,PDF
CFIHOS-68000244,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-39,Vibration test report,vibration level test report,Vibration level test report stating maximum vibration levels of machine as defined in IEC 60034-14,,equipment,technical information deliverables,"11.3.2.1, 11.3.2.2",,,CFIHOS-70000352,vibration report,no,yes,yes,,,,,,WPTD,AFD,yes,PDF
CFIHOS-68000245,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-4,Quality plan,quality plan,"Plan specifying the actions, responsibilities and associated resources to be applied by the [vendor], and when applicable [sub-vendors] or [manufacturers], to deliver the services or procured item(s) in conformance with the agreed requirements. ISO 9001",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000451,quality plan,no,yes,yes,,,,,,,AFD,no,PDF
CFIHOS-68000246,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-40,Converter-fed motors performance curves,motor performance curve,"Provide motor performance curves for quadrant operation specified in the datasheet and as per IEC 61800-2: 2015 Table 4, Section 4.3.3.2 and Figure 8.",,equipment,technical information deliverables,,,,CFIHOS-70000449,performance report,yes,yes,yes,,,,,,,AFD,yes,PDF
CFIHOS-68000247,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-41,Data for protection setting/power modelling,data for protection setting/power modelling,Additional information to facilitate power system modelling and/or protection device configuration. Final application specific information requirements to be agreed between purchaser and supplier.,,equipment,technical information deliverables,,,,CFIHOS-70000388,system study,no,yes,yes,,,,,,WAO,AFD,yes,PDF
CFIHOS-68000248,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-42,Equivalent circuit diagram,equivalent circuit diagram,A function diagram providing information on the electric and magnetic behaviour of the motor. This shall apply the conventions for electric and magnetic circuits as specified in IEC 60375. See IEC TS 60034-25 Table 3 for electrical parameters to be includ,,equipment,technical information deliverables,,,,CFIHOS-70000268,wiring diagram,no,yes,yes,,,,,,WAO,AFD,yes,PDF
CFIHOS-68000249,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-6,Inspection and test plan,inspection and test plan (itp),"Tabular presentation of a quality plan typically used for process or product applications to define the specific sequence of operational activities, instructions, acceptance criteria records and associated [vendor], [purchaser] and independent conformity",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000180,inspection and test plan,no,yes,yes,,,,,,,AFD,no,PDF
CFIHOS-68000250,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-7,"Handling, shipping, storage and preservation procedure","handling, shipping and storage procedure","Definition of practices to be followed during the; storage, transport, lifting and preservation of the equipment and materials included in the scope of supply to maintain their functionality and guarantees.Procedures typically define:a. packaging requir",,equipment,contract management information deliverables,Contract Requirement : 6.6,,,CFIHOS-70000154,"handling, shipping, storage procedure",no,yes,yes,,,,,,WPTD,AFD,yes,PDF
CFIHOS-68000251,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-8,Non-conformance records,nonconformance history,Details of non-conformances raised by or to the [vendor/sub-vendors] against technical requirements prior to or during the delivery of the products or services. Non-conformance is managed by the [vendor] in accordance with ISO 9001 Clause 8.7 and associat,,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000226,non conformance report,no,no,yes,,WAO,,WAO,,,AFD,no,PDF
CFIHOS-68000252,CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020,S703-IR-9,Concession requests,concession request,"Formal submission seeking [purchaser] agreement to accept deviations from the contracted scope or technical requirements. Requests may be raised as a result of, as examples, material or service availability, obsolescence, innovation, non-conformance.Requ",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000389,technical deviation request,no,no,yes,,WAO,,WAO,,,AFC,yes,PDF
CFIHOS-68000253,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-1,Supplier master information schedule,information deliverables list,Schedule of specific information deliverables developed by the [Vendor] and accepted by the [Purchaser] to meet the information requirements defined in the agreed Information Requirements Specification (IRS).The schedule typically defines;a. information,,equipment,contract management information deliverables,"API 671, 13.1.1",,,CFIHOS-70000099,master document register,no,no,yes,,WAO,,WAO,,,AFD,no,native
CFIHOS-68000254,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-19,General arrangement drawing fire fighting skid (FFS),general arrangement diagram,"A drawing showing overall dimensions, critical interface dimensions, part references and weight of assemblies, equipment and components. The drawing shall contain reference to main specifications and standards For equipment / components the drawing may in",May include bill of materials,equipment,technical information deliverables,"12.4.3, 12.4.4, 12.4.5, 12.5.4.5, 12.5.4.6, 12.5.4.7, 12.5.5.1, 12.5.5.2, 12.5.5.4, 12.5.5.5, 13.4.1, 13.4.2, 13.4.4, 14.2.4.1.8, 14.2.4.1.9, 16.1.10, 16.2.11.4, 16.2.11.5, 16.2.13.1, 16.2.13.2, 16.2.2, 16.3.5.7.3, 16.3.7, 16.3.8, 16.4, 17.16, 17.18, 17.7",,,CFIHOS-70000153,general arrangement diagram,no,no,no,,,,,,,AFC,no,PDF
CFIHOS-68000255,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-2,Delivery schedule,delivery/production schedule,"Schedule depicting, as applicable to the service or product scope, design, supply, manufacture, inspection, testing and delivery activities to be executed by [vendor/sub-vendors].Schedule details typically** include;a) Contractual milestonesb) Activity",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000298,procurement schedule,yes,yes,yes,,,,,,WAO,AFD,no,PDF
CFIHOS-68000256,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-20,Detailed drawing,detailed drawing,"Drawing showing parts of a construction or a component, generally enlarged, and including specific information about the form and construction or about the assembly and joints Also supports other documents where a cross-sectional view or part list is ne","Typically supplied for primary components such as nozzle, but as propriety information this will be supplier dependent.",equipment,technical information deliverables,"ISO 10209 : 12.5.1.4.1, 12.5.1.4.2, 12.5.4.5, 13.1.5, 13.4.1, 13.4.2, 13.4.4, 16.2.1, 16.2.2, 16.3.5.7.2, 17.18, 17.2.4, 6.3.4.4, 6.6.3, 6.6.4, 6.6.5, 6.6.7.1, 6.6.7.2, 6.8.3, 6.8.6, 6.8.7, 7.6, 8.3.3, 8.5.5.1",,,CFIHOS-70000116,equipment cross section diagram,no,yes,yes,,,,,,WAO,AFD,no,PDF
CFIHOS-68000257,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-21,Fire test certificate / approval report,fire test certificate,"Fire test certificate / approval report that forms part of the listing, or the fire scenario engineered solution.",To give evidence that the solution is fit for purpose. By a listed product (certificate and / or a approval report) or by fire scenario engineered solution.,equipment,technical information deliverables,"11.1.4, 11.2.3, 11.2.4, 11.4.1.3.1, 11.4.1.3.2, 11.4.2.1 , 11.4.2.2, 11.4.2.3, 11.4.3.1, 12.3.1, 12.5.1.2, 12.5.1.7, 12.6.5, 12.6.8.1, 13.1.1, 13.1.2, 13.1.5, 16.1.2.1, 16.1.2.2, 16.1.3.1, 16.1.4, 16.3.2, 16.3.2.1 , 16.3.2.2, 16.3.2.3, 16.3.5.4.2, 16.3.5.",,,CFIHOS-70000160,hazardous area certificate,no,yes,yes,,,,,,WAO,AFD,no,PDF
CFIHOS-68000258,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-22,General arrangement drawing fire fighting nozzles and piping,general arrangement diagram,"A drawing showing overall dimensions, critical interface dimensions, part references of nozzles and distribution pipework. The drawing shall contain reference to main specifications and standards. For equipment / components the drawing may include cross s",May include bill of materials,equipment,technical information deliverables,"12.5.1.4.1, 12.5.1.5.2, 12.5.1.5.3, 13.1.1, 13.1.2, 13.1.3, 13.1.4, 13.1.5, 13.1.6, 13.4.1, 13.4.2, 14.2.4.1.1, 14.2.4.1.2, 14.2.4.1.3, 14.2.4.1.4, 14.2.4.1.5, 14.2.4.1.6, 14.2.4.1.7, 16.1.12.2, 16.1.12.3, 16.1.12.4.1, 16.1.3.2, 16.1.5, 16.2.1, 16.2.11.1,",,,CFIHOS-70000153,general arrangement diagram,no,no,yes,,WAO,,WAO,,,AFC,no,PDF
CFIHOS-68000259,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-23,Bill of materials,bill of materials,"A detail and cross sectional drawing with parts list to facilitate dismantling, repair and assembly of parts and components shall be included. Relevant for assemblies and smaller components within assemblies. A view or drawing that shows what the inside o",May be included with the general arrangement or detailed drawings.,equipment,technical information deliverables,"13.1.5, 13.4.1, 13.4.2, 16.3.5.7.2, 17.18, 17.2.4.2, 17.2.4.3, 6.2.2.5, 6.2.2.8.1, 6.4.1.1",,,CFIHOS-70000028,bill of materials,no,yes,yes,,,,,,WAO,AFC,no,PDF
CFIHOS-68000260,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-25,Commissioning / SAT procedure,commissioning instruction,Procedure providing information on the commissioning of the product. Instructions for commissioning are provided especially for large and highly complex products and for large industrial installations. The purpose of such instructions is to provide the us,,equipment,technical information deliverables,"NFPA750 Figure A14.1.4 : 12.1.2, 12.4.5, 12.5.2.4.1, 12.5.4.2, 12.5.4.3, 12.5.4.4, 12.6.2.1, 12.6.2.2, 14.1.1, 14.1.2, 14.1.3, 14.1.4, 14.1.5, 14.1.6, 14.2.1.1.1, 14.2.1.1.2, 14.2.1.1.3, 14.2.1.2.1, 14.2.1.2.2, 14.2.1.2.3, 14.2.2.1.1, 14.2.2.1.2, 14.2.2.1",,,CFIHOS-70000366,work instruction,no,no,yes,,WAT,,WAT,,,AFD,no,PDF
CFIHOS-68000261,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-26,Installation manual,installation manual,A document or a set of documents outlining the premise and intent for decisions that are to be followed regarding the installation of the system. These shall provide information to allow the user or a third party to verify that the system has been install,"This may be one document , or a set of documents and may be combined in one overall document known as the DIOM (design, installation, operation and maintenance) manual. May also be known as the Technical File. May be supplied in both PDF and hard copy for",equipment,technical information deliverables,"10.1.2.1.1, 10.1.2.2.1, 10.1.2.3, 10.1.2.4, 10.2, 10.3.1.9.1, 10.3.1.9.2, 10.3.2.3, 10.3.2.5.6, 10.3.2.8.1.4, 12.1.2, 12.1.3, 12.2, 12.4.3, 12.4.4, 12.5.1.5.3, 12.5.3.1, 12.5.3.2, 12.5.4.4, 12.6.2.1, 12.6.2.2, 12.6.6, 12.6.8.2, 13.1.1, 13.1.2, 13.1.5, 13.",,,CFIHOS-70000181,installation manual,no,no,yes,,WAO,,WAO,,,AFC,no,PDF
CFIHOS-68000262,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-27,Maintenance manual,maintenance manual,A document or a set of documents outlining the description of methods of maintaining a specific piece of equipment. These shall provide information to allow the user or a third party to verify that the system can be maintained properly.,"This may be one document , or a set of documents and may be combined in one overall document known as the DIOM (design, installation, operation and maintenance) manual. May also be known as the Technical File or Technical Manual. May be supplied in both P",equipment,technical information deliverables,"10.2, 12.5.1.5.4, 12.5.1.7, 12.5.2.3, 12.5.4.1, 12.5.4.2, 13.4.1, 13.4.2, 13.4.3.1, 13.4.3.3, 16.3.8, 16.4, 17.1.4.2, 17.1.4.3, 17.18, 17.2.2, 17.2.3, 17.2.4, 17.2.6, 17.3.1, 17.5.1, 17.5.2, 17.7.4, 17.8.1, 6.8.5, 8.5.5.3.2, 8.6.5, 9.2.6.2, 9.2.6.3",,,CFIHOS-70000206,maintenance manual,no,no,yes,,WAO,,WAO,,,AFC,no,PDF
