CFIHOS unique code,CFIHOS name,CFIHOS description,CFIHOS definition file
CFIHOS-30000636,check valve,A valve that permits fluid to flow in one direction only.,tag or equipment class
CFIHOS-30000637,compensator,A device compensating for axial or radial movement between two elements that is connected.,tag or equipment class
CFIHOS-30000638,control valve,"A valve that can be used to modify (regulate) the fluid flow rate in a process control system. It usually includes an actuator, which responds to a signal from the controlling system and changes the position of the flow controlling element in the valve.",tag or equipment class
CFIHOS-30000639,deluge valve,"A control valve that is intended to operate at high temperature, and admit water into a deluge system.",tag or equipment class
CFIHOS-30000640,detector,"A physical object that is an assembly of a sensing element and necessary ancillary devices making it able of detecting a state, e.g. pressure, temperature, or detect the presence of a selected substance, and produce a signal based on the detection.",tag or equipment class
CFIHOS-30000641,electronic circuit board,"A physical object that comprises a printed circuit board with electronic components intended for receive, process/transform and transmit electrical signals.",tag or equipment class
CFIHOS-30000642,emergency shut down valve,A valve that is assigned to act in case of emergency.,tag or equipment class
CFIHOS-30000643,flow transmitter,A flow transmitter providing an output signal that is proportional to the flow inputs from a flow element.,tag or equipment class
CFIHOS-30000644,galley equipment,An 'equipment class' that is a class of devices whose members normally is a part of the outfitting of a galley.,tag or equipment class
CFIHOS-30000645,hose connector,A connector intended for hose connection.,tag or equipment class
CFIHOS-30000646,level transmitter,A transmitter that produces a continuous standardized output signal dependent of a received input signal from a level sensor.,tag or equipment class
CFIHOS-30000647,local area network,A data communication system intended for communication between parties in a restricted area.,tag or equipment class
CFIHOS-30000648,manhole,"An access point that is of sufficient size to allow a person to safely enter a vessel, space, chamber or drain.",tag or equipment class
CFIHOS-30000649,manual valve,A valve that is regulated with hand power.,tag or equipment class
CFIHOS-30000650,non-return damper,A gas flow damper that prevents back flow in a duct.,tag or equipment class
CFIHOS-30000652,physical access control equipment,"Physical access control equipment and/or systems intended to regulate or control entry into and/or exit from a controlled area, protected area or a restricted area.",tag or equipment class
CFIHOS-30000653,pressure relief device,A fluid regulator that relieves pressure from an enclosed space when the pressure reaches a predetermined value.,tag or equipment class
CFIHOS-30000654,pressure transmitter,A transmitter that is producing a standardized output signal dependent of a received input signal from a pressure element.,tag or equipment class
CFIHOS-30000655,process nozzle,A nozzle intended to enable transfer of process material.,tag or equipment class
CFIHOS-30000656,riser support,A support connecting a riser to a structure.,tag or equipment class
CFIHOS-30000657,spray nozzle,A nozzle where liquid is introduced under pressure.,tag or equipment class
CFIHOS-30000658,telecom gateway,"In a communications network, a network node equipped for interfacing with another network that uses different protocols.",tag or equipment class
CFIHOS-30000659,termination panel,An 'artefact' intended for the termination of cables.,tag or equipment class
CFIHOS-30000660,valve,"A fluid regulator that can be used to control (i.e. permit, obstruct, regulate or divert) a fluid stream.",tag or equipment class
CFIHOS-30000661,transmitter,A physical object that is an element that receives a process variable signal from a sensor and converts it into an output signal.,tag or equipment class
CFIHOS-30000662,flow totalizer,A totalizer that adds up flow measurements.,tag or equipment class
CFIHOS-30000663,signal converter,An electric signal transducer that is intended to convert one type of standardized transmission signal into another.,tag or equipment class
CFIHOS-30000664,orifice plate,A physical object that is a thin plate with a specified hole in the middle. It is usually placed in a pipe to measure the rate of fluid flow.,tag or equipment class
CFIHOS-30000665,detecting element,A physical object that is the primary element of a measuring chain which converts the input variable into a signal suitable for measurement.,tag or equipment class
CFIHOS-30000666,controller,A regulator that operates automatically to affect a controlled variable by comparing the value of the controlled variable with the value of a reference variable in order to reduce the difference between them.,tag or equipment class
CFIHOS-30000667,drilling equipment,Equipment intended to enable the drilling of holes. Typically in the earth for oil and/or gas production.,tag or equipment class
CFIHOS-30000668,bell nipple,"A Bell nipple is a section of large diameter pipe fitted to the top of the blowout preventers that the flow line attaches to via a side outlet, to allow the drilling fluid to flow back over the shale shakers to the mud tanks. Also an enlarged pipe at the top of a casing string that serves as a funnel to guide drilling tools into the top of a well.",tag or equipment class
CFIHOS-30000669,drilling standpipe,"A rigid metal conduit that provides the high-pressure pathway for drilling mud to travel approximately one-third of the way up the derrick, where it connects to a flexible high-pressure hose (kelly hose).",tag or equipment class
CFIHOS-30000670,pipe doping machine,A device that is designed for easy washing and dope application of drill pipe threads and collar threads.,tag or equipment class
CFIHOS-30000671,flow element,A detecting element that is producing a signal that is proportional to a flow rate.,tag or equipment class
CFIHOS-30000672,level element,A detecting element that is intended to determine a level.,tag or equipment class
CFIHOS-30000673,pressure element,A detecting element intended to sense pressure.,tag or equipment class
CFIHOS-30000674,temperature element,A detecting element intended to sense temperature.,tag or equipment class
CFIHOS-30000675,gauge,A detecting instrument that is used for measuring or testing.,tag or equipment class
CFIHOS-30000676,control switch,A switch intended to switch or give an on/off signal when the measured variable has reached a pre-set value.,tag or equipment class
CFIHOS-30000677,level switch,A functional switch that is intended to give an on/off signal when particulate material or fluid level have reached a pre-set value.,tag or equipment class
CFIHOS-30000678,position switch,"A pilot switch the actuating system of which is operated by a moving part of a machine, when this part reaches a predetermined position.",tag or equipment class
CFIHOS-30000679,subsea distribution unit,"An artefact where hydraulics, chemicals, electrical power and signals are distributed from the main umbilicals to different subsea systems.",tag or equipment class
CFIHOS-30000680,iron roughneck,"An integral part of the drilling process, iron roughnecks connect and disconnect drill pipe. Whether pipe is being fed into the wellbore or it is being taken out, the iron roughneck uses a rotary table and torque wrench(es) to make up or break down pipe.",tag or equipment class
CFIHOS-30000681,solenoid valve,A valve that has linear action which is fitted with a solenoid for quick operation.,tag or equipment class
CFIHOS-30000682,self operating valve,"A valve that includes a means of operation (e.g. spring / gravity / fluid pressure / counter balance), and is not depending on an external source of energy.",tag or equipment class
CFIHOS-30000683,engine,An internal combustion engine that is an induction compression ignition exhaust engine which ignites a fuel air mixture.,tag or equipment class
CFIHOS-30000684,motor,A device that generates rotational kinetic energy.,tag or equipment class
CFIHOS-30000685,turbine,A physical object that is intended to rotate within a fluid and to transform energy within a fluid into mechanical power.,tag or equipment class
CFIHOS-30000686,dust detector,"A 'detector' for measuring the velocity, mass, charge, flight direction, and number of dust particles in space.",tag or equipment class
CFIHOS-30000687,level gauge,A gauge that is intended to display a representation of a measured level.,tag or equipment class
CFIHOS-30000688,multiphase meter,A flow meter for the metering a mixture of two or more fluid phases.,tag or equipment class
CFIHOS-30000689,oil mist detector,A mist detector that is intended to detect oil mist.,tag or equipment class
CFIHOS-30000690,speed switch,A switch intended to give a on/off signal when the speed have reached a pre-set value.,tag or equipment class
CFIHOS-30000697,knock out drum,A drum intended to separate relatively small quantities of liquid from a vapour stream.,tag or equipment class
CFIHOS-30000698,separator,A 'device' intended to separate different types of substances.,tag or equipment class
CFIHOS-30000699,subsea equipment class,An 'equipment class' that is a class whose members are used in conjunction with subsea or subaquatic installations and/or operations.,tag or equipment class
CFIHOS-30000700,subsea infrastructure,Subsea equipment class that contains classes of artefacts which are infrastructure equipment.,tag or equipment class
CFIHOS-30000701,subsea instrument equipment,Subsea or subaquatic equipment class that contains classes of artefacts which are instrumentation equipment.,tag or equipment class
CFIHOS-30000702,subsea intervention and installation tool,Device or remotely operated tool deployed by an intervention system to mate or interface with an intervention fixture.,tag or equipment class
CFIHOS-30000703,subsea mechanical equipment,Subsea or subaquatic equipment class that contains classes of artefacts which are mechanical equipment.,tag or equipment class
CFIHOS-30000704,subsea structure,Subsea infrastructure class that contains classes of artefacts which are structures.,tag or equipment class
CFIHOS-30000705,subsea tool,A device that is made as a tool to be used for a subsea or subaquatic purpose.,tag or equipment class
CFIHOS-30000706,chemical injection unit,"An injection system which provides service for injection of inhibitors etc. into the process. Serves as utility for make-up purposes of water, products and when required by process.",tag or equipment class
CFIHOS-30000707,flying lead,"Flying Leads are used to link connections between subsea structures such as manifolds, trees, Umbilical Termination Units and Subsea Distribution Units.",tag or equipment class
CFIHOS-30000708,jacket structure,A functional unit which is consisting of a bottom founded framework structure with three or more legs.,tag or equipment class
CFIHOS-30000709,mid-water arch,Structure used to support and restrain flexible risers.,tag or equipment class
CFIHOS-30000710,piping purge unit,A piping system that is situated within the frame and distributes purge gas inside the frame.,tag or equipment class
CFIHOS-30000711,sample vessel,"Container in which the sample is collected, stored, and transported to the analytical equipment.",tag or equipment class
CFIHOS-30000712,subsea bore protector,A wear bushing that is run into and set in the wellhead or christmas tree to protect the inside wall against wear from the drill bit and drill pipe during drilling operations.,tag or equipment class
CFIHOS-30000713,subsea distributed temperature sensing fiber optic pod,A 'fibre optic pod' for use in a Distributed Temperature Sensing (DTS) system.,tag or equipment class
CFIHOS-30000714,subsea flexible flowline,"Flexible pipe, wholly or in part, resting on the seafloor or buried below the seafloor, and used in a static application.",tag or equipment class
CFIHOS-30000715,subsea hanger recovery,Tools or devices that enable the installation and/or retrieval of a subsea casing hanger.,tag or equipment class
CFIHOS-30000716,subsea hang-off and pull assembly,Assembly used to attach umbilicals to host structure.,tag or equipment class
CFIHOS-30000717,subsea installation workover control,"System that controls and monitors the deployment, the operation and the retrieval of subsea production equipment and is used during installation, workover, and intervention of a single subsea tree from a moored or dynamically positioned deepwater mobile offshore drilling unit (MODU) or multi-service vessel (MSV).",tag or equipment class
CFIHOS-30000718,subsea jumper,An artefact for connecting a well or a manifold to a subsea flowline.,tag or equipment class
CFIHOS-30000719,subsea manifold support frame,A frame that is a structural framework to provide strength and protection for a subsea manifold.,tag or equipment class
CFIHOS-30000720,subsea mudmat,A device intended to prevent excessive jacket penetration into the soil.,tag or equipment class
CFIHOS-30000721,subsea pipeline crossing support,A pipeline crossing which is subsea and located above or below a specific object or geographic feature.,tag or equipment class
CFIHOS-30000722,subsea protection structure,"The protection structure that covers the subsea equipment (template, manifold, trees, etc. ) to protect the equipment from third party damages as e.g. dropped objects, anchors or trawl equipment.",tag or equipment class
CFIHOS-30000723,subsea remote operated tool,"Dedicated, unmanned, subsea or subaquatic tools used for installation and inspection, maintenance, and repair (IMR) tasks that require a handling capacity beyond that of free-swimming ROV systems.",tag or equipment class
CFIHOS-30000724,subsea remotely operated vehicle,A submarine or subaquatic ROV which is a nearly neutral buoyancy submarine that is manipulated from a surface platform by an umbilical.,tag or equipment class
CFIHOS-30000725,subsea umbilical,An umbilical for subsea or subaquatic use between a surface platform and subaquatic equipment or installation.,tag or equipment class
CFIHOS-30000726,umbilical termination assembly,"A termination head for a umbilical, having means for aligning fluid, electrical and optical lines to a mating assembly.",tag or equipment class
CFIHOS-30000727,electrical isolator,An isolator that isolates electrical conductors.,tag or equipment class
CFIHOS-30000728,protection relay,"A measuring relay that, either solely or in combination with other relays, is a constituent of a protection equipment.",tag or equipment class
CFIHOS-30000729,ring main unit,"A physical object that is a totally sealed, gas-insulated compact switchgear unit. The primary switching devices can be either switch disconnectors or fused switch disconnectors or circuit breakers.",tag or equipment class
CFIHOS-30000730,cathodic protection system,A corrosion protection system using sacrificial anodes or impressed current anodes offering material and giving protection to carbon and low-alloy steel equipment or structures.,tag or equipment class
CFIHOS-30000731,automatic switching equipment,A physical object that is automatic and designed to initiate the operation of circuit-breakers and/or disconnectors in a substation according to a specific programme.,tag or equipment class
CFIHOS-30000732,surge protection,A physical object that is protecting against a large but momentary increase in the voltage of an electric circuit.,tag or equipment class
CFIHOS-30000733,capacitor,A physical object that stores electricity during part of an operation.,tag or equipment class
CFIHOS-30000734,electrical connector,A connector for holding two parts of a conductor in intimate contact.,tag or equipment class
CFIHOS-30000735,electrical distribution unit,An electrical conductor that has several power distribution points.,tag or equipment class
CFIHOS-30000736,subsea control module,A control module that is used to control a subsea production system.,tag or equipment class
CFIHOS-30000737,subsea guide base,A subsea fixed structure supporting a wellhead.,tag or equipment class
CFIHOS-30000738,motor operated valve,An operated valve that is opened and closed with a motor.,tag or equipment class
CFIHOS-30000739,shear ram,"A shear valve is a ram-type BOP, similar in operation to a gate valve, but uses a pair of opposing steel plungers, rams. The rams extend toward the centre of the wellbore to restrict flow or retract open in order to permit flow.",tag or equipment class
CFIHOS-30000740,solar panel,A panel and a photovoltaic module whose main parts are solar cells.,tag or equipment class
CFIHOS-30000741,cold storage unit,"An artefact and a cooling appliance comprising a thermally insulated compartment and a heat pump-chemical or mechanical means-to transfer heat from it to the external environment, cooling the contents to a temperature below ambient.",tag or equipment class
CFIHOS-30000742,calorimeter,Intended to measure quantities of absorbed or evolved heat or to determine specific heats.,tag or equipment class
CFIHOS-30000743,frequency generator,A device that generates an electrical signal of a specified frequency.,tag or equipment class
CFIHOS-30000744,siren,An acoustic device producing a loud sound as a signal or warning.,tag or equipment class
CFIHOS-30000745,current transformer,"An instrument transformer in which the secondary current, in normal conditions of use, is substantially proportional to the primary current and differs in phase from it by an angle which is approximately zero for an appropriate direction of the connections.",tag or equipment class
CFIHOS-30000746,voltage transformer,"An instrument transformer in which the secondary voltage, in normal conditions of use, is substantially proportional to the primary voltage and differs in phase from it by an angle which is approximately zero for an appropriate direction of the connections.",tag or equipment class
CFIHOS-30000747,alarm unit,A physical object that is intended to process and annunciate alarms.,tag or equipment class
CFIHOS-30000748,flow computer,A computer that is specially designed and programme to calculate flow and to correct for external influence.,tag or equipment class
CFIHOS-30000749,sight glass,A physical object that is transparent and intended for viewing a vessel or piping system interior.,tag or equipment class
CFIHOS-30000750,rotational speed element,A detecting element that is intended to sense rotational speed.,tag or equipment class
CFIHOS-30000751,corrosion transmitter,A transmitter that is producing a standardized output signal dependent of a received input signal from a corrosion sensor.,tag or equipment class
CFIHOS-30000752,plate heat exchanger,A heat exchanger using plates as the device for separating the two fluids and across which the energy is transferred.,tag or equipment class
CFIHOS-30000754,printed circuit heat exchanger,A non-corrugated plate heat exchanger that has flat plates with chemically etched flow passages which are diffusion bonded together into blocks.,tag or equipment class
CFIHOS-30000755,shell and tube heat exchanger,A tubular heat exchanger in which a tube bundle is surrounded by a shell.,tag or equipment class
CFIHOS-30000756,kettle reboiler,"A reboiler often boils liquid coming from the bottom of a distillation column, after which the resulting vapour is returned to the distillation column.",tag or equipment class
CFIHOS-30000757,pneumatic cylinder,A cylinder where the piston is actuated by compressed air.,tag or equipment class
CFIHOS-30000758,process reactor,A vessel intended to enable a chemical reaction process.,tag or equipment class
CFIHOS-30000759,hopper,A vessel with a conical shape for filling or dosing purposes.,tag or equipment class
CFIHOS-30000800,absorber column,A column in which a gas mixture is contacted with a liquid for the purpose of preferentially dissolving one or more components of the gas mixture and to provide a solution of them in the liquid.,tag or equipment class
CFIHOS-30000801,adaptor connector,An electrical connector that is a fixed or free component that permits electrical connection(s) between two or more connectors where direct connection is mechanically impossible.,tag or equipment class
CFIHOS-30000802,adsorber column,A physical fluid separator that is based on the principle of attraction exhibited by the surface of a solid for a liquid or a gas when they are in contact.,tag or equipment class
CFIHOS-30000803,air circuit-breaker,A circuit-breaker in which the contacts open and close in air at atmospheric pressure.,tag or equipment class
CFIHOS-30000804,alternating current generator,An electric generator for the production of alternating current and voltage.,tag or equipment class
CFIHOS-30000805,alternating current motor,An electric motor driven by alternating electric current.,tag or equipment class
CFIHOS-30000806,ball control valve,A ball valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,tag or equipment class
CFIHOS-30000807,ball valve,A rotary valve that has a ball closure member.,tag or equipment class
CFIHOS-30000808,block and bleed valve,"A valve that has one seat which provides a seal, and a bleeder line and valve that are tapped into the block valve's bonnet.",tag or equipment class
CFIHOS-30000809,butterfly control valve,A butterfly valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,tag or equipment class
CFIHOS-30000810,butterfly valve,"A rotary valve that has a closure member of a disc type with a shaft parallel, or near parallel, to the plane of the disc, with an axis of rotation transverse to the flow direction.",tag or equipment class
CFIHOS-30000811,choke control valve,A choke valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,tag or equipment class
CFIHOS-30000812,choke valve,"A valve that can be used to obstruct the fluid passing inside, and has the ability to reduce the pressure from the inlet port to the outlet port.",tag or equipment class
CFIHOS-30000813,chromatograph,An analysing instrument that applies the principle of chromatography to analyse the molecular composition of a substance.,tag or equipment class
CFIHOS-30000814,contactor column,A pressure vessel with internal packing intended to effect the main stream by introducing counter flow of a regenerative liquid or gas. Dehydration of gas by use of glycol is a typical application.,tag or equipment class
CFIHOS-30000815,conventional relief valve,A pressure relief valve that has its closing force provided by a spring.,tag or equipment class
CFIHOS-30000817,diaphragm control valve,A diaphragm valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,tag or equipment class
CFIHOS-30000818,diaphragm valve,A membrane valve that is a membrane valve where the closure member is a resilient diaphragm being forced against a port.,tag or equipment class
CFIHOS-30000819,direct current generator,An electric generator for the production of direct current and voltage.,tag or equipment class
CFIHOS-30000820,direct current motor,An electric motor for operation by direct current.,tag or equipment class
CFIHOS-30000821,distillation column,A process column intended to enable a distillation process.,tag or equipment class
CFIHOS-30000822,double block and bleed valve,"A block and bleed valve that is incorporating two seats, each of which provides a seal, and a means of venting the space between the seats. The seats may isolate with the pressure differential acting in the same or in opposite directions depending on the design.",tag or equipment class
CFIHOS-30000823,dry transformer,A power transformer of which the magnetic circuit and windings are not immersed in an insulating liquid.,tag or equipment class
CFIHOS-30000824,eccentric rotating disc control valve,"A control valve that uses a rotating disc as closing element, and with a design that causes the disc to take a slightly eccentric path during actuation.",tag or equipment class
CFIHOS-30000825,eccentric rotating disc valve,A valve that has a closing member which is an eccentric rotating disc.,tag or equipment class
CFIHOS-30000826,electric piping purge unit,An electrically controlled piping system that is situated within the frame and distributes purge gas inside the frame.,tag or equipment class
CFIHOS-30000827,finned tube heat exchanger,A heat exchanger that has finned tubes.,tag or equipment class
CFIHOS-30000828,flexible riser,A flexible vertical or near vertical pipe for the flow of liquid or gas between the seabed and the surface.,tag or equipment class
CFIHOS-30000829,flow meter,A detecting instrument intended to measure and indicate flow rate and/or produce a signal which represents the measured flow rate.,tag or equipment class
CFIHOS-30000830,flying chemical lead,ROV or diver-mateable flexible leads between subsea equipment items for chemical services.,tag or equipment class
CFIHOS-30000831,flying electrical lead,ROV or diver-mateable flexible leads between subsea equipment items for electrical services.,tag or equipment class
CFIHOS-30000832,flying hydraulic lead,ROV or diver-mateable flexible leads between subsea equipment items for hydraulic services.,tag or equipment class
CFIHOS-30000833,flying optical lead,ROV or diver-mateable flexible leads between subsea equipment items for optical services.,tag or equipment class
CFIHOS-30000834,gas chromatograph,A chromatograph where gas is injected directly into one or more separation columns.,tag or equipment class
CFIHOS-30000835,gas liquid chromatograph,A chromatograph where a liquid sample is injected and evaporated and subsequently carried to one or more separation columns.,tag or equipment class
CFIHOS-30000836,gas-blast circuit-breaker,A circuit-breaker in which the arc develops in a blast of gas.,tag or equipment class
CFIHOS-30000837,gate control valve,A control valve that is a gate valve and an actuated valve.,tag or equipment class
CFIHOS-30000838,gate valve,"A valve that is a valve where the closure member is a gate or disc with a linear motion parallel, or nearly parallel, to the plane of flat seats, which are transverse to the direction of flow.",tag or equipment class
CFIHOS-30000839,globe control valve,A control valve that is a globe valve and an actuated valve.,tag or equipment class
CFIHOS-30000840,globe valve,A valve that is a valve where the closure member is a disc or piston operating with linear motion normal to the flat or shaped seat.,tag or equipment class
CFIHOS-30000841,gravity separator,A separator that is based on the difference in specific gravity for the substances to be separated.,tag or equipment class
CFIHOS-30000842,hydraulic piping purge unit,A hydraulically controlled piping system that is situated within the frame and distributes purge gas inside the frame.,tag or equipment class
CFIHOS-30000843,hydraulic turbine,A turbine in which liquid forces are driving the rotor by the reaction of acceleration of subject liquid flow in the runner while the pressure drops.,tag or equipment class
CFIHOS-30000844,linear polarization resistance element,A detecting element intended to measure corrosion using electrical conductivity.,tag or equipment class
CFIHOS-30000847,manual switch,A switch which is operated by a person.,tag or equipment class
CFIHOS-30000848,multiple orifice on-off valve,A valve not designed to regulate flow (e.g. on/off). A valve with multiple orifices or flow-restriction device to control fluid flow. Includes an actuator that needs auxiliary power to operate.,tag or equipment class
CFIHOS-30000849,multiport on-off valve,A valve not designed to regulate flow (e.g. on/off). A multi port valve which has the possibility of multiple distinct paths for flow through it. Includes an actuator that needs auxiliary power to operate.,tag or equipment class
CFIHOS-30000850,multiport valve,A valve that has three or more ports arranged to switch flow.,tag or equipment class
CFIHOS-30000851,needle control valve,A needle valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,tag or equipment class
CFIHOS-30000852,needle valve,A globe valve that has a closure member with the shape of a conical plug (needle) which closes into a small seat.,tag or equipment class
CFIHOS-30000853,nucleonic level transmitter,A level transmitter that is producing a standardized electrical output signal based on the input signal from a nucleonic level detector.,tag or equipment class
CFIHOS-30000854,oil circuit-breaker,A circuit-breaker in which the contacts open and close in oil.,tag or equipment class
CFIHOS-30000855,oxidation reduction potential element,An element designed to measure an oxidation reduction potential (ORP).,tag or equipment class
CFIHOS-30000856,pilot operated relief valve,A pressure relief valve that uses a pilot valve to indirectly activate the main valve.,tag or equipment class
CFIHOS-30000857,piston check valve,A lift check valve that has a free gravity or spring loaded piston type closure member.,tag or equipment class
CFIHOS-30000858,pitot tube flow meter,A differential pressure flow meter utilizing a pitot tube (a probe with an open tip) that is inserted into the flow field.,tag or equipment class
CFIHOS-30000859,plug control valve,A control valve that is also a plug valve and an actuated valve.,tag or equipment class
CFIHOS-30000860,plug valve,A rotary valve that has a quarter turn action in which the closure member is a cylindrical or tapered plug which operates by rotating on its axis and sealing against a downstream seat.,tag or equipment class
CFIHOS-30000861,pressure-vacuum relief valve,A pressure relief valve that is intended to release excess pressure or admit pressure to prevent a vacuum forming when filling or emptying a pipeline or tank.,tag or equipment class
CFIHOS-30000862,reciprocating pump,"A positive displacement pump which contains a displacing element intended to be moved in a reciprocating movement to exert pressure on a fluid, typically moving within a cylindrical space.",tag or equipment class
CFIHOS-30000863,rigid riser,A rigid vertical or near vertical pipe for the flow of liquid or gas between the seabed and the surface.,tag or equipment class
CFIHOS-30000864,rotary pump,"A positive displacement pump that consists of a chamber containing gears, cams, screws, vanes, plungers or similar elements actuated by relative rotation of the drive shaft or casing and which has no separate inlet and outlet valves.",tag or equipment class
CFIHOS-30000865,slide control valve,A slide valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,tag or equipment class
CFIHOS-30000866,slide valve,A valve that opens and closes a passageway by sliding over a port.,tag or equipment class
CFIHOS-30000867,spiral heat exchanger,A container intended for storage and/or processing of fluids. Relates to Spiral Plate Heat Exchanger.,tag or equipment class
CFIHOS-30000868,stabilizer column,A column which transforms a material from an unstable state to a more stable state; for fluids typically by removing volatile components from a mixture.,tag or equipment class
CFIHOS-30000869,stripper column,A distillation column intended to remove light components from a fluid.,tag or equipment class
CFIHOS-30000870,submersible connector,An electrical connector capable of withstanding submersion to a specified depth.,tag or equipment class
CFIHOS-30000873,swing check valve,A check valve that is a check valve where the closure member is a disc which swings freely on a hinge and which opens automatically when flow is established and closes automatically when flow ceases or is reversed.,tag or equipment class
CFIHOS-30000874,vacuum circuit-breaker,A circuit-breaker in which the contacts open and close within a highly evacuated envelope.,tag or equipment class
CFIHOS-30000875,vacuum column,A distillation column intended to withstand outside pressure.,tag or equipment class
CFIHOS-30000876,wafer check valve,A wafer pattern valve that is a check valve with a wafer pattern valve body.,tag or equipment class
CFIHOS-30000877,wet transformer,A power transformer of which the magnetic circuit and windings are immersed in oil.,tag or equipment class
CFIHOS-30000878,acoustic enclosure,An enclosure that totally or partially surrounds an item in order to reduce its emitted noise.,tag or equipment class
CFIHOS-30000879,air trap,"A trap which, by a water seal, prevents foul air from rising from sinks, wash basins, drains, sewers etc.",tag or equipment class
CFIHOS-30000880,aircraft warning light,"A system or device mounted on radio masts, towers and other tall structures intended to assist navigators in determining their position or safe course, or to warn them of dangers or obstructions to navigation.",tag or equipment class
CFIHOS-30000881,barge,"A large flat-bottomed boat that is built for carrying goods and people on rivers and canals or in harbours, with or without sails, towed by a tug or horse. Also a similar boat with its own engine.",tag or equipment class
CFIHOS-30000882,constant volume regulator,A regulator ensuring constant volume in a HVAC system to reduce noise,tag or equipment class
CFIHOS-30000883,cooling coil,A pipe coil in which heat is transferred from the material or space cooled to the primary refrigerant.,tag or equipment class
CFIHOS-30000884,culvert,Structure to allow water or a pipeline to pass under a road/railway through a pipe or concrete tube. Typically if span greater than 12ft (3.7m) then structure is a bridge,tag or equipment class
CFIHOS-30000885,davit,"A physical object intended to carry the load of equipment that is regularly lifted or launched, like a life boat, or of equipment that regularly is removed for inspection or maintenance, such as covers, hatches, etc.",tag or equipment class
CFIHOS-30000886,descent device,A device that provides a safe and rapid method of descent in case of an emergency situation requiring evacuation.,tag or equipment class
CFIHOS-30000887,drain port,"A drain port is a collection port that can be installed in pressure sensing lines for transmitters, steam lines, etc. to be able to remove liquids from the system that otherwise would create problems for the instruments.",tag or equipment class
CFIHOS-30000888,drain pot,A 'liquid outlet port' that allows liquid to leave a container under gravity,tag or equipment class
CFIHOS-30000889,electrical control panel,A 'control panel' intended for electrical apparatus.,tag or equipment class
CFIHOS-30000890,emergency grab bag,A artefact that is a an assembly of items required in the case of an emergency contained in a bag or some other container.,tag or equipment class
CFIHOS-30000891,evaporator,A heat exchanger that is intended to evaporate moisture or solvents in order to obtain a concentrate.,tag or equipment class
CFIHOS-30000892,expansion device,"A pressure decrease device where the lower pressure is obtained by causing something to occupy or contain a larger space, or by acquiring greater volume.",tag or equipment class
CFIHOS-30000893,fitness equipment,An 'equipment class' that is a class of devices whose members can be used in a fitness centre.,tag or equipment class
CFIHOS-30000894,furnace,A physical object that is intended to induce a reaction in a process fluid by heating it.,tag or equipment class
CFIHOS-30000895,H2S detector,A personal H2S monitor is a device that detects the presence of hydrogen sulphide.,tag or equipment class
CFIHOS-30000896,heating coil,A fluid heater that is a coiled tube where heat is transferred from an internal heating medium to a surrounding substance.,tag or equipment class
CFIHOS-30000897,intrinsically safe barrier,A current limiter that limits the power (energy) which can be delivered from a safe area into a hazardous area.,tag or equipment class
CFIHOS-30000898,lagoon,A lagoon or aerated basin is a holding and/or treatment pond provided with artificial aeration to promote the biological oxidation of wastewaters.,tag or equipment class
CFIHOS-30000899,life jacket,A lifejacket is a type of personal flotation device designed to keep a persons airway clear of the water whether the wearer is conscious or unconscious.,tag or equipment class
CFIHOS-30000900,line throwing appliance,An artefact that is intended to pass a line accurately and quickly.,tag or equipment class
CFIHOS-30000901,manway,A place which is a passage or a way of exit or entrance.,tag or equipment class
CFIHOS-30000902,marine vessel,A vessel larger than a boat for transporting people or goods by sea,tag or equipment class
CFIHOS-30000903,meteorological equipment,An 'equipment class' that is a class of devices engaged in meteorological observations.,tag or equipment class
CFIHOS-30000904,metering station,"A device that is capable of three-phase metering of liquid, oil and gas.",tag or equipment class
CFIHOS-30000905,modulating damper,A gas flow damper that is able to stay in any position between fully open and fully closed.,tag or equipment class
CFIHOS-30000907,outfall,"An outfall is the discharge point of a waste stream into a body of water; alternatively it may be the outlet of a river, drain or a sewer where it discharges into the sea, a lake or the like.",tag or equipment class
CFIHOS-30000908,pedestal,A support-item that is the base or foot of a column or other upright structure.,tag or equipment class
CFIHOS-30000909,protective suit,"A survival suit (or more specifically an immersion survival suit), is a special type of waterproof dry suit that protects the wearer from hypothermia from immersion in cold water, after abandoning a sinking or capsized vessel, especially in the open ocean",tag or equipment class
CFIHOS-30000910,radiation detector,A personal radiation monitor is a device that detects the presence of any radiation sources.,tag or equipment class
CFIHOS-30000911,recuperator heat exchanger,"A recuperator is a special purpose counter-flow energy recovery heat exchanger positioned within the supply and exhaust air streams of an air handling system, or in the exhaust gases of an industrial process, in order to recover the waste heat.",tag or equipment class
CFIHOS-30000912,remote-operated control unit,A process control unit that can be operated in remote.,tag or equipment class
CFIHOS-30000913,road compactor,"A machine used to compact soil, gravel, concrete, or asphalt in the construction of roads and foundations",tag or equipment class
