property group allowed for purpose CFIHOS unique code,property grouping or decomposition purpose CFIHOS unique code,property grouping purpose code,property grouping purpose description,source standard CFIHOS unique code,source standard code,property group CFIHOS unique code,property group code,property group description,property to group assignment CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,property sequence number,,,,,,,
CFIHOS-42000446,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000190,S704-FLD-335,Auxiliary terminal box(es),CFIHOS-44000278,CFIHOS-30000805,alternating current motor,CFIHOS-40000889,number of junction box cable gland entries,,,,,,,,
CFIHOS-42000470,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000214,S704-FLD-365,Line conductor terminal box,CFIHOS-44000279,CFIHOS-30000805,alternating current motor,CFIHOS-40000889,number of junction box cable gland entries,,,,,,,,
CFIHOS-42000473,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000217,S704-FLD-368,Auxiliary terminal box(es),CFIHOS-44000280,CFIHOS-30000805,alternating current motor,CFIHOS-40000889,number of junction box cable gland entries,,,,,,,,
CFIHOS-42000497,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000244,S733-FLD-93,Main terminal box,CFIHOS-44000281,CFIHOS-30000805,alternating current motor,CFIHOS-40000889,number of junction box cable gland entries,,,,,,,,
CFIHOS-42000388,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000132,S703-FLD-329,Duty,CFIHOS-44000282,CFIHOS-30000805,alternating current motor,CFIHOS-40001314,number of magnetic poles,,,,,,,,
CFIHOS-42000410,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000154,S703-FLD-352,Duty,CFIHOS-44000283,CFIHOS-30000805,alternating current motor,CFIHOS-40001314,number of magnetic poles,,,,,,,,
CFIHOS-42000432,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000176,S704-FLD-318,General,CFIHOS-44000284,CFIHOS-30000805,alternating current motor,CFIHOS-40001314,number of magnetic poles,,,,,,,,
CFIHOS-42000459,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000203,S704-FLD-351,General,CFIHOS-44000285,CFIHOS-30000805,alternating current motor,CFIHOS-40001314,number of magnetic poles,,,,,,,,
CFIHOS-42000488,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000235,S733-FLD-81,General,CFIHOS-44000286,CFIHOS-30000805,alternating current motor,CFIHOS-40001314,number of magnetic poles,,,,,,,,
CFIHOS-42000449,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000193,S704-FLD-338,Sleeve bearings,CFIHOS-44000287,CFIHOS-30000805,alternating current motor,CFIHOS-40000904,oil quantity for self-lubricated sleeve bearings,,,,,,,,
CFIHOS-42000476,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000220,S704-FLD-371,Sleeve bearings,CFIHOS-44000288,CFIHOS-30000805,alternating current motor,CFIHOS-40000904,oil quantity for self-lubricated sleeve bearings,,,,,,,,
CFIHOS-42000456,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000200,S704-FLD-347,Winding partial discharge monitoring,CFIHOS-44000289,CFIHOS-30000805,alternating current motor,CFIHOS-40001354,on-line winding partial discharge measurement,,,,,,,,
CFIHOS-42000483,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000227,S704-FLD-380,Winding partial discharge monitoring,CFIHOS-44000290,CFIHOS-30000805,alternating current motor,CFIHOS-40001354,on-line winding partial discharge measurement,,,,,,,,
CFIHOS-42000388,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000132,S703-FLD-329,Duty,CFIHOS-44000291,CFIHOS-30000805,alternating current motor,CFIHOS-40000309,operation continuous intermittent,,,,,,,,
CFIHOS-42000410,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000154,S703-FLD-352,Duty,CFIHOS-44000292,CFIHOS-30000805,alternating current motor,CFIHOS-40000309,operation continuous intermittent,,,,,,,,
CFIHOS-42000433,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000177,S704-FLD-319,Driven equipment interface,CFIHOS-44000293,CFIHOS-30000805,alternating current motor,CFIHOS-40000309,operation continuous intermittent,,,,,,,,
CFIHOS-42000460,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000204,S704-FLD-352,Driven equipment interface,CFIHOS-44000294,CFIHOS-30000805,alternating current motor,CFIHOS-40000309,operation continuous intermittent,,,,,,,,
CFIHOS-42000399,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000143,S703-FLD-340,Terminal box,CFIHOS-44000295,CFIHOS-30000805,alternating current motor,CFIHOS-40001325,oversized junction box,,,,,,,,
CFIHOS-42000420,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000164,S703-FLD-363,Terminal box,CFIHOS-44000296,CFIHOS-30000805,alternating current motor,CFIHOS-40001325,oversized junction box,,,,,,,,
CFIHOS-42000497,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000244,S733-FLD-93,Main terminal box,CFIHOS-44000297,CFIHOS-30000805,alternating current motor,CFIHOS-40001325,oversized junction box,,,,,,,,
CFIHOS-42000405,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000149,S703-FLD-346,Surface protection,CFIHOS-44000300,CFIHOS-30000805,alternating current motor,CFIHOS-40001331,paint colour,,,,,,,,
CFIHOS-42000426,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000170,S703-FLD-369,Surface protection,CFIHOS-44000301,CFIHOS-30000805,alternating current motor,CFIHOS-40001331,paint colour,,,,,,,,
CFIHOS-42000454,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000198,S704-FLD-345,Surface protection,CFIHOS-44000302,CFIHOS-30000805,alternating current motor,CFIHOS-40001331,paint colour,,,,,,,,
CFIHOS-42000481,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000225,S704-FLD-378,Surface protection,CFIHOS-44000303,CFIHOS-30000805,alternating current motor,CFIHOS-40001331,paint colour,,,,,,,,
CFIHOS-42000456,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000200,S704-FLD-347,Winding partial discharge monitoring,CFIHOS-44000304,CFIHOS-30000805,alternating current motor,CFIHOS-40001369,partial discharge sensing element type,,,,,,,,
CFIHOS-42000462,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000206,S704-FLD-355,Electrical operating conditions,CFIHOS-44000305,CFIHOS-30000805,alternating current motor,CFIHOS-40000911,peak-to-peak impulse voltage at the impulse voltage repetition rate,,,,,,,,
CFIHOS-42000462,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000206,S704-FLD-355,Electrical operating conditions,CFIHOS-44000306,CFIHOS-30000805,alternating current motor,CFIHOS-40000909,peak-to-peak voltage at the fundamental frequency,,,,,,,,
CFIHOS-42000462,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000206,S704-FLD-355,Electrical operating conditions,CFIHOS-44000307,CFIHOS-30000805,alternating current motor,CFIHOS-40000910,phase-to-earth jump voltage,,,,,,,,
CFIHOS-42000443,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000187,S704-FLD-332,Line conductor terminal box,CFIHOS-44000308,CFIHOS-30000805,alternating current motor,CFIHOS-40001343,portable earth connection point,,,,,,,,
CFIHOS-42000470,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000214,S704-FLD-365,Line conductor terminal box,CFIHOS-44000309,CFIHOS-30000805,alternating current motor,CFIHOS-40001343,portable earth connection point,,,,,,,,
CFIHOS-42000394,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000138,S703-FLD-335,Operating performance,CFIHOS-44000310,CFIHOS-30000805,alternating current motor,CFIHOS-40000883,power factor at 100% rated output,,,,,,,,
CFIHOS-42000415,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000159,S703-FLD-358,Operating performance,CFIHOS-44000311,CFIHOS-30000805,alternating current motor,CFIHOS-40000883,power factor at 100% rated output,,,,,,,,
CFIHOS-42000493,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000240,S733-FLD-88,Operating performance,CFIHOS-44000312,CFIHOS-30000805,alternating current motor,CFIHOS-40000883,power factor at 100% rated output,,,,,,,,
CFIHOS-42000394,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000138,S703-FLD-335,Operating performance,CFIHOS-44000313,CFIHOS-30000805,alternating current motor,CFIHOS-40000885,power factor at 50% rated output,,,,,,,,
CFIHOS-42000438,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000182,S704-FLD-325,Operating performance,CFIHOS-44000314,CFIHOS-30000805,alternating current motor,CFIHOS-40000885,power factor at 50% rated output,,,,,,,,
CFIHOS-42000493,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000240,S733-FLD-88,Operating performance,CFIHOS-44000315,CFIHOS-30000805,alternating current motor,CFIHOS-40000885,power factor at 50% rated output,,,,,,,,
CFIHOS-42000394,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000138,S703-FLD-335,Operating performance,CFIHOS-44000316,CFIHOS-30000805,alternating current motor,CFIHOS-40000884,power factor at 75% rated output,,,,,,,,
CFIHOS-42000438,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000182,S704-FLD-325,Operating performance,CFIHOS-44000317,CFIHOS-30000805,alternating current motor,CFIHOS-40000884,power factor at 75% rated output,,,,,,,,
CFIHOS-42000493,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000240,S733-FLD-88,Operating performance,CFIHOS-44000318,CFIHOS-30000805,alternating current motor,CFIHOS-40000884,power factor at 75% rated output,,,,,,,,
CFIHOS-42000465,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000209,S704-FLD-358,Operating performance,CFIHOS-44000319,CFIHOS-30000805,alternating current motor,CFIHOS-40000920,power factor at lower limit continuous operating speed,,,,,,,,
CFIHOS-42000465,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000209,S704-FLD-358,Operating performance,CFIHOS-44000320,CFIHOS-30000805,alternating current motor,CFIHOS-40000919,power factor at upper limit continuous operating speed,,,,,,,,
CFIHOS-42000391,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000135,S703-FLD-332,Electrical operating conditions,CFIHOS-44000321,CFIHOS-30000805,alternating current motor,CFIHOS-40001317,power supply quality,,,,,,,,
CFIHOS-42000435,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000179,S704-FLD-322,Electrical operating conditions,CFIHOS-44000322,CFIHOS-30000805,alternating current motor,CFIHOS-40001317,power supply quality,,,,,,,,
CFIHOS-42000388,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000132,S703-FLD-329,Duty,CFIHOS-44000323,CFIHOS-30000805,alternating current motor,CFIHOS-40001315,power transfer method,,,,,,,,
CFIHOS-42000410,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000154,S703-FLD-352,Duty,CFIHOS-44000324,CFIHOS-30000805,alternating current motor,CFIHOS-40001315,power transfer method,,,,,,,,
CFIHOS-42000433,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000177,S704-FLD-319,Driven equipment interface,CFIHOS-44000325,CFIHOS-30000805,alternating current motor,CFIHOS-40001315,power transfer method,,,,,,,,
CFIHOS-42000460,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000204,S704-FLD-352,Driven equipment interface,CFIHOS-44000326,CFIHOS-30000805,alternating current motor,CFIHOS-40001315,power transfer method,,,,,,,,
CFIHOS-42000488,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000235,S733-FLD-81,General,CFIHOS-44000327,CFIHOS-30000805,alternating current motor,CFIHOS-40001315,power transfer method,,,,,,,,
CFIHOS-42000408,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000152,S703-FLD-350,Miscellaneous,CFIHOS-44000328,CFIHOS-30000805,alternating current motor,CFIHOS-40001334,provision for internet of things hardware installation,,,,,,,,
CFIHOS-42000430,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000174,S703-FLD-373,Miscellaneous,CFIHOS-44000329,CFIHOS-30000805,alternating current motor,CFIHOS-40001334,provision for internet of things hardware installation,,,,,,,,
CFIHOS-42000458,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000202,S704-FLD-350,Miscellaneous,CFIHOS-44000330,CFIHOS-30000805,alternating current motor,CFIHOS-40001334,provision for internet of things hardware installation,,,,,,,,
CFIHOS-42000485,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000229,S704-FLD-383,Miscellaneous,CFIHOS-44000331,CFIHOS-30000805,alternating current motor,CFIHOS-40001334,provision for internet of things hardware installation,,,,,,,,
CFIHOS-42000501,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000248,S733-FLD-98,Instrumentation,CFIHOS-44000332,CFIHOS-30000805,alternating current motor,CFIHOS-40001334,provision for internet of things hardware installation,,,,,,,,
CFIHOS-42000393,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000137,S703-FLD-334,Starting performance,CFIHOS-44000333,CFIHOS-30000805,alternating current motor,CFIHOS-40000869,pull-up torque,,,,,,,,
CFIHOS-42000437,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000181,S704-FLD-324,Starting performance,CFIHOS-44000334,CFIHOS-30000805,alternating current motor,CFIHOS-40000869,pull-up torque,,,,,,,,
CFIHOS-42000433,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000177,S704-FLD-319,Driven equipment interface,CFIHOS-44000335,CFIHOS-30000805,alternating current motor,CFIHOS-40001336,pulsating torque requirement,,,,,,,,
CFIHOS-42000460,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000204,S704-FLD-352,Driven equipment interface,CFIHOS-44000336,CFIHOS-30000805,alternating current motor,CFIHOS-40001336,pulsating torque requirement,,,,,,,,
CFIHOS-42000387,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000131,S703-FLD-328,General,CFIHOS-44000337,CFIHOS-30000805,alternating current motor,CFIHOS-40001313,purchase order status,,,,,,,,
CFIHOS-42000409,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000153,S703-FLD-351,General,CFIHOS-44000338,CFIHOS-30000805,alternating current motor,CFIHOS-40001313,purchase order status,,,,,,,,
CFIHOS-42000432,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000176,S704-FLD-318,General,CFIHOS-44000339,CFIHOS-30000805,alternating current motor,CFIHOS-40001313,purchase order status,,,,,,,,
CFIHOS-42000459,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000203,S704-FLD-351,General,CFIHOS-44000340,CFIHOS-30000805,alternating current motor,CFIHOS-40001313,purchase order status,,,,,,,,
CFIHOS-42000488,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000235,S733-FLD-81,General,CFIHOS-44000341,CFIHOS-30000805,alternating current motor,CFIHOS-40001313,purchase order status,,,,,,,,
CFIHOS-42000464,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000208,S704-FLD-357,Starting performance,CFIHOS-44000342,CFIHOS-30000805,alternating current motor,CFIHOS-40000923,ramp-up time to minimum speed,,,,,,,,
CFIHOS-42000394,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000138,S703-FLD-335,Operating performance,CFIHOS-44000343,CFIHOS-30000805,alternating current motor,CFIHOS-40000879,rated breakdown torque,,,,,,,,
CFIHOS-42000415,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000159,S703-FLD-358,Operating performance,CFIHOS-44000344,CFIHOS-30000805,alternating current motor,CFIHOS-40000879,rated breakdown torque,,,,,,,,
CFIHOS-42000438,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000182,S704-FLD-325,Operating performance,CFIHOS-44000345,CFIHOS-30000805,alternating current motor,CFIHOS-40000879,rated breakdown torque,,,,,,,,
CFIHOS-42000465,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000209,S704-FLD-358,Operating performance,CFIHOS-44000346,CFIHOS-30000805,alternating current motor,CFIHOS-40000879,rated breakdown torque,,,,,,,,
CFIHOS-42000493,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000240,S733-FLD-88,Operating performance,CFIHOS-44000347,CFIHOS-30000805,alternating current motor,CFIHOS-40000879,rated breakdown torque,,,,,,,,
CFIHOS-42000438,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000182,S704-FLD-325,Operating performance,CFIHOS-44000348,CFIHOS-30000805,alternating current motor,CFIHOS-40000521,rated current,,,,,,,,
CFIHOS-42000465,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000209,S704-FLD-358,Operating performance,CFIHOS-44000349,CFIHOS-30000805,alternating current motor,CFIHOS-40000521,rated current,,,,,,,,
CFIHOS-42000391,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000135,S703-FLD-332,Electrical operating conditions,CFIHOS-44000350,CFIHOS-30000805,alternating current motor,CFIHOS-40000605,rated input frequency,,,,,,,,
CFIHOS-42000431,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000175,S703-FLD-378,Electrical operating conditions,CFIHOS-44000351,CFIHOS-30000805,alternating current motor,CFIHOS-40000605,rated input frequency,,,,,,,,
CFIHOS-42000435,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000179,S704-FLD-322,Electrical operating conditions,CFIHOS-44000352,CFIHOS-30000805,alternating current motor,CFIHOS-40000605,rated input frequency,,,,,,,,
CFIHOS-42000462,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000206,S704-FLD-355,Electrical operating conditions,CFIHOS-44000353,CFIHOS-30000805,alternating current motor,CFIHOS-40000605,rated input frequency,,,,,,,,
CFIHOS-42000491,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000238,S733-FLD-85,Electrical operating conditions,CFIHOS-44000354,CFIHOS-30000805,alternating current motor,CFIHOS-40000605,rated input frequency,,,,,,,,
CFIHOS-42000391,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000135,S703-FLD-332,Electrical operating conditions,CFIHOS-44000355,CFIHOS-30000805,alternating current motor,CFIHOS-40000604,rated input voltage,,,,,,,,
CFIHOS-42000401,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000145,S703-FLD-342,Space heaters,CFIHOS-44000356,CFIHOS-30000805,alternating current motor,CFIHOS-40000604,rated input voltage,,,,,,,,
CFIHOS-42000422,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000166,S703-FLD-365,Space heaters,CFIHOS-44000357,CFIHOS-30000805,alternating current motor,CFIHOS-40000604,rated input voltage,,,,,,,,
CFIHOS-42000431,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000175,S703-FLD-378,Electrical operating conditions,CFIHOS-44000358,CFIHOS-30000805,alternating current motor,CFIHOS-40000604,rated input voltage,,,,,,,,
CFIHOS-42000435,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000179,S704-FLD-322,Electrical operating conditions,CFIHOS-44000359,CFIHOS-30000805,alternating current motor,CFIHOS-40000604,rated input voltage,,,,,,,,
CFIHOS-42000451,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000195,S704-FLD-340,Space heaters,CFIHOS-44000360,CFIHOS-30000805,alternating current motor,CFIHOS-40000604,rated input voltage,,,,,,,,
CFIHOS-42000462,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000206,S704-FLD-355,Electrical operating conditions,CFIHOS-44000361,CFIHOS-30000805,alternating current motor,CFIHOS-40000604,rated input voltage,,,,,,,,
CFIHOS-42000478,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000222,S704-FLD-373,Space heaters,CFIHOS-44000362,CFIHOS-30000805,alternating current motor,CFIHOS-40000604,rated input voltage,,,,,,,,
CFIHOS-42000491,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000238,S733-FLD-85,Electrical operating conditions,CFIHOS-44000363,CFIHOS-30000805,alternating current motor,CFIHOS-40000604,rated input voltage,,,,,,,,
CFIHOS-42000499,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000246,S733-FLD-95,Space heaters,CFIHOS-44000364,CFIHOS-30000805,alternating current motor,CFIHOS-40000604,rated input voltage,,,,,,,,
CFIHOS-42000389,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000133,S703-FLD-330,Rating,CFIHOS-44000365,CFIHOS-30000805,alternating current motor,CFIHOS-40000523,rated output power,,,,,,,,
CFIHOS-42000411,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000155,S703-FLD-353,Rating,CFIHOS-44000366,CFIHOS-30000805,alternating current motor,CFIHOS-40000523,rated output power,,,,,,,,
CFIHOS-42000438,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000182,S704-FLD-325,Operating performance,CFIHOS-44000367,CFIHOS-30000805,alternating current motor,CFIHOS-40000523,rated output power,,,,,,,,
CFIHOS-42000465,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000209,S704-FLD-358,Operating performance,CFIHOS-44000368,CFIHOS-30000805,alternating current motor,CFIHOS-40000523,rated output power,,,,,,,,
CFIHOS-42000489,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000236,S733-FLD-83,Rating,CFIHOS-44000369,CFIHOS-30000805,alternating current motor,CFIHOS-40000523,rated output power,,,,,,,,
CFIHOS-42000435,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000179,S704-FLD-322,Electrical operating conditions,CFIHOS-44000370,CFIHOS-30000805,alternating current motor,CFIHOS-40000733,rated peak withstand current,,,,,,,,
CFIHOS-42000451,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000195,S704-FLD-340,Space heaters,CFIHOS-44000371,CFIHOS-30000805,alternating current motor,CFIHOS-40000524,rated power consumption,,,,,,,,
CFIHOS-42000478,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000222,S704-FLD-373,Space heaters,CFIHOS-44000372,CFIHOS-30000805,alternating current motor,CFIHOS-40000524,rated power consumption,,,,,,,,
CFIHOS-42000438,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000182,S704-FLD-325,Operating performance,CFIHOS-44000373,CFIHOS-30000805,alternating current motor,CFIHOS-40000329,rated power factor (lagging),,,,,,,,
