CFIHOS unique code,source standard code,source standard description,source standard still to be completed indicator,
CFIHOS-90000269,ASTM A790/A790M-23,Standard Specification for Seamless and Welded Ferritic/Austenitic Stainless Steel Pipe,no,
CFIHOS-90000270,ASTM D624-00(2020),Standard Test Method for Tear Strength of Conventional Vulcanized Rubber and Thermoplastic Elastomers,no,
CFIHOS-90000271,ASTM D2290-19a,Standard Test Method for Apparent Hoop Tensile Strength of Plastic or Reinforced Plastic Pipe,no,
CFIHOS-90000272,ASTM A182/A182M-23,"Standard Specification for Forged or Rolled Alloy and Stainless Steel Pipe Flanges, Forged Fittings, and Valves and Parts for High-Temperature Service",no,
CFIHOS-90000273,ASTM A302/A302M-17(2022),"Standard Specification for Pressure Vessel Plates, Alloy Steel, Manganese-Molybdenum and Manganese-Molybdenum-Nickel",no,
CFIHOS-90000274,ASTM A533/A533M-16,"Standard Specification for Pressure Vessel Plates, Alloy Steel, Quenched and Tempered, Manganese-Molybdenum and Manganese-Molybdenum-Nickel",no,
CFIHOS-90000275,ASTM A542/A542M-19,"Standard Specification for Pressure Vessel Plates, Alloy Steel, Quenched-and-Tempered, Chromium-Molybdenum, and Chromium-Molybdenum-Vanadium",no,
CFIHOS-90000276,ASTM A505-16(2021),"Standard Specification for Steel, Sheet and Strip, Alloy, Hot-Rolled and Cold-Rolled, General Requirements for",no,
CFIHOS-90000277,ASTM A915/A915M-08(2018),"Standard Specification for Steel Castings, Carbon, and Alloy, Chemical Requirements Similar to Standard Wrought Grades",no,
CFIHOS-90000278,ASTM A630-16ae1,Standard Test Methods for Determination of Tin Coating Weights for Electrolytic Tin Plate,no,
CFIHOS-90000279,ASTM A494/A494M-22,"Standard Specification for Castings, Nickel and Nickel Alloy",no,
CFIHOS-90000280,ASTM A203/A203M-23,"Standard Specification for Pressure Vessel Plates, Alloy Steel, Nickel",no,
CFIHOS-90000281,ASTM A333/A333M-18,Standard Specification for Seamless and Welded Steel Pipe for Low-Temperature Service and Other Applications with Required Notch Toughness,no,
CFIHOS-90000282,ASTM A335/A335M-23,Standard Specification for Seamless Ferritic Alloy-Steel Pipe for High-Temperature Service,no,
CFIHOS-90000283,ASTM B344-20,Standard Specification for Drawn or Rolled Nickel-Chromium and Nickel-Chromium-Iron Alloys for Electrical Heating Elements,no,
CFIHOS-90000284,ASTM B446-23,"Standard Specification for Nickel-Chromium-Molybdenum-Niobium Alloy, Nickel-Chromium-Molybdenum-Silicon Alloy, and Nickel-Chromium-Molybdenum-Tungsten Alloy Rod and Bar",no,
CFIHOS-90000285,ASTM D1600-18,Standard Terminology for Abbreviated Terms Relating to Plastics (Withdrawn 2024),no,
CFIHOS-90000286,ASTM A312/A312M-22a,"Standard Specification for Seamless, Welded, and Heavily Cold Worked Austenitic Stainless Steel Pipes",no,
CFIHOS-90000287,ASTM A564/A564M-19a,Standard Specification for Hot-Rolled and Cold-Finished Age-Hardening Stainless Steel Bars and Shapes,no,
CFIHOS-90000288,ASTM A693-22,"Standard Specification for Precipitation-Hardening Stainless and Heat-Resisting Steel Plate, Sheet, and Strip",no,
CFIHOS-90000289,ASTM A254/A254M-12(2019),Standard Specification for Copper-Brazed Steel Tubing,no,
CFIHOS-90000290,IEC 60086:2024 SER,Primary batteries - ALL PARTS,no,
CFIHOS-90000291,IEC 60085:2007,Electrical insulation - Thermal evaluation and designation,no,
CFIHOS-90000292,IEC 60079-0:2017,Explosive atmospheres - Part 0: Equipment - General requirements,no,
CFIHOS-90000293,NFPA 497:2024,"Recommended Practice for the Classification of Flammable Liquids, Gases, or Vapors and of Hazardous (Classified) Locations for Electrical Installations in Chemical Process Areas",no,
CFIHOS-90000294,NFPA 70:2023,National Electrical Code,no,
CFIHOS-90000295,IEC 62262:2002,Degrees of protection provided by enclosures for electrical equipment against external mechanical impacts (IK code),no,
CFIHOS-90000296,IEC 60034-18-42:2017,Rotating electrical machines - Part 18-42: Partial discharge resistant electrical insulation systems (Type II) used in rotating electrical machines fed from voltage converters - Qualification tests,no,
CFIHOS-90000297,IEC 62439-3:2021,Industrial communication networks - High availability automation networks - Part 3: Parallel Redundancy Protocol (PRP) and High-availability Seamless Redundancy (HSR),no,
CFIHOS-90000298,ISO 5753-1:2009,Rolling bearings - Internal clearance - Part 1: Radial internal clearance for radial bearings,no,
CFIHOS-90000299,IEC 60269-2:2013,Low-voltage fuses - Part 2: Supplementary requirements for fuses for use by authorized persons (fuses mainly for industrial application) - Examples of standardized systems of fuses A to K,no,
CFIHOS-90000300,IEC 61000-2-4:2002,Electromagnetic compatibility (EMC) - Part 2-4: Environment - Compatibility levels in industrial plants for low-frequency conducted disturbances,no,
CFIHOS-90000301,API Std 541:2014,Form-wound Squirrel Cage Induction Motors—375 kW (500 Horsepower) and Larger,no,
CFIHOS-90000302,IEC 60721-2-6:2022,Classification of environmental conditions - Part 2-6: Environmental conditions appearing in nature - Earthquake vibration and shock,no,
CFIHOS-90000303,IEC 60034-12:2016,Rotating electrical machines - Part 12: Starting performance of single-speed three-phase cage induction motors,no,
CFIHOS-90000304,ISO 12944-1:2017,Paints and varnishes — Corrosion protection of steel structures by protective paint systems — Part 1: General introduction,no,
CFIHOS-90000305,IEC 60034-14:2018,"Rotating electrical machines - Part 14: Mechanical vibration of certain machines with shaft heights 56 mm and higher - Measurement, evaluation and limits of vibration severity",no,
CFIHOS-90000306,IEC 61243-5:1997,Live working - Voltage detectors - Part 5: Voltage detecting systems (VDS),no,
CFIHOS-90000307,IEC 62271-206:2011,High-voltage switchgear and controlgear - Part 206: Voltage presence indicating systems for rated voltages above 1 kV and up to and including 52 kV,no,
CFIHOS-90000308,IOGP S-615:2023,Information Requirements for Centrifugal Pumps (API),no,
CFIHOS-90000309,ASME B1.20.1 - 2013(R2018),"Pipe Threads, General Purpose, Inch",no,
CFIHOS-90000310,ISO 7-1:1994,"Pipe threads where pressure-tight joints are made on the threads - Part 1: Dimensions, tolerances and designation",no,
CFIHOS-90000311,ISO 228-1:2000,"Pipe threads where pressure-tight joints are not made on the threads-Part 1: Dimensions, tolerances and designation",no,
CFIHOS-90000312,ISO 15156-1:2020,Petroleum and natural gas industries - Materials for use in H2S-containing environments in oil and gas production - Part 1: General principles for selection of cracking-resistant materials,no,
CFIHOS-90000313,ISO 17945:2015,"Petroleum, petrochemical and natural gas industries - Metallic materials resistant to sulfide stress cracking in corrosive petroleum refining environments",no,
CFIHOS-90000314,BS EN 13445-1:2002+A3:2007,Unfired pressure vessels - General,no,
CFIHOS-90000315,EN 13445-1:2021,Unfired pressure vessels - General,yes,
CFIHOS-90000316,IEC 62271:2024,High-voltage switchgear and controlgear - All parts,yes,
CFIHOS-90000317,IEC 62271-200:2021,High-voltage switchgear and controlgear - Part 200: AC metal-enclosed switchgear and controlgear for rated voltages above 1 kV and up to and including 52 kV,yes,
CFIHOS-90000318,IOGP S-733:2022,Procurement Data Sheet for LV Motors (IEEE Std 841) – V2.0.,yes,
CFIHOS-90000319,NACE MR0103-2005,Materials Resistant To Sulfide Stress Cracking In Corrosive Petroleum Refining Environments,yes,
