CFIHOS unique code,section,object,entity name,property name,entity attribute name,definition,note / comment,example,identifier / mandatory / optional,format,constraint must be present in,data source,former section (if different from last published version),relationship verb
CFIHOS-10000146,,attribute:,unit of measure,CFIHOS unique code,,A code that uniquely identifies the unit of measure in CFIHOS,,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000240,,attribute:,unit of measure,measurement system code,,A code that uniquely identifies the measurement system,,Example : SI,Optional,"Text, max 10 characters",measurement system,,,includes
CFIHOS-10000237,,attribute:,unit of measure,UNECE code,,A code that uniquely identifies the UNECE unit of measure,"The coding of units of measure will be based on UN/ECE codes. The reasons for this is that 1) ISO does not, in 2018, have codes for units of measure, and 2) UN/ECE is the standard used in EDI transactions, i.e. to exchange transaction information electronically between parties.",Example : SEC,Optional,"Text, max 3 characters",,,,
CFIHOS-10000234,,attribute:,unit of measure,unit of measure dimension code,,A code that uniquely identifies the unit of measure dimension,,Example : Volume,Mandatory,"Text, max 6 characters",unit of measure dimension,,,includes
CFIHOS-10000238,,attribute:,unit of measure,unit of measure name,,The unique name which designates the unit.,,Example : metre,Identifier,"Text, max 90 characters",,,,
CFIHOS-10000239,,attribute:,unit of measure,unit of measure symbol,,The symbol used to represent the unit of measure based on the Energistics UoM standard,,Example : second,Optional,"Text, max 30 characters",,,,
CFIHOS-00000019,A.5.07,entity:,property picklist,,,A set of possible values that can be assigned to a property,,,,,,RDL,,
CFIHOS-10000146,,attribute:,property picklist,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the property pick list",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000059,,attribute:,property picklist,property picklist name,,The name by which the pick list is designated,,Example : air cooler type,Identifier,"Text, max 100 characters",,,,
CFIHOS-00000020,A.5.08,entity:,property picklist value,,,"A predefined value that can be assigned to a property, in the context of a property picklist",,,,,,RDL,,
CFIHOS-10000146,,attribute:,property picklist value,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the pick list value",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000059,,attribute:,property picklist value,property picklist name,,The name by which the pick list is designated,,Example : air cooler type,Identifier,"Text, max 100 characters",property picklist,,,contains
CFIHOS-10000060,,attribute:,property picklist value,property picklist value code,,A code that uniquely identifies an entry in a pick list,,Example : Liquid,Identifier,"Text, max 100 characters",,,,
CFIHOS-10000152,,attribute:,property picklist value,property picklist value description,,A description of what the entry in the pick list represents,,Example : Liquid refrigerant,Optional,"Text, max 1026 characters",,,,
CFIHOS-10000053,,attribute:,property picklist value,source standard code,,"A code used to designate the standard used to define requirements like engineering, operations, etc.",,Example : ISO 13533,Optional,"Text, max 40 characters",source standard,,,is the reference for
CFIHOS-00000094,A.5.10,entity:,tag or equipment class property,,,"A characteristic, or property, that a tag or equipment class has",,,,,,RDL,,
CFIHOS-10000146,,attribute:,tag or equipment class property,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the tag or equipment class property source standard.",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000174,,attribute:,tag or equipment class property,imperial unit of measure name,,The Imperial unit of measure recommended for this property,,Example : inch,Optional,"Text, max 90 characters",unit of measure,,,Is the Imperial unit of measure name prescribed for
CFIHOS-10000262,,attribute:,tag or equipment class property,property is relevant for tag indicator,,An indication that the property is relevant for tags associated with the class,,Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000056,,attribute:,tag or equipment class property,property name,,The name of the property that applies to a tag or equipment class,,Example : normal operating pressure,Identifier,"Text, max 100 characters",property,,,is present in
CFIHOS-10000246,,attribute:,tag or equipment class property,property relevant for equipment indicator,,An indicator whether the property should be provided for a given equipment.,"It is important to distinguish the properties that should be provided by the EPC for an equipment, but e.g. not for a model. For instance, the colour of a car is relevant for a given instance of a car, but not for the model.",Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000247,,attribute:,tag or equipment class property,property relevant for model / part indicator,,An indication whether the property must by provided by the EPC (or the manufacturer) for a given model.,"Some properties should be reported for the models / parts associated with an equipment class, some for the equipment associated with the equipment class. Those are two separate pieces of data.",Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000173,,attribute:,tag or equipment class property,SI unit of measure name,,The SI (metric) unit of measure recommended for this tag or equipment class property.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,Is the SI unit of measure name prescribed for
CFIHOS-10000256,,attribute:,tag or equipment class property,tag or equipment class name,,The full name of the non abstract tag or equipment class to which the property applies,,Example : control panel,Identifier,"Text, max 100 characters",non abstract tag or equipment class,,,has
CFIHOS-00000016,A.5.11,entity:,tag class property,,,"A characteristic, or property, that a tag class has",,,,,,RDL,,
CFIHOS-10000056,,attribute:,tag class property,property name,,The name of the property that applies to a tag or equipment class,,Example : normal operating pressure,Identifier,"Text, max 100 characters",tag or equipment class property,,,is subtype of
CFIHOS-10000040,,attribute:,tag class property,tag class name,,The full name of the non abstract tag or equipment class to which the property applies,The initial set of values will be the CFIHOS unique ids that were assigned to tag classes.,Example : control panel,Identifier,"Text, max 100 characters",tag or equipment class property,,,is subtype of
CFIHOS-00000017,A.5.12,entity:,equipment class property,,,"A characteristic, or property, that an equipment class has",,,,,,RDL,,
CFIHOS-10000047,,attribute:,equipment class property,equipment class name,,The full name of the non abstract tag or equipment class to which the property applies,,Example : control panel,Identifier,"Text, max 100 characters",tag or equipment class property,,,is subtype of
CFIHOS-10000056,,attribute:,equipment class property,property name,,The name of the property that applies to a tag or equipment class,,Example : normal operating pressure,Identifier,"Text, max 100 characters",tag or equipment class property,,,is subtype of
CFIHOS-10000246,,attribute:,equipment class property,property relevant for equipment indicator,,An indicator whether the property should be provided for a given equipment.,"It is important to distinguish the properties that should be provided by the EPC for an equipment, but e.g. not for a model. For instance, the colour of a car is relevant for a given instance of a car, but not for the model.",Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000247,,attribute:,equipment class property,property relevant for model / part indicator,,An indication whether the property must by provided by the EPC (or the manufacturer) for a given model.,"Some properties should be reported for the models / parts associated with an equipment class, some for the equipment associated with the equipment class. Those are two separate pieces of data.",Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-00000015,A.5.13,entity:,tag property,,,"A characteristic, or property, that a tag has",,,,,,EPC,,
CFIHOS-10000005,,attribute:,tag property,plant code,,The plant where the tag will be installed,,Example : 6000,Identifier,"Text, max 40 characters",tag,,,has
CFIHOS-10000322,,attribute:,tag property,process activity code,,A code that uniquely identifies the process / activity,,Example : PROC_07,Optional,"Text, max 40 characters",process design property,,,is referred to by
CFIHOS-10000328,,attribute:,tag property,process stream code,,The process stream from on which the tag property value is based,,Example : MS_07,Optional,"Text, max 40 characters",process stream property,,,is referred to by
CFIHOS-10000056,,attribute:,tag property,property name,,A name that uniquely identifies the property,,Example : normal operating pressure,Mandatory,"Text, max 100 characters",property,,,is present in
CFIHOS-10000242,,attribute:,tag property,reason for deviating from standard unit of measure,,The reason why the unit of measure as prescribed by the source standard as not been used to report the tag property value,,Example : Size of the value,Optional,"Text, max 255 characters",,,,
CFIHOS-10000166,,attribute:,tag property,tag name,,The full name of a tag,Different companies have different tag naming conventions. A tag name shall be unique within a plant.,Example : 036FV001,Identifier,"Text, max 33 characters",tag,,,has
CFIHOS-10000333,,attribute:,tag property,tag property margin ratio,,"The total margin that has been applied on the value of the tag property, compared to what was evaluated as the process stream property",,Example : 240,Optional,NUM,,,,
CFIHOS-10000248,,attribute:,tag property,tag property value,,The value of the property for that tag,"The data type of that value must be aligned with the data type of the property. Moreover, if the property is numeric, it should be qualified by a unit of measure. If the property is not numeric, and has a pick list associated with the tag property value must be one of the entries in the set of pick list values.",Example : 220,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000238,,attribute:,tag property,unit of measure name,,The unique name which designates the unit.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies
CFIHOS-00000014,A.5.14,entity:,model part property,,,"A characteristic, or property, than an equipment model has",,,,,,EPC,,
CFIHOS-10000158,,attribute:,model part property,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,,Example : Flowserve,Identifier,"Text, max 30 characters",model part,,,has
CFIHOS-10000159,,attribute:,model part property,model part name,,A unique name to identify the model part of the manufacturer,,Example : A4 V726 PN 40,Identifier,"Text, max 100 characters",model part,,,has
CFIHOS-10000249,,attribute:,model part property,model part property value,,The value of the property for that model part,"The value of the property should be qualified by a unit of measure if it is numeric. If it is not numeric, and that the property is associated with a pick list, then the value of the property should be one of the valid pick list values.",Example : 220,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000056,,attribute:,model part property,property name,,A name that uniquely identifies the property,,Example : normal operating pressure,Identifier,"Text, max 100 characters",property,,,is present in
CFIHOS-10000242,,attribute:,model part property,reason for deviating from standard unit of measure,,The reason why the unit of measure as prescribed by the source standard as not been used to report the model part property value,,Example : Size of the value,Optional,"Text, max 255 characters",,,,
CFIHOS-10000238,,attribute:,model part property,unit of measure name,,The unique name which designates the unit.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies
CFIHOS-00000013,A.5.15,entity:,equipment property,,,"A characteristic, or property, that an equipment has",,,,,,EPC,,
CFIHOS-10000031,,attribute:,equipment property,equipment code,,A code used to identify uniquely the equipment,"The number is sometimes generated by the company maintenance management system. Different companies use different naming conventions for their equipment code, like e.g. Equip_<plant_code>_<tag_name>, where plant_code/tag_name represent where the equipment is installed.",Example : 31000465212,Identifier,"Text, max 40 characters",equipment,,,has
CFIHOS-10000250,,attribute:,equipment property,equipment property value,,The value of that property for this equipment.,"Id the value is numeric it should be qualified by a unit of measure. If it is not numeric, and the property is associated with a pick list, then it should be a valid entry from that pick list set of values.",Example : 220,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000056,,attribute:,equipment property,property name,,A name that uniquely identifies the property,,Example : normal operating pressure,Identifier,"Text, max 100 characters",property,,,is present in
CFIHOS-10000242,,attribute:,equipment property,reason for deviating from standard unit of measure,,The reason why the unit of measure as prescribed by the source standard as not been used to report the equipment property value,,Example : Size of the value,Optional,"Text, max 255 characters",,,,
CFIHOS-10000238,,attribute:,equipment property,unit of measure name,,The unique name which designates the unit.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies
CFIHOS-00000145,A.5.16,entity:,tag or equipment class property source standard,,,A tag or equipment class property that is reported by a source standard in its data sheet,,,,,,RDL,,
CFIHOS-10000146,,attribute:,tag or equipment class property source standard,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the tag or equipment class property source standard.",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000056,,attribute:,tag or equipment class property source standard,property name,,The name of the property that applies to a tag or equipment class present in the source standard,,Example : normal operating pressure,Identifier,"Text, max 100 characters",tag or equipment class property,,,is document in
CFIHOS-10000245,,attribute:,tag or equipment class property source standard,property name in source standard,,The name of the property in the source standard document,,"Example : Operating pressure, normal",Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000374,,attribute:,tag or equipment class property source standard,property sequence number,,Defines the order of properties.,,Example : 1,Optional,Integer,,,,
CFIHOS-10000053,,attribute:,tag or equipment class property source standard,source standard code,,"A code used to designate the standard used to define requirements like engineering, operations, etc.",,Example : ISO 13533,Identifier,"Text, max 40 characters",source standard,,,documents the need for
CFIHOS-10000244,,attribute:,tag or equipment class property source standard,source standard section,,Indicates the source standard section with the requirement for the property.,,Example : Data Sheet section,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000256,,attribute:,tag or equipment class property source standard,tag or equipment class name,,The full name of the non abstract tag or equipment class to which the property applies in the source standard,,Example : control panel,Identifier,"Text, max 100 characters",tag or equipment class property,,,is document in
CFIHOS-00000075,A.5.20,entity:,measurement system,,,A collection of units of measure related to each other,,,,,,RDL Pick list,,
CFIHOS-10000240,,attribute:,measurement system,measurement system code,,A code that uniquely identifies the measurement system,,Example : SI,Identifier,"Text, max 10 characters",,,,
CFIHOS-10000241,,attribute:,measurement system,measurement system name,,The name under which the measurement system is known,,Example : Metric,Optional,"Text, max 60 characters",,,,
CFIHOS-00000074,A.5.23,entity:,unit of measure synonym,,,A synonyms that uniquely identifies or represents a unit of measure,This has been introduced as it is anticipated that not source standards may use e.g. the same symbol to represent the unit of measure. However a synonym should never point to two different units of measure.,,,,,RDL,,
CFIHOS-10000238,,attribute:,unit of measure synonym,unit of measure name,,The unique name which designates the unit.,,Example : metre,Identifier,"Text, max 90 characters",unit of measure,,,is also known or represented as
CFIHOS-10000243,,attribute:,unit of measure synonym,unit of measure synonym name,,The name by which a unit of measure can alternatively be designated,,Example : degree C,Identifier,"Text, max 20 characters",,,,
CFIHOS-00000089,A.5.24,entity:,tag or equipment class property application condition,,,A condition that applies to the capture or supply of a tag or equipment class property,If there are no application condition for the supply of a tag or equipment class property then the value of the property should be supplied.,,,,,RDL,,
CFIHOS-10000232,,attribute:,tag or equipment class property application condition,application condition code,,A code that uniquely identifies an application condition,,Example : High Voltage,Identifier,"Text, max 100 characters",application condition,,,applies to
CFIHOS-10000288,,attribute:,tag or equipment class property application condition,application condition value,,The value that a condition must have to require the specification of a property for a tag or equipment class,,Example : 400,Optional,"Text, max 255 characters",,,,
CFIHOS-10000056,,attribute:,tag or equipment class property application condition,property name,,The name of the property that applies to a tag or equipment class,,Example : normal operating pressure,Identifier,"Text, max 100 characters",tag or equipment class property,,,is subject to
CFIHOS-10000256,,attribute:,tag or equipment class property application condition,tag or equipment class name,,The full name of the non abstract tag or equipment class to which the property applies,,Example : control panel,Identifier,"Text, max 100 characters",tag or equipment class property,,,is subject to
CFIHOS-00000140,A.5.25,entity:,property group allowed for purpose,,,A group of properties that can legitimately be used for a given purpose,"The same property group can be used for multiple purposes, but not for all purposes.",,,,,RDL,,
CFIHOS-10000146,,attribute:,property group allowed for purpose,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the property group allowed for purpose.",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000371,,attribute:,property group allowed for purpose,property group code,,A group of properties that is allowed or authorised to be used for that purpose.,,Example : S733-FLD-101,Identifier,"Text, max 40 characters",property group,,,is used in the context of
CFIHOS-10000369,,attribute:,property group allowed for purpose,property grouping purpose code,,The purpose for which this property group is allowed or valid.,,Example : Maturity,Identifier,"Text, max 40 characters",property grouping or decomposition purpose,,,recognises
CFIHOS-00000141,A.5.26,entity:,property group,,,A grouping of properties,"Property groups can be used for multiple purposes. But if a property group can be used for a given purpose, then it should be documented as a property group allowed for that purpose.",,,,,RDL,,
CFIHOS-10000146,,attribute:,property group,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the property group.",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000373,,attribute:,property group,parent group code,,A code that uniquely identifies a group of property groups.,,Example : Procurement,Optional,"Text, max 40 characters",property group,,,Is divided in
CFIHOS-10000371,,attribute:,property group,property group code,,A group of properties that is allowed or authorised to be used for that purpose.,,Example : S733-FLD-101,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000372,,attribute:,property group,property group description,,A description of what the property group represents.,,Example : The properties for which a value need to be provided at Procurement,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000053,,attribute:,property group,source standard code,,"A code used to designate the standard used to define requirements like engineering, operations, etc.",,Example : ISO 13533,Optional,"Text, max 40 characters",source standard,,,comes from standard
CFIHOS-00000142,A.5.27,entity:,property grouping or decomposition purpose,,,"A reason, or purpose, for which properties need to be grouped",,,,,,RDL,,
CFIHOS-10000146,,attribute:,property grouping or decomposition purpose,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the property grouping or decompisition purpose.",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000369,,attribute:,property grouping or decomposition purpose,property grouping purpose code,,The purpose for which this property group is allowed or valid.,,Example : Maturity,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000370,,attribute:,property grouping or decomposition purpose,property grouping purpose description,,A description of what the property grouping purpose represents,,Example : The grouping of properties by maturity allows to understand by when a value should be known for a given property.,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000143,A.5.28,entity:,property to group assignment,,,A reason or purpose for which properties need to be grouped.,"The same property group can be used for multiple purposes, but not for all purposes.",,,,,RDL,,
CFIHOS-10000146,,attribute:,property to group assignment,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the property to group assignment.",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000371,,attribute:,property to group assignment,property group code,,A group of properties that is allowed or authorised to be used for that purpose.,,Example : S733-FLD-101,Identifier,"Text, max 40 characters",property group allowed for purpose,,,is assigned to
CFIHOS-10000369,,attribute:,property to group assignment,property grouping purpose code,,The purpose for which this property group is allowed or valid.,,Example : Maturity,Identifier,"Text, max 40 characters",property group allowed for purpose,,,is assigned to
CFIHOS-10000056,,attribute:,property to group assignment,property name,,The name of the property that applies to a tag or equipment class,,Example : normal operating pressure,Identifier,"Text, max 100 characters",tag or equipment class property,,,is present in
CFIHOS-10000374,,attribute:,property to group assignment,property sequence number,,"The sequence number in which a property should be displayed when being part of a group, or a section",,Example : 1,Optional,Integer,,,,
CFIHOS-10000256,,attribute:,property to group assignment,tag or equipment class name,,The full name of the non abstract tag or equipment class to which the property applies,,Example : control panel,Identifier,"Text, max 100 characters",tag or equipment class property,,,is present in
CFIHOS-00000146,A.5.29,entity:,tag or equipment class component,,,A component of what makes a tag of equipment class,,,,,,RDL,,
CFIHOS-10000146,,attribute:,tag or equipment class component,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the tag or equipment class component",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000377,,attribute:,tag or equipment class component,component role name,,The component role within the parent system.,,Example : Inlet,Identifier,"Text, max 40 characters",component role,,,is subtype of
CFIHOS-10000371,,attribute:,tag or equipment class component,property group code,,A group of properties that is allowed or authorised to be used for that purpose.,,Example : S733-FLD-101,Optional,"Text, max 40 characters",property group,,,is represented in
CFIHOS-10000385,,attribute:,tag or equipment class component,tag or equipment class component is logical,,Indicates the component is a logical rather than physical component,,Example : Yes,Optional,Boolean (Yes/No),,,,
CFIHOS-10000382,,attribute:,tag or equipment class component,tag or equipment class component maximum number of components,,The maximum number of components for that tag or equipment class,,Example : 2,Optional,Integer,,,,
CFIHOS-10000381,,attribute:,tag or equipment class component,tag or equipment class component minimum number of components,,The minimum number of components for that tag or equipment class,,Example : 1,Optional,Integer,,,,
CFIHOS-10000380,,attribute:,tag or equipment class component,tag or equipment class component name,,"The name of a smaller, self-contained part of a tag or equipment class.",,Example : nozzle,Identifier,"Text, max 100 characters",,,,
CFIHOS-10000384,,attribute:,tag or equipment class component,tag or equipment class component to be added indicator,,Indicates the component is to be added to the RDL,,Example : Yes,Optional,Boolean (Yes/No),,,,
CFIHOS-10000383,,attribute:,tag or equipment class component,tag or equipment class component typical number of components,,"The typical, most frequently encountered number of components for that tag or equipment class",,Example : 2,Optional,Integer,,,,
CFIHOS-10000256,,attribute:,tag or equipment class component,tag or equipment class name,,The full name of the tag or equipment class that is decomposed,,Example : control panel,Identifier,"Text, max 100 characters",tag or equipment class,,,is made of / has
CFIHOS-00000148,A.5.30,entity:,component role,,,The role of the component of the Tag or Equipment Class,,,,,,RDL,,
CFIHOS-10000146,,attribute:,component role,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the component role.",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000378,,attribute:,component role,component role description,,A description of the component role.,,"Example : An inlet is a tube, valve, or other part through which a fluid enters a device or machine.",Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000377,,attribute:,component role,component role name,,The component role within the parent system.,,Example : Inlet,Identifier,"Text, max 40 characters",,,,
CFIHOS-00000113,A.5.31,entity:,process class,,,A classification of the process activities according to the type of action / operation being performed,DEXPI and ISO15926 provide good starting points for the list of process classes.,,,,,RDL,,
CFIHOS-10000146,,attribute:,process class,CFIHOS unique code,,A code that uniquely identifies the process class in CFIHOS,,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000321,,attribute:,process class,process class definition,,A definition of what the process class represents,,Example : The action of placing something in a storage medium.,Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000320,,attribute:,process class,process class name,,The name by which a process class is uniquely identified,,Example : Storing,Identifier,"Text, max 100 characters",,,,
CFIHOS-00000114,A.5.32,entity:,process class tag class relationship,,,A tag class that can be used to implement a process activity belonging to a process class,,,,,,RDL,,
CFIHOS-10000320,,attribute:,process class tag class relationship,process class name,,The name by which a process class is uniquely identified,,Example : Storing,Identifier,"Text, max 100 characters",process class,,,can be implement through
CFIHOS-10000040,,attribute:,process class tag class relationship,tag class name,,The full name of the tag class,The initial set of values will be the CFIHOS unique ids that were assigned to tag classes.,Example : control panel,Identifier,"Text, max 100 characters",tag class,,,implements
CFIHOS-00000115,A.5.33,entity:,process class property,,,A property that should be specified for process activities related to this process class,,,,,,RDL,,
CFIHOS-10000174,,attribute:,process class property,imperial unit of measure name,,The Imperial unit of measure recommended for this property,,Example : inch,Optional,"Text, max 90 characters",unit of measure,,,Is the Imperial unit recommended for
CFIHOS-10000320,,attribute:,process class property,process class name,,The name by which a process class is uniquely identified,,Example : Storing,Identifier,"Text, max 100 characters",process class,,,has
CFIHOS-10000056,,attribute:,process class property,property name,,A name that uniquely identifies the property,,Example : normal operating pressure,Identifier,"Text, max 100 characters",property,,,is present in
CFIHOS-10000173,,attribute:,process class property,SI unit of measure name,,The SI (metric) unit of measure recommended for this process class property,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,is the SI unit recommended for
CFIHOS-00000116,A.5.34,entity:,process activity,,,"A set of actions by which material, energy or information is transformed, transported or stored","Processes can be decomposed in sub processes, also known as process steps.",,,,,EPC,,
CFIHOS-10000323,,attribute:,process activity,parent process activity code,,"The process / activity the current process is part of, or is a step of",,Example : MS_01,Optional,"Text, max 40 characters",process activity,,,is composed of
CFIHOS-10000322,,attribute:,process activity,process activity code,,A code that uniquely identifies the process / activity,,Example : PROC_07,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000324,,attribute:,process activity,process activity description,,A description of what action is performed by this process activity,,Example : heating the crude provided by the stream MS_04 and pass it to the stream MS_06,Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000320,,attribute:,process activity,process class name,,The name by which a process class is uniquely identified,,Example : Storing,Mandatory,"Text, max 100 characters",process class,,,classifies the process of
CFIHOS-00000117,A.5.35,entity:,process activity tag relationship,,,A tag that implements (part of) the functional requirements of a process activity,,,,,,EPC,,
CFIHOS-10000005,,attribute:,process activity tag relationship,plant code,,The plant where the tag is or will be located,,Example : 6000,Identifier,"Text, max 40 characters",tag,,,is the performer of
CFIHOS-10000322,,attribute:,process activity tag relationship,process activity code,,A code that uniquely identifies the process / activity,,Example : PROC_07,Identifier,"Text, max 40 characters",process activity,,,is implemented by
CFIHOS-10000166,,attribute:,process activity tag relationship,tag name,,The full name of a tag,Different companies have different tag naming conventions. A tag name shall be unique within a plant.,Example : 036FV001,Identifier,"Text, max 33 characters",tag,,,is the performer of
CFIHOS-00000118,A.5.36,entity:,process design property,,,A property that is required by a given process activity,"This property is often the result of some governing case, to allow for all possible scenarios to be taken into account.",,,,,EPC,,
CFIHOS-10000322,,attribute:,process design property,process activity code,,A code that uniquely identifies the process / activity,,Example : PROC_07,Identifier,"Text, max 40 characters",process activity,,,has
CFIHOS-10000325,,attribute:,process design property,process design property value,,"The value, qualified by a unit of measure, that the property must have to meet the design needs of the process",,Example : 3,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000056,,attribute:,process design property,property name,,A name that uniquely identifies the property,,Example : normal operating pressure,Identifier,"Text, max 100 characters",property,,,is present in
CFIHOS-10000238,,attribute:,process design property,unit of measure name,,The unique name which designates the unit.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies
CFIHOS-00000119,A.5.37,entity:,stream class,,,A classification of the process streams according to what is being moved,,,,,,RDL,,
CFIHOS-10000146,,attribute:,stream class,CFIHOS unique code,,A code that uniquely identifies the stream class in CFIHOS,,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000334,,attribute:,stream class,parent stream class code,,The stream class that is a super type of this stream class,,Example : MS (material stream),Optional,"Text, max 40 characters",stream class,,,is the parent of
CFIHOS-10000326,,attribute:,stream class,stream class code,,A code that uniquely identifies the class of stream,,Example : ES,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000327,,attribute:,stream class,stream class description,,"A description of what the stream is transporting, transforming or storing",,Example : Energy Stream,Mandatory,"Text, max 255 characters",,,,
CFIHOS-00000120,A.5.38,entity:,process stream,,,"A flow of material, energy or information produced by one process activity and consumed by another process activity",A process stream depicts the interaction between process activities.,,,,,EPC,,
CFIHOS-10000331,,attribute:,process stream,input of process activity code,,"The process to which the stream is delivering its material, energy, or information",,Example : PROC_08,Mandatory,"Text, max 40 characters",process activity,,,uses as input
CFIHOS-10000330,,attribute:,process stream,output of process activity code,,The process from which the stream originates,,Example : PROC_07,Mandatory,"Text, max 40 characters",process activity,,,produces as output
CFIHOS-10000328,,attribute:,process stream,process stream code,,A code that uniquely identifies a process stream,,Example : MS_07,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000329,,attribute:,process stream,process stream description,,"A description of what the process stream is transporting / transforming or storing, and how it fits within the process flow diagram",,Example : Move of crude from Tank TK01 to process Pumping P_123,Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000326,,attribute:,process stream,stream class code,,The class to which the process stream belongs,,Example : ES,Mandatory,"Text, max 40 characters",stream class,,,classifies the stream of
CFIHOS-00000121,A.5.39,entity:,stream class property,,,A property that should be specified for process streams related to this stream class,,,,,,RDL,,
CFIHOS-10000174,,attribute:,stream class property,imperial unit of measure name,,The Imperial unit of measure recommended for this property,,Example : inch,Optional,"Text, max 90 characters",unit of measure,,,Is the Imperial unit of measure name
CFIHOS-10000056,,attribute:,stream class property,property name,,A name that uniquely identifies the property,,Example : normal operating pressure,Identifier,"Text, max 100 characters",property,,,is present in
CFIHOS-10000173,,attribute:,stream class property,SI unit of measure name,,The SI (metric) unit of measure recommended for this stream class property,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,Is the SI unit of measure name
CFIHOS-10000326,,attribute:,stream class property,stream class code,,A code that uniquely identifies the class of stream,,Example : ES,Identifier,"Text, max 40 characters",stream class,,,has
CFIHOS-00000122,A.5.40,entity:,process stream property,,,A property that is required for a process stream,,,,,,EPC,,
CFIHOS-10000328,,attribute:,process stream property,process stream code,,A code that uniquely identifies a process stream,,Example : MS_07,Identifier,"Text, max 40 characters",process stream,,,requires functionally
CFIHOS-10000332,,attribute:,process stream property,process stream property value,,The value that the property must take to allow for proper functioning of the stream,,Example : 2.5,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000056,,attribute:,process stream property,property name,,A name that uniquely identifies the property,,Example : normal operating pressure,Identifier,"Text, max 100 characters",property,,,is present in
CFIHOS-10000238,,attribute:,process stream property,unit of measure name,,The unique name which designates the unit.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies
CFIHOS-00000127,A.5.41,entity:,process case,,,A scenario of how processes and streams would perform under some conditions,,,,,,EPC,,
