tag class CFIHOS unique code,tag class name,property CFIHOS unique code,property name,SI unit of measure CFIHOS unique code,SI unit of measure name,imperial unit of measure CFIHOS unique code,imperial unit of measure name
CFIHOS-30000521,centrifugal pump,CFIHOS-40001126,special weather protection,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001233,"stainless steel plate, thickness 0.2 in. (5 mm) minimum, under all pump feet",,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001209,strainer material,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001169,strainer type,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001202,suction barrel/can material,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001145,suction nozzle position,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000837,sump diameter,CFIHOS-60001469,millimetre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000836,sump floor elevation,CFIHOS-60001469,millimetre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001269,temperature gauges requirements,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001267,temperature probe mounting location,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001266,temperature probe requirement,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000412,test medium,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000532,test pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000521,centrifugal pump,CFIHOS-40000177,thermal insulation class,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001155,thread specification,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001259,threaded provision for mounting accelerometers only,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001263,threaded provision for mounting vibration probe only,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001177,thrust bearing type,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000788,total dissolved salts,CFIHOS-60000982,part per million,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001170,type of level control,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001127,unusual service conditions,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000825,upper limit allowable sound pressure level,CFIHOS-60001434,decibel,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000454,upper limit ambient operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000521,centrifugal pump,CFIHOS-40000773,upper limit design cooling water inlet pressure,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000772,upper limit design cooling water inlet temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000774,upper limit design cooling water pressure,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000535,upper limit design pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000521,centrifugal pump,CFIHOS-40000536,upper limit design temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000521,centrifugal pump,CFIHOS-40000844,upper limit dynamic sealing pressure,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000794,upper limit flow net positive suction head available,CFIHOS-60001461,metre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000781,upper limit liquid density,CFIHOS-60001451,kilogram per cubic metre,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000771,upper limit operating cooling water inlet temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000462,upper limit operating discharge pressure,CFIHOS-65001148,bar,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000770,upper limit operating heating steam pressure,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000768,upper limit operating heating steam temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000466,upper limit operating inlet pressure,CFIHOS-60001430,bar absolute,CFIHOS-60001010,pound per square inch absolute
CFIHOS-30000521,centrifugal pump,CFIHOS-40000786,upper limit operating liquid dynamic viscosity,CFIHOS-60001432,centipoise,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000575,upper limit operating outlet pressure,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000537,upper limit operating pressure,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000476,upper limit operating suction pressure,CFIHOS-65001148,bar,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000538,upper limit operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000521,centrifugal pump,CFIHOS-40000577,upper limit operating volume flow rate,CFIHOS-60001463,cubic metre per hour,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000738,upper limit relative humidity,CFIHOS-60000001,percent,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000846,upper limit seal design temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000764,upper limit site ambient temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000826,upper limit sound power level,CFIHOS-60001434,decibel,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001398,upper limit specific heat,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000842,upper limit static sealing pressure,CFIHOS-60001431,bar gauge,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000778,upper limit vapour pressure,CFIHOS-60001430,bar absolute,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40000777,vapour pressure at rated temperature,CFIHOS-60001430,bar absolute,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001152,vent valve supplied by,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001262,vibration probes mounting location,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001261,vibration probes requirement,,,,
CFIHOS-30000521,centrifugal pump,CFIHOS-40001199,wear parts hardnesses,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000503,lower limit design temperature,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000273,normal operating liquid density,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000274,normal operating liquid dynamic viscosity,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000532,test pressure,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000535,upper limit design pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000522,centrifuge,CFIHOS-40000536,upper limit design temperature,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000537,upper limit operating pressure,,,,
CFIHOS-30000522,centrifuge,CFIHOS-40000538,upper limit operating temperature,,,,
CFIHOS-30000596,chain,CFIHOS-40000487,design specification,,,,
CFIHOS-30000596,chain,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000596,chain,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000596,chain,CFIHOS-40000551,lower limit design pressure,,,,
CFIHOS-30000596,chain,CFIHOS-40000503,lower limit design temperature,,,,
CFIHOS-30000596,chain,CFIHOS-40000535,upper limit design pressure,,,,
CFIHOS-30000596,chain,CFIHOS-40000536,upper limit design temperature,,,,
CFIHOS-30000563,chain conveyor,CFIHOS-40000487,design specification,,,,
CFIHOS-30000563,chain conveyor,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000563,chain conveyor,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000563,chain conveyor,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000563,chain conveyor,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000563,chain conveyor,CFIHOS-40000503,lower limit design temperature,,,,
CFIHOS-30000563,chain conveyor,CFIHOS-40000293,normal volume flow rate,,,,
CFIHOS-30000563,chain conveyor,CFIHOS-40000536,upper limit design temperature,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000013,chain hoist,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000300,chamber,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000300,chamber,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000300,chamber,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000300,chamber,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000636,check valve,CFIHOS-40000487,design specification,,,,
CFIHOS-30000636,check valve,CFIHOS-40000580,failure action,,,,
CFIHOS-30000636,check valve,CFIHOS-40000132,fluid name,,,,
CFIHOS-30000636,check valve,CFIHOS-40000509,nominal diameter,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000636,check valve,CFIHOS-40000512,normal operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000636,check valve,CFIHOS-40000514,normal operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000636,check valve,CFIHOS-40000488,piping class,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000638,actuation service,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000599,communication protocol,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000487,design specification,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000580,failure action,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000585,fire safe,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000132,fluid name,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000584,full opening valve,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000600,input signal range,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000597,input signal type,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000509,nominal diameter,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000811,choke control valve,CFIHOS-40000512,normal operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000811,choke control valve,CFIHOS-40000514,normal operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000811,choke control valve,CFIHOS-40000601,output signal range,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000598,output signal type,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000488,piping class,,,,
CFIHOS-30000811,choke control valve,CFIHOS-40000579,safety integrity level,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000487,design specification,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000580,failure action,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000132,fluid name,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000584,full opening valve,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000509,nominal diameter,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000812,choke valve,CFIHOS-40000512,normal operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000812,choke valve,CFIHOS-40000514,normal operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000812,choke valve,CFIHOS-40000488,piping class,,,,
CFIHOS-30000812,choke valve,CFIHOS-40000320,pressure equipment category,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001029,access port(s) between crown plugs (on HXT),,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001060,annulus access valve,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001021,annulus configuration,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001023,annulus gas lift service,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001022,annulus material trim,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001020,annulus vent or wing valve size,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001061,annulus vent valve,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001111,chemical injection between annulus wing and master valve,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001112,chemical injection between PMV and PWV - Line #1,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000928,conformity assessment system level,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001053,connection load capacity,CFIHOS-65000941,pound-force,,
CFIHOS-30000494,christmas tree,CFIHOS-40000752,cool down 'no touch time',CFIHOS-60001473,minute,,
CFIHOS-30000494,christmas tree,CFIHOS-40001024,crossover piping production bore intersection location,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000661,design water depth,CFIHOS-60001461,metre,,
CFIHOS-30000494,christmas tree,CFIHOS-40001095,downhole chemical injection (3/8 in. tubing) - Line #4,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001108,downhole chemical injection line isolation valve material trim option,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001071,downhole chemical injection line valve and porting upgraded to HH trim option,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001055,downhole electric and fiber optic line selection,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000753,drift diameter,CFIHOS-60001469,millimetre,,
CFIHOS-30000494,christmas tree,CFIHOS-40000760,drift diameter of landing string,CFIHOS-60001469,millimetre,,
CFIHOS-30000494,christmas tree,CFIHOS-40000494,dry weight,CFIHOS-60001449,kilogram,,
CFIHOS-30000494,christmas tree,CFIHOS-40001086,erosion condition monitoring,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000751,flowing wellhead temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000494,christmas tree,CFIHOS-40001082,flowline connection location,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001081,flowline connection type,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001084,flowline leak detection,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001085,flowline sand detector,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001089,gas lift choke,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001080,gas lift choke configuration and retrieval method,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001079,gas lift choke operation,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001090,gas lift flow meter,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001093,gas lift flow meter retrieval method,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001063,gas lift isolation valve,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000652,insulation required,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001064,line size of chemical injection Line #1,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001104,location of additional 1 in tubing chemical injection line,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001051,material grade,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001094,metering for chemical injection between PMV and PWV - Line #1,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001105,metering for chemical injection between PWV and PCV - Line #2,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001096,metering for chemical injection between PWV and PCV - Line #3,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001097,metering for chemical injection outboard of PCV - Line #4,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001098,metering for downhole chemical injection - Line #1,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001099,metering for downhole chemical injection - Line #2,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001100,metering for downhole chemical injection - Line #3,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001101,metering for downhole chemical injection - Line #4,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000761,minimum temperature for cool down 'no touch time',,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001110,"minimum TRL for components, equipment, and assemblies",,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000742,minimum vertical access bore through tree and tubing hanger,CFIHOS-60001469,millimetre,,
CFIHOS-30000494,christmas tree,CFIHOS-40001109,monogramming of underwater safety valves,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000512,normal operating pressure,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000754,number of downhole hydraulic lines,CFIHOS-60000932,piece,,
CFIHOS-30000494,christmas tree,CFIHOS-40000758,number of hydraulic lines for each hydraulic SCSSV,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000755,number of SCSSVs,CFIHOS-60000932,piece,,
CFIHOS-30000494,christmas tree,CFIHOS-40000519,outside diameter,CFIHOS-60001469,millimetre,,
CFIHOS-30000494,christmas tree,CFIHOS-40001087,pig detection,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001047,pressure-containing tree cap locking method,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001091,production (injection) choke configuration and retrieval method,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001077,production (injection) choke operation,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001078,production (injection) choke step size/profile,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001088,production (injection) choke valve flow coefficient of velocity,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001083,production (injection) flow meter,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001092,production (injection) flow meter retrieval method,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001058,production isolation valve type,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001019,production valve size,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000757,rated current for electric SCSSV,CFIHOS-60001427,ampere,,
CFIHOS-30000494,christmas tree,CFIHOS-40000756,rated voltage for electric SCSSV,CFIHOS-60001423,volt,,
CFIHOS-30000494,christmas tree,CFIHOS-40001049,seabed hydrates expected,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001075,sensor element type for annulus bore between annulus master and wing valve,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001074,sensor element type for annulus bore inboard of annulus master valve,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001076,sensor element type for annulus bore outboard of annulus wing valve,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001072,sensor element type for production bore between PMV and PWV,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001073,sensor element type for production bore downstream of PCV,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001025,service and assembly product specification level,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001027,snag load protection,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001026,subsea tree temperature class,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001028,through-bore drill-bit size for drift capability (for HXT or THS only),,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001056,tubing hanger bottom connection details for downhole electric/fiber optic line(s),,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001057,tubing hanger bottom tubing connection for SCSSV line(s),,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001054,tubing hanger bottom tubing connection type for downhole hydraulic and chemical injection lines,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001017,tubing hanger orientation,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000749,tubing hanger pup joint / saver sub bore,CFIHOS-60001469,millimetre,,
CFIHOS-30000494,christmas tree,CFIHOS-40001045,tubing hanger pup joint / saver sub connection type,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000750,tubing hanger pup joint / saver sub length,CFIHOS-60001469,millimetre,,
CFIHOS-30000494,christmas tree,CFIHOS-40000748,tubing hanger pup joint / saver sub outer diameter,CFIHOS-60001469,millimetre,,
CFIHOS-30000494,christmas tree,CFIHOS-40001052,type of connection,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001114,type of subsea tree,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001062,underwater safety valve designations,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000535,upper limit design pressure,CFIHOS-65001148,bar,,
CFIHOS-30000494,christmas tree,CFIHOS-40000537,upper limit operating pressure,CFIHOS-65001148,bar,,
CFIHOS-30000494,christmas tree,CFIHOS-40001065,valve isolation chemical injection between PWV and PCV - Line #2,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001066,valve isolation chemical injection between PWV and PCV - Line #3,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001067,valve isolation chemical injection outboard of PCV - Line #4,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001068,valve isolation downhole chemical injection (3/8 in. tubing) - Line #1,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001069,valve isolation downhole chemical injection (3/8 in. tubing) - Line #2,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001070,valve isolation downhole chemical injection (3/8 in. tubing) - Line #3,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001103,valve ROV override type,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001059,VXT – swab valves (PSV and ASV),,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001042,VXT other tubing plug model,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000747,VXT other tubing plug pressure rating,CFIHOS-65001148,bar,,
CFIHOS-30000494,christmas tree,CFIHOS-40001044,VXT other tubing plug size,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001043,VXT other tubing plug type,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001046,VXT pressure-containing tree cap configuration,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001106,VXT tree cap pressure-containing seals,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001039,VXT tubing hanger annulus bore plug model,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000746,VXT tubing hanger annulus bore plug pressure rating,CFIHOS-65001148,bar,,
CFIHOS-30000494,christmas tree,CFIHOS-40001041,VXT tubing hanger annulus bore plug size,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001040,VXT tubing hanger annulus bore plug type,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001107,VXT tubing hanger external A annulus seals,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001036,VXT tubing hanger production bore plug model,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40000745,VXT tubing hanger production bore plug pressure rating,CFIHOS-65001148,bar,,
CFIHOS-30000494,christmas tree,CFIHOS-40001038,VXT tubing hanger production bore plug size,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001037,VXT tubing hanger production bore plug type,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001050,wellhead connector hydrate prevention and inhibition,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001102,wellhead connector/mandrel type,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001048,wellhead gasket retention mechanism requirement,,,,
CFIHOS-30000494,christmas tree,CFIHOS-40001018,wellhead isolation-sleeve sealing location,,,,
CFIHOS-30000323,circuit-breaker,CFIHOS-40000029,breaking capacity,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000323,circuit-breaker,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000323,circuit-breaker,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000323,circuit-breaker,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000323,circuit-breaker,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000323,circuit-breaker,CFIHOS-40000241,nominal current,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000323,circuit-breaker,CFIHOS-40000302,number of electrical phases,,,,
CFIHOS-30000323,circuit-breaker,CFIHOS-40000603,operating voltage,,,,
CFIHOS-30000323,circuit-breaker,CFIHOS-40000521,rated current,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000323,circuit-breaker,CFIHOS-40000522,rated frequency,CFIHOS-60001443,hertz,CFIHOS-60001443,hertz
CFIHOS-30000323,circuit-breaker,CFIHOS-40000331,rated short circuit current,CFIHOS-60001448,kiloampere,CFIHOS-60001448,kiloampere
CFIHOS-30000323,circuit-breaker,CFIHOS-40000528,rated voltage,CFIHOS-60001423,volt,CFIHOS-60001423,volt
CFIHOS-30000964,cladding,CFIHOS-40000671,type of cladding,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000401,cloud point analyser,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000487,design specification,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000613,external coating specification,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000114,external insulation type,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000132,fluid name,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000556,lower limit operating pressure,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000504,lower limit operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000572,coalescer,CFIHOS-40000561,orientation,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000320,pressure equipment category,,,,
CFIHOS-30000572,coalescer,CFIHOS-40000535,upper limit design pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000572,coalescer,CFIHOS-40000536,upper limit design temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000572,coalescer,CFIHOS-40000537,upper limit operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000572,coalescer,CFIHOS-40000538,upper limit operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000741,cold storage unit,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000741,cold storage unit,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000741,cold storage unit,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000741,cold storage unit,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000613,compass,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000613,compass,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000613,compass,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000613,compass,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000637,compensator,CFIHOS-40000487,design specification,,,,
CFIHOS-30000637,compensator,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000637,compensator,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000637,compensator,CFIHOS-40000551,lower limit design pressure,,,,
CFIHOS-30000637,compensator,CFIHOS-40000503,lower limit design temperature,,,,
