discipline document type CFIHOS unique code,discipline CFIHOS unique code,discipline code,discipline name,document type CFIHOS unique code,document type short code,document type name,document type description,discipline document type short code,asset type reference,representation type,native file delivery timing,native document format,authenticated record format,required document status for detailed engineering,required document status for construction,required document status for commissioning,required document status for startup,required document status for operations,review type,discipline document type comment,hardcopy document required,translated document required,document type synonym name
CFIHOS-20001332,CFIHOS-20000033,WA,ocean engineering,CFIHOS-70000221,8379,metocean reference document study,"A study providing the metocean design and operating conditions for the proposed offshore facilities. This document should give a complete overview of all existing metocean data (wind, waves, currents, water level and weather data) and mention all existing metocean study reports.",WA8379,Site,Text,at handover,,,IFD,IFD,IFD,not specified,IFD,not specified,,,,
CFIHOS-20001333,CFIHOS-20000033,WA,ocean engineering,CFIHOS-70000222,8421,metocean survey,"A report describing how, when and where metocean data has been collected.  Includes bathymetric data.",WA8421,Site,Text,not applicable,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20001334,CFIHOS-20000033,WA,ocean engineering,CFIHOS-70000173,8422,ice survey,"A report describing how, when and where ice data has been collected.",WA8422,Site,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001357,CFIHOS-20000026,PX,process engineering,CFIHOS-70000409,2310,cause and effect diagram,"A diagram that is showing the causes and consequences of different errors, especially related to failures in the control system.",PX2310,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001359,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000268,8880,wiring diagram,"A diagram which depicts an electrical circuit.  It shows the components of the circuit as simplified shapes, and the power and signal connections between devices.",TA8880,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001360,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000343,4038,underground service layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis, describing elevation and relative to surrounding structures and equipment.",MX4038,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001361,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000343,4038,underground service layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis, describing elevation and relative to surrounding structures and equipment.",EA4038,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001362,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000343,4038,underground service layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis, describing elevation and relative to surrounding structures and equipment.",TA4038,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001363,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000343,4038,underground service layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis, describing elevation and relative to surrounding structures and equipment.",IN4038,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001364,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000343,4038,underground service layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis, describing elevation and relative to surrounding structures and equipment.",MP4038,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001365,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000277,4033,layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis relative to surrounding structures and equipment.",MX4033,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001366,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000277,4033,layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis relative to surrounding structures and equipment.",CX4033,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001367,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000277,4033,layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis relative to surrounding structures and equipment.",EA4033,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001368,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000277,4033,layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis relative to surrounding structures and equipment.",IN4033,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001369,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000277,4033,layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis relative to surrounding structures and equipment.",TA4033,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001370,CFIHOS-20000012,HP,security,CFIHOS-70000277,4033,layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis relative to surrounding structures and equipment.",HP4033,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001371,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000277,4033,layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis relative to surrounding structures and equipment.",UA4033,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001372,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000277,4033,layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis relative to surrounding structures and equipment.",HX4033,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001373,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000135,4013,floor plan,"A diagram showing building, rooms, doorways, cabinet and other permanent equipment installed.",EA4013,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001374,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000135,4013,floor plan,"A diagram showing building, rooms, doorways, cabinet and other permanent equipment installed.",MX4013,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001375,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000135,4013,floor plan,"A diagram showing building, rooms, doorways, cabinet and other permanent equipment installed.",CB4013,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001376,CFIHOS-20000017,KA,information technology,CFIHOS-70000135,4013,floor plan,"A diagram showing building, rooms, doorways, cabinet and other permanent equipment installed.",KA4013,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001377,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000135,4013,floor plan,"A diagram showing building, rooms, doorways, cabinet and other permanent equipment installed.",TA4013,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001378,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000135,4013,floor plan,"A diagram showing building, rooms, doorways, cabinet and other permanent equipment installed.",MH4013,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001379,CFIHOS-20000017,KA,information technology,CFIHOS-70000055,8804,connection diagram,"A diagram showing details of cable numbers and terminations point to point (e.g., to/from vendor packages, equipment).",KA8804,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001380,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000330,2389,termination diagram,"A diagram for equipment, panels, junction boxes, etc. identifies all connections and cable terminations at input/output rails. Required for removal/hook up purposes and modifications. To include vendor interfaces.",UA2389,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20001381,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000342,4006,trench diagram,"A diagram depicting civil earthworks for utility services (e.g., piping, cables) for construction activity management.  Typically depicts slope, etc.",CX4006,Plant,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,IFC,IFC,IFC,not specified,,,,
CFIHOS-20001382,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000009,2405,anchoring diagram,A diagram showing anchoring and mooring of offshore vessels and structures and the interaction of anchor lines with sub-sea pipelines and structures.,CS2405,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IFC,IAB,not specified,,,,
CFIHOS-20001383,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000377,2386,secondary steel diagram,"A diagram depicting secondary and higher order steel elements in the structure (including but not limited to cladding, roofs, grating).",CS2386,Plant,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,IFC,IFC,IFC,not specified,,,,
CFIHOS-20001384,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000410,0903,three line diagram,"A diagram depicting each line (e.g., positive, negative, and ground on a DC System)  describing an electrical system.  Example: the connection of a pump its control station and the MCC.",EA0903,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001385,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000321,2373,routing diagram,A diagram showing alignment of cables and pipelines between plants. Includes alignment sheet for pipelines.,EA2373,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001386,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000321,2373,routing diagram,A diagram showing alignment of cables and pipelines between plants. Includes alignment sheet for pipelines.,TA2373,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001387,CFIHOS-20000026,PX,process engineering,CFIHOS-70000237,0980,block diagram,A schematic diagram which shows the relation between the main functions or the main component in the plant or group of plants.,PX0980,Process_Unit,Intelligent vector drawing (CAD),during project,,,IFD,IFD,not specified,not specified,IFD,not specified,,,,
CFIHOS-20001388,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000237,0980,block diagram,A schematic diagram which shows the relation between the main functions or the main component in the plant or group of plants.,UA0980,Process_Unit,Intelligent vector drawing (CAD),during project,,,IFD,IFD,not specified,not specified,IFD,not specified,,,,
CFIHOS-20001389,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000237,0980,block diagram,A schematic diagram which shows the relation between the main functions or the main component in the plant or group of plants.,MX0980,Process_Unit,Intelligent vector drawing (CAD),during project,,,IFD,IFD,not specified,not specified,IFD,not specified,,,,
CFIHOS-20001390,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000193,2343,isometric diagram,"Construction detail diagram for 'piping and ducting', providing an accurate 'bill of materials' (BOM) / 'material take off' (MTO) and represented in a 3 dimensional isometric view.",EA2343,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20001391,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000186,2341,interface diagram,"A diagrams documenting Interfaces and demarcation of responsibilities between different organizations (e.g. battery limits, terminations).",AA2341,Tag,Intelligent vector drawing (CAD),during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,battery limits diagram
CFIHOS-20001392,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000411,0900,insulation diagram,"A diagram detailing insulation, including anchoring and expansion joints, etc.  Includes refractory.",IN0900,Tag,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001393,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000411,0900,insulation diagram,"A diagram detailing insulation, including anchoring and expansion joints, etc.  Includes refractory.",MS0900,Tag,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001394,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000411,0900,insulation diagram,"A diagram detailing insulation, including anchoring and expansion joints, etc.  Includes refractory.",MX0900,Tag,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001395,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000411,0900,insulation diagram,"A diagram detailing insulation, including anchoring and expansion joints, etc.  Includes refractory.",MH0900,Tag,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001396,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000411,0900,insulation diagram,"A diagram detailing insulation, including anchoring and expansion joints, etc.  Includes refractory.",MP0900,Tag,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001397,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000170,2336,"hydraulic, pneumatic diagram","A schematic for any system not covered by PEFS/UEFS (e.g., P&IDs) e.g. hydraulic pneumatic cooling,  hydraulic controls.",UA2336,Process_Unit,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IFC,IFC,not specified,,,,
CFIHOS-20001398,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000148,2331,foundation design diagram,"Details of foundation design for construction. Also see 'foundation loading diagram', specifically for loads and 'foundation layout diagram', specifically for spatial location.",CX2331,Plant,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001399,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",CB2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001400,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",CX2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001401,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",EA2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001402,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",HX2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001403,CFIHOS-20000005,CI,infrastructure engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",CI2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001404,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",IN2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001405,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",MS2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001406,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",MX2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001407,CFIHOS-20000018,LA,pipeline engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",LA2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001408,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",MP2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001409,CFIHOS-20000021,MR,mechanical rotating engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",MR2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001410,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",CS2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001411,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",UA2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001412,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",TA2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001413,CFIHOS-20000018,LA,pipeline engineering,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,LA2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001414,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,CB2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001415,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,CX2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001416,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,EA2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001417,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,HX2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001418,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,MH2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001419,CFIHOS-20000005,CI,infrastructure engineering,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,CI2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001420,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,IN2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001421,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,MS2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001422,CFIHOS-20000021,MR,mechanical rotating engineering,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,MR2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001423,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,CS2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001424,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,UA2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001425,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,TA2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001426,CFIHOS-20000002,BA,construction,CFIHOS-70000118,2321,general diagram,A diagram not otherwise described in another document type.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,BA2321,Plant,Intelligent vector drawing (CAD),during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001427,CFIHOS-20000021,MR,mechanical rotating engineering,CFIHOS-70000116,2320,equipment cross section diagram,A sliced view of a part or component that shows its internal make up.,MR2320,Model_Part,Intelligent vector drawing (CAD),at handover,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001428,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000116,2320,equipment cross section diagram,A sliced view of a part or component that shows its internal make up.,MS2320,Model_Part,Intelligent vector drawing (CAD),at handover,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001429,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000116,2320,equipment cross section diagram,A sliced view of a part or component that shows its internal make up.,MX2320,Model_Part,Intelligent vector drawing (CAD),at handover,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001430,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000116,2320,equipment cross section diagram,A sliced view of a part or component that shows its internal make up.,UA2320,Model_Part,Intelligent vector drawing (CAD),at handover,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001431,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000057,2404,construction diagram,A diagram detailing assembly and fabrication.,EA2404,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001432,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000057,2404,construction diagram,A diagram detailing assembly and fabrication.,HX2404,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001433,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000057,2404,construction diagram,A diagram detailing assembly and fabrication.,IN2404,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001434,CFIHOS-20000021,MR,mechanical rotating engineering,CFIHOS-70000057,2404,construction diagram,A diagram detailing assembly and fabrication.,MR2404,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001435,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000057,2404,construction diagram,A diagram detailing assembly and fabrication.,MS2404,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001436,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000057,2404,construction diagram,A diagram detailing assembly and fabrication.,MX2404,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001437,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000057,2404,construction diagram,A diagram detailing assembly and fabrication.,UA2404,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001438,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000057,2404,construction diagram,A diagram detailing assembly and fabrication.,CS2404,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001439,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000057,2404,construction diagram,A diagram detailing assembly and fabrication.,TA2404,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001440,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000057,2404,construction diagram,A diagram detailing assembly and fabrication.,MH2404,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001441,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000057,2404,construction diagram,A diagram detailing assembly and fabrication.,MP2404,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001442,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000039,2309,cathodic protection diagram,A diagram showing locations of cathodic protection and schematic diagrams.,EA2309,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20001443,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000017,2305,assembly diagram,A diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work.,HX2305,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
